ίκαρος	icarus
αλγερίας	alžirija
γκαλερί	galerije
γκαλερί	galerija
γκαλερί	galerijo
κολούμπια	columbia
εγκεφαλικό	hod
εγκεφαλικό	kap
αλαμπάμα	alabama
έφορος	kurator
σύνορο	meja
σύνορο	mejo
σύνορο	meje
σύνορο	meji
σύνορο	meja
λειτουργική	funkcionalne
λειτουργική	funkcionalno
λειτουργική	funkcionalna
λειτουργική	funkcionalni
λειτουργική	operativno
λειτουργική	operativnih
λειτουργική	operativna
κρίσεις	krči
κρίσεις	krize
κρίσεις	kriz
πωλήσεων	prodaja
γλυκό	sladkih
γλυκό	sladko
γλυκό	sladki
γλυκό	sladka
γκαρντ	gard
μιγκέλ	miguel
ρούντολφ	rudolph
ρούντολφ	rudolf
ρούντολφ	rudolf
πήτερ	peter
πήτερ	petra
χρήσιμες	uporaben
χρήσιμες	koristno
χρήσιμες	uporabna
χρήσιμες	uporabno
χρήσιμες	koristna
κοπεγχάγη	københavnu
δίσκοι	evidenca
δίσκοι	zapisi
δίσκοι	evidence
δίσκοι	diski
δίσκοι	diske
δίσκοι	diski
δίσκοι	diske
ολοκαύτωμα	holokavst
βενεζουέλας	venezuelski
βενεζουέλας	venezueli
έσπασε	zlomil
υποκείμενο	predmet
υποκείμενο	osebek
υποκείμενο	subjekt
καθήκον	dajatev
καθήκον	dolžnost
καθήκον	dolžnosti
καθήκον	naloga
καθήκον	opravilo
παναμά	panama
παναμά	panami
σημειωματάριο	zvezek
λιγότερες	manj
λιγότερες	manj
δόση	odmerki
δόση	odmerjanje
δόση	odmerek
δόση	odmerka
δόση	odmerka
δόση	odmerek
εξεγέρσεις	nemiri
εξεγέρσεις	nemirov
εξεγέρσεις	uporov
αεροπλάνα	letala
αεροπλάνα	letala
αεροπλάνα	letala
αλκοόλ	alkohol
αλκοόλ	alkohola
τόνο	tuna
τόνο	tun
τόνο	tune
τόνο	tona
τόνο	ton
τόνο	tone
κατάχρηση	zloraba
κατάχρηση	poneverbe
κατάχρηση	zloraba
κατάχρηση	zlorabo
κατάχρηση	zlorabe
ρίτσι	ritchie
ρίτσι	richie
ρίτσι	ricci
κυβερνών	odločanje
χώμα	prsti
χώμα	zemlja
χώμα	umazanija
χώμα	umazanijo
χώμα	umazanija
στρατιώτη	vojak
άλεξ	alex
άλεξ	aleš
άλεξ	aleks
στενός	ozko
στενός	ozki
στενός	ozka
στενός	ozke
στενός	ozek
μαχητές	borci
μαχητές	borca
μαχητές	vojščaki
μαχητές	bojevniki
μαχητές	bojevnike
μαχητές	borca
μαχητές	borci
αποκτήθηκε	pridobljena
αποκτήθηκε	pridobljen
αποκτήθηκε	pridobljene
αποκτήθηκε	pridobljeno
υγιεινής	higieno
υγιεινής	higiene
ευκαιρίες	priložnosti
μοντάζ	montaža
μοντάζ	montažo
μοντάζ	urejanje
μηχανικοί	mehanika
μηχανικοί	mehaniki
μηχανικοί	inženirjev
μηχανικοί	inženirji
λατ	lat
ενέκρινε	odobrena
ενέκρινε	odobrene
ενέκρινε	odobreni
ενέκρινε	odobreno
ενέκρινε	odobren
ενέκρινε	sprejeta
ενέκρινε	sprejet
ενέκρινε	sprejeto
μασσαλία	marseille
μασσαλία	marseille
μασσαλία	marseillu
πλημμύρες	poplave
πλημμύρες	poplav
πλημμύρες	poplave
πλημμύρες	poplav
πλημμύρες	poplava
αλλα	drugi
αλλα	drugo
αλλα	druga
αλλα	druge
αλλα	toda
αλλα	ampak
αλλα	vendar
σθένος	vigor
διαβήτη	sladkorna
διαβήτη	diabetes
ασημένια	srebrn
ασημένια	srebro
ασημένια	srebrno
ασημένια	srebrna
ασημένια	silver
νικολά	nicolas
συνήθεια	običaj
συνήθεια	navade
συνήθεια	navada
τσάρου	car
κατάρτιση	trening
κατάρτιση	usposabljanja
κατάρτιση	treningi
κατάρτιση	usposabljanje
λαογραφία	folklore
κυβερνείο	governorate
μεταξάς	metaxas
κάι	kai
απολύθηκε	odpuščen
χιούμορ	humor
χιούμορ	humor
ανακάλυψαν	odkrila
ανακάλυψαν	odkril
ανακάλυψαν	odkrite
ανακάλυψαν	odkrita
ανακάλυψαν	odkrili
ανακάλυψαν	odkrit
αγαπημένο	priljubljeno
αγαπημένο	najljubša
αγαπημένο	najljubši
αγαπημένο	priljubljeni
αγαπημένο	priljubljeno
αγαπημένο	najljubša
αγαπημένο	najljubši
ρομπέρτο	roberto
πάτρικ	patrick
πάτρικ	patrik
πρόβλεψη	napovedovanje
πρόβλεψη	napoved
πρόβλεψη	napovedi
πρόβλεψη	napoved
πρόβλεψη	napovedi
αποδεικνύει	dokazuje
κούπερ	cooper
ρούμπενς	rubens
τάφους	grobnice
τάφους	grobov
τάφους	graves
τάφους	grobove
συγγενής	sorodnik
συγγενής	relativna
συγγενής	relativno
απόκλιση	odstopanje
απόκλιση	odklon
απόκλιση	odmik
γιοι	sinove
γιοι	sinov
γιοι	sinovi
γιοι	sinova
κατοικείται	naseljen
ντιν	dekan
ντιν	dean
