båret	ditanggung
gress	rumput
gress	grass
gress	rerumputan
gress	ganja
gress	gulma
sahara	sahara
dedikert	didedikasikan
dedikert	berdedikasi
renessansen	renaisans
renessansen	renaissance
nagano	nagano
ulv	wolf
ulv	serigala
utmerkelse	penghargaan
utmerkelse	penghargaan
utmerkelse	award
medarbeidere	karyawan
medarbeidere	asosiasi
farget	berwarna
ted	ted
dick	dick
oppvekst	didikan
oppvekst	asuhan
folkeavstemning	referendum
lidelse	penderitaan
lidelse	derita
lidelse	menderita
territorier	wilayah
territorier	teritori
westminster	westminster
mislyktes	gagal
sub	sub
kontrast	kontras
separat	terpisah
separat	pisahkan
separat	memisahkan
separat	dipisah
patriark	patriarkh
konferansen	conference
konferansen	konferensi
økonom	ekonom
hunter	pemburu
hunter	hunter
isabella	isabella
alberto	alberto
fan	fan
fan	penggemar
fan	kipas
befolket	dihuni
sjøs	laut
motivet	motif
eter	makan
eter	eat
eter	makanlah
eter	eter
rase	breed
rase	biak
rase	balapan
rase	race
rase	perlombaan
rase	ras
rase	lomba
kristendom	kekristenan
kristendom	kristen
institusjon	institusi
institusjon	lembaga
lena	lena
høydepunkt	menyorot
høydepunkt	sorotan
høydepunkt	sorot
høydepunkt	penyorotan
høydepunkt	menyoroti
høydepunkt	menonjolkan
nancy	nancy
keeper	penjaga
keeper	kiper
bent	bent
protest	keberatan
protest	protes
court	court
court	sidang
court	pengadilan
court	mahkamah
endt	berakhir
nepals	nepal
troen	kepercayaan
troen	keyakinan
konsentrert	terkonsentrasi
konsentrert	fokus
konsentrert	terfokus
verre	buruk
slektskap	nasab
slektskap	kekerabatan
slektskap	kinship
doktor	doktor
doktor	dokter
doktor	doctor
moldova	moldova
male	paint
male	cat
romeo	romeo
tette	tersumbat
ordbok	kamus
danskene	danes
kanadisk	kanada
kanadisk	canadian
atlas	atlas
hud	kulit
hud	skin
area	daerah
area	wilayah
area	luas
area	kawasan
area	area
tirol	tirol
tirol	tyrol
olof	olof
innflytelsesrike	berpengaruh
sarajevo	sarajevo
eik	oak
eik	ek
bataljon	batalyon
bataljon	batalion
bologna	bologna
connecticut	connecticut
meksikansk	meksiko
kristi	kristi
effektive	efisien
effektive	efektif
søsken	saudara
søsken	saudara
filer	berkas
filer	file
spredning	berserakan
plasseringer	klasemen
plasseringer	lokasi
plasseringer	peletakan
plasseringer	penempatan
holdeplass	stasiun
holdeplass	station
manuskript	manuskrip
manuskript	naskah
run	lari
run	menjalankan
run	jalankan
vang	vang
femti	fifty
oppførsel	perilaku
oppførsel	kelakuan
oppførsel	tingkah
oppførsel	perilaku
oppførsel	kelakuan
oppførsel	prilaku
oregon	oregon
beklager	maaf
unik	keunikan
unik	unik
unik	unique
innvandrere	imigran
vakker	beautiful
