και	и
από	от
από	from
από	из
με	с
με	with
που	которое
που	которая
που	которые
που	который
για	для
για	for
για	за
κατηγορία	категория
κατηγορία	категории
τους	их
ήταν	был
ήταν	было
ήταν	была
ένα	одна
ένα	one
ένα	одно
ένα	один
ότι	это
ότι	that
μια	одна
μια	one
μια	одно
μια	один
έχει	имеет
θα	воля
θα	будет
θα	уилл
αλλά	но
μετά	тогда
μετά	потом
μετά	затем
μετά	после
μετά	after
επίσης	также
όπως	нравится
όπως	like
όπως	как
είχε	имел
δύο	два
δύο	две
δύο	двое
αυτό	this
αυτό	это
αυτό	эта
αυτό	этот
αυτό	это
αυτό	that
αυτή	she
αυτή	она
όπου	где
όπου	куда
όταν	когда
όταν	when
μέχρι	до
μία	одна
μία	one
μία	одно
μία	один
μπορεί	может
μπορεί	могу
μπορεί	можно
μπορεί	can
ομάδα	спасатели
ομάδα	команда
ομάδα	отряд
ομάδα	взвод
ομάδα	группа
ομάδα	группы
ομάδα	group
ομάδα	команда
ομάδα	team
θέση	позиция
θέση	должность
θέση	положение
μεταξύ	между
χρόνια	хроническая
χρόνια	хронические
χρόνια	хронической
χρόνια	годы
χρόνια	лет
χρόνια	years
πρώτη	первый
πρώτη	сначала
πρώτη	первое
πρώτη	первая
πρώτη	first
πιο	более
πιο	больше
πιο	еще
ένας	одна
ένας	one
ένας	одно
ένας	один
πόλη	town
πόλη	город
πόλη	городок
πόλη	city
πόλη	город
πόλη	города
σύνδεσμοι	связи
σύνδεσμοι	ссылки
μόνο	только
έγινε	сделано
πολύ	очень
κάθε	каждая
κάθε	каждую
κάθε	каждый
κάθε	каждое
κάθε	каждая
κάθε	каждому
κάθε	каждый
κάθε	каждое
περιοχή	область
περιοχή	регион
περιοχή	область
περιοχή	район
περιοχή	площадь
αιώνα	век
αιώνα	столетие
αθήνα	афинах
αθήνα	афины
περίοδο	период
τότε	тогда
τότε	потом
τότε	затем
όνομα	имя
όνομα	название
ελλάδα	греции
ελλάδα	грецию
ελλάδα	греция
μέρος	часть
μέρος	частично
μέρος	место
σήμερα	сегодня
σήμερα	today
μέσα	внутри
μέσα	изнутри
μέσα	внутрь
πως	как
μαζί	вместе
διάρκεια	длительность
διάρκεια	продолжительность
ιστορία	story
ιστορία	новость
ιστορία	рассказ
ιστορία	история
ιστορία	истории
ιστορία	история
πρωτάθλημα	лиги
πρωτάθλημα	лига
πρωτάθλημα	чемпионат
αργότερα	позднее
αργότερα	позже
νέα	новые
νέα	новинка
νέα	новая
νέα	новый
νέα	новых
νέα	новое
νέα	news
νέα	новость
νέα	новости
περίπου	about
περίπου	о
περίπου	приблизительно
περίπου	примерно
αυτά	эти
πριν	до
πριν	перед
πριν	прежде
χωρίς	без
εθνική	национальные
εθνική	национальных
εθνική	national
εθνική	национальная
εθνική	национальный
συζήτηση	переписку
συζήτηση	переписка
συζήτηση	разговор
συζήτηση	беседа
συζήτηση	обсуждение
συζήτηση	дискуссия
συζήτηση	обсуждения
συζήτηση	дискуссии
συζήτηση	прений
συζήτηση	прения
συζήτηση	дебаты
αρχείο	архив
αρχείο	файл
πρέπει	должен
πρέπει	должно
πρέπει	должны
φορά	время
φορά	времени
φορά	тайм
φορά	time
πάνω	наверх
πάνω	наверху
έλληνες	греки
έλληνες	греков
ομάδες	группы
ομάδες	групп
ομάδες	команды
πρώτο	первый
πρώτο	сначала
πρώτο	первое
πρώτο	первая
πρώτο	first
έργο	project
έργο	проекта
έργο	проект
έργο	работа
έργο	работы
έργο	труд
κυρίως	преимущественно
όχι	не
ελληνική	греческая
ελληνική	греки
ελληνική	греков
ελληνική	греческий
μεγάλη	большая
μεγάλη	big
μεγάλη	большие
μεγάλη	большой
μεγάλη	биг
υπό	под
έως	до
ποδοσφαιριστές	футболисты
ταινία	фильм
ταινία	кино
ταινία	кассета
ταινία	лента
ταινία	ленту
ταινία	фильм
ταινία	film
ταινία	кино
άλλα	другой
άλλα	другая
άλλα	другое
άλλα	другие
άλλα	прочие
άλλα	другие
άλλα	прочие
τμήμα	департамент
τμήμα	секция
τμήμα	раздел
σαν	нравится
σαν	like
σαν	как
εκεί	там
ωστόσο	однако
άλλες	другой
άλλες	другая
άλλες	другое
άλλες	другие
άλλες	прочие
τέλος	наконец
τέλος	конце
τέλος	end
τέλος	конец
σειρά	серия
σειρά	серии
σειρά	орден
σειρά	заказ
σειρά	заказать
σειρά	приказ
σειρά	порядок
σειρά	ряд
σειρά	строка
στοιχεία	элементы
στοιχεία	данные
στοιχεία	данных
στοιχεία	data
εκτός	кроме
συνέχεια	непрерывность
συνέχεια	преемственность
συνέχεια	преемственности
συνέχεια	продолжить
συνέχεια	продолжаем
συνέχεια	продолжать
συνέχεια	продолжил
συνέχεια	продолжение
κάτω	down
κάτω	вниз
κάτω	ниже
κάτω	нижняя
κάτω	нижний
κάτω	нижние
κάτω	внизу
κάτω	ниже
πολλές	многих
πολλές	много
πολλές	многим
πολλές	многие
όλα	все
όλα	всё
όλα	всем
όλα	всех
όλα	all
όλα	все
σύστημα	система
σύστημα	system
φορές	времена
φορές	таймс
φορές	times
ίδια	идентичны
ίδια	одинаковые
ίδια	идентичные
ιουλίου	июль
χώρα	страна
χώρα	страны
αποτέλεσμα	итоги
αποτέλεσμα	итог
αποτέλεσμα	результат
αποτέλεσμα	эффект
οκτωβρίου	октябрь
οκτωβρίου	октября
ιανουαρίου	январь
ιανουαρίου	января
σεπτεμβρίου	сентября
σεπτεμβρίου	сентябрь
νοεμβρίου	ноября
νοεμβρίου	ноябрь
αγώνες	матчи
αγώνες	совпадения
αγώνες	спички
αγώνες	games
αγώνες	игры
ταινίες	фильмы
ταινίες	фильмов
ταινίες	фильмы
ταινίες	кино
μέσω	виа
μέσω	via
μέσω	через
μέσω	сквозь
μέσω	через
μαρτίου	марш
μαρτίου	март
μαρτίου	марта
γεννήθηκε	родилась
γεννήθηκε	родился
ιουνίου	июнь
ιουνίου	джун
ιουνίου	июня
αυτές	эти
πολλά	многих
πολλά	много
πολλά	многим
πολλά	многие
απριλίου	эйприл
απριλίου	апрель
απριλίου	апреля
τρεις	три
τρεις	трое
αυγούστου	августа
αυγούστου	август
έργα	работает
έργα	проекты
έργα	проектов
δεκεμβρίου	декабрь
χρήση	используйте
χρήση	использование
χρήση	использовать
πρόεδρος	президент
πρόεδρος	председатель
πολιτική	политика
πολιτική	политики
πολιτική	политика
μας	наши
μας	наше
μας	наш
μας	наша
εκλογές	выборы
εκλογές	выборы
εκλογές	избрание
μέλη	членов
μέλη	члены
μέλη	участники
τελικά	наконец
μέλος	участник
μέλος	член
εποχή	эпоха
εποχή	сезон
εποχή	эпоха
εποχή	эпоху
εποχή	эра
χωριό	деревне
χωριό	село
