yang	yang
dan	dan
pada	pada
dengan	com
the	os
untuk	por
untuk	para
juga	igualmente
juga	também
terletak	situado
terletak	mentiras
indonesia	indonésia
dari	dari
dari	do
dari	de
dari	da
daerah	distrito
tahun	years
tahun	anos
tahun	ano
adalah	são
adalah	estão
adalah	sao
adalah	are
telah	tem
wilayah	província
wilayah	região
wilayah	territórios
wilayah	territórios
wilayah	território
lihat	veja
lihat	vê
lihat	ver
kawasan	area
kawasan	área
kawasan	região
kawasan	regiões
luar	fora
sekolah	escolas
sekolah	escola
tidak	não
komun	municípios
komun	comunas
bahasa	linguas
bahasa	idiomas
bahasa	línguas
bahasa	língua
bahasa	idioma
bahasa	linguagem
orang	pessoa
orang	pessoas
orang	povo
orang	gente
pautan	link
pautan	ligação
pautan	ligações
pautan	links
malaysia	malásia
daripada	do
daripada	de
daripada	da
daripada	than
kampung	vila
kampung	aldeia
jabatan	departamento
satu	satu
satu	um
satu	uma
satu	one
negara	pais
negara	país
negara	estaduais
negara	state
negara	estado
negara	estadual
negara	países
mereka	eles
mereka	eles
mereka	elas
kebangsaan	nacionalidade
kebangsaan	national
kebangsaan	nacionais
kebangsaan	nacional
bandar	vila
bandar	cidade
bandar	cidade
bandar	cidades
bandar	bandar
imperial	imperiais
imperial	imperial
lelaki	man
lelaki	pá
lelaki	cara
lelaki	homem
negeri	estaduais
negeri	state
negeri	estado
negeri	estadual
menjadi	sendo
menjadi	ser
barat	west
barat	ocidente
barat	oeste
barat	barat
barat	ocidental
barat	ocidentais
barat	western
barat	oeste
lain	outro
lain	outros
lain	outras
lain	outra
lain	outros
lain	outras
lebih	mais
lebih	more
etnik	étnico
etnik	étnicos
etnik	étnicas
etnik	étnica
etnik	etnia
etnik	etnia
mempunyai	tem
mempunyai	tenha
mempunyai	ter
perancis	french
perancis	franceses
perancis	francês
perancis	franca
perancis	frança
akan	will
akan	vontade
nama	nome
nama	nomes
perbandaran	município
perbandaran	concelho
perbandaran	municipal
boleh	pode
boleh	podem
boleh	lata
boleh	can
filem	filmes
filem	películas
filem	filme
filem	película
filem	filmes
filem	películas
filem	filme
filem	filmes
filem	cinema
timur	oriente
timur	leste
timur	east
timur	timur
timur	orientais
timur	oriental
timur	leste
timur	eastern
digunakan	utilizada
digunakan	usada
digunakan	usado
digunakan	utilizado
digunakan	utilizados
digunakan	usados
dua	dua
dua	duas
dua	two
dua	dois
pertama	primeira
pertama	primeiros
pertama	primeiramente
pertama	primeiro
perempuan	mulher
perempuan	fêmeas
perempuan	mulheres
perempuan	mulheres
svg	svg
svg	wmf
india	indianos
india	índios
india	indian
india	índio
india	indiano
india	índia
india	índia
india	india
senarai	lista
senarai	listar
dia	dia
presiden	presidente
terbang	fly
terbang	voe
terbang	mosca
terbang	voar
terbang	voa
terbang	voando
terbang	voar
terbang	flying
terbang	voaram
terbang	voou
dunia	world
dunia	mundo
dunia	dunia
kerana	porque
kerana	pq
bahawa	essa
bahawa	isso
bahawa	que
laut	mar
selepas	após
selepas	after
selepas	depois
selatan	sulistas
selatan	sulista
selatan	sul
selatan	southern
selatan	meridional
selatan	selatan
selatan	sul
selatan	south
stadium	estádios
stadium	estádio
stadium	stadium
tempat	lugar
tempat	place
tempat	local
tempat	sítio
tempat	locais
tempat	lugares
tempat	sítios
besar	large
besar	grande
besar	grandes
besar	big
besar	grande
besar	grandes
besar	besar
tetapi	mas
antara	entre
pelajar	alunos
pelajar	estudantes
pelajar	aluno
pelajar	aluna
pelajar	estudante
pelajar	student
utara	norte
utara	north
utara	norte
utara	setentrional
utara	northern
syarikat	corporation
syarikat	corporação
syarikat	empresa
syarikat	company
syarikat	companhia
syarikat	companhias
syarikat	empresas
raya	raya
beberapa	vários
beberapa	varios
beberapa	várias
jumlah	montantes
jumlah	quantidades
jumlah	quantias
jumlah	quantia
jumlah	quantidade
jumlah	montante
jumlah	total
republik	republicana
republik	republicanos
republik	republicano
republik	república
kumpulan	grupo
kumpulan	agrupar
kumpulan	grupos
tentera	militares
tentera	militar
tentera	soldados
tentera	exército
tentera	tropa
tentera	army
amerika	americano
amerika	americanos
amerika	american
amerika	americana
amerika	america
amerika	américa
amerika	amerika
amerika	américas
turki	turquia
turki	turcos
turki	turcas
turki	turcos
turki	turco
turki	turca
turki	turcas
baru	novo
baru	novas
baru	novos
baru	novidade
baru	nova
baru	baru
buah	bagas
buah	fruto
buah	frutos
buah	frutas
buah	fruta
buah	frutas
buah	frutos
jawa	java
jawa	javanês
bawah	fundo
bawah	bottom
bawah	sob
bawah	under
hari	dia
hari	dias
google	google
pemain	jogadores
pemain	player
pemain	reprodutor
pemain	jogador
melayu	malaio
melayu	melayu
kerajaan	reino
kerajaan	kingdom
kerajaan	empire
kerajaan	império
kerajaan	reino
kerajaan	governo
sama	sama
sama	iguais
sama	igualar
sama	equal
sama	igual
sama	mesma
sama	mesmo
sama	mesmos
iran	iranianos
iran	irã
iran	irão
iran	iraniana
iran	iranianos
iran	iraniano
ahli	membro
ahli	sócios
ahli	membros
poskod	cep
kedua	segunda
kedua	second
kedua	segundo
pasukan	tropas
pasukan	tropa
pasukan	equipas
pasukan	equipes
pasukan	times
pasukan	tropa
pasukan	team
pasukan	equipa
pasukan	time
pasukan	equipe
islam	islâmica
islam	islâmico
islam	islâmicos
islam	islâmicas
islam	islam
islam	islã
islam	islamismo
islam	islão
mana	mana
mana	aonde
mana	onde
ketua	chief
ketua	chefe
ketua	alcaide
ketua	presidente
masa	hora
masa	horário
masa	tempo
masa	time
lagu	canção
lagu	song
lagu	músicas
lagu	canções
lagu	songs
style	style
style	estilo
tengah	meados
tengah	médio
tengah	meio
tengah	middle
jerman	alemã
jerman	alemães
jerman	alemão
jerman	alemanha
jerman	alemães
