τιμά	honors
ουρανός	cel
ουρανός	sky
μόλυνση	contaminació
μόλυνση	infecció
ιατρικό	mèdica
προθέσεις	intencions
μπουρούντι	burundi
ταυτόχρονη	concurrent
ταυτόχρονη	concurrents
ταυτόχρονη	simultània
λιθίου	liti
τυχαίο	atzar
τυχαίο	aleatòria
τυχαίο	aleatori
τυχαίο	accidental
πολιτισμούς	cultures
λεωνίδα	leònides
μαλάουι	malawi
επιθετική	agressiu
σιδηροδρόμων	ferrocarril
σιδηροδρόμων	ferrocarrils
άχρωμο	incolor
αφρικανική	africà
αφρικανική	african
σπουδαιότητα	importància
παρατηρητές	observadors
κέλυφος	shell
μπάρτον	burton
μπάρτον	barton
έντι	eddie
έντι	eddy
φάσο	faso
πορτρέτα	retrats
κάρτες	cartes
κάρτες	targetes
ελίτ	elit
μύτη	nas
έπαθλο	premi
ναυτικός	mariner
ναυτικός	nàutica
τζέρσεϊ	jersei
τζέρσεϊ	jersey
ιερή	sagrat
απολιθώματα	fòssils
βασιλεύς	king
βασιλεύς	rei
μις	miss
μις	senyoreta
μορφοποίησης	formatat
μορφοποίησης	formatació
ουράς	cua
ιός	virus
μαχητικό	lluitador
επίπεδη	plànols
επίπεδη	bemoll
επίπεδη	plana
όντα	éssers
γιατρό	metge
γιατρό	doctor
πάμπλο	pablo
σαντ	sorra
σαντ	toli
τοπικός	local
τοπικός	locals
προτιμούν	preferim
προτιμούν	prefereix
προτιμούν	prefereixen
προκλήθηκε	causat
προκλήθηκε	ocasionat
προκλήθηκε	provocada
βίαια	violent
επηρεάζεται	influenciat
επηρεάζεται	influït
επηρεάζεται	afectats
ξενοδοχεία	hosteleria
ξενοδοχεία	hotels
συγκριτικά	comparatiu
συγκριτικά	comparativament
πρώιμο	prematurs
πρώιμο	prematur
αποθήκη	magatzem
αποθήκη	emmagatzematge
αποθήκη	emmagatzemament
νιγηρίας	nigerià
νιγηρίας	nigèria
λάζαρος	llàtzer
ζωές	vides
σημάδι	signe
σημάδι	signa
σημάδι	signar
μοριακό	molecular
ψήφισμα	resolució
υπουργών	ministres
συνταγματαρχών	coronels
αποφευχθεί	evitar
αποφευχθεί	evitat
βρύση	aixeta
βρύση	aixeta
βρύση	toca
βρύση	tap
ενδιαφέρεται	interessat
ενδιαφέρεται	interessats
ώθηση	empenta
εξασφαλίζοντας	garantint
λας	las
βικτώρια	victòria
βικτώρια	victoria
λευκορωσία	bielorússia
πλέγμα	malla
πλέγμα	graella
λένινγκραντ	leningrad
ντιέγκο	diego
κατοικεί	resideix
κομοτηνή	komotini
μάνη	mani
πρώτον	primer
πρώτον	primera
πρώτον	primers
δημοσιογραφία	periodisme
ρυθμίσεις	configuració
ρυθμίσεις	arranjaments
ρυθμίσεις	arranjament
δένδρα	arbrat
δένδρα	arbres
δεκτός	acceptada
δεκτός	acceptats
δεκτός	acceptat
κολύμβηση	natació
ανέβηκαν	pujat
καλοκαίρια	estius
δουλεία	esclavitud
δουλεία	servitud
νηπιαγωγείο	preescolar
χρέος	deute
μειωμένη	disminuït
μειωμένη	reduït
μειωμένη	reduïda
πιτ	pete
υπεύθυνοι	responsable
βαυαρία	baviera
νεκρή	morts
νεκρή	dead
σεβίλλη	sevilla
σεβίλλη	sevilla
άσυλο	asil
κέρδος	lucre
κέρδος	guany
σιέρα	sierra
πολωνός	polonès
θησαυρός	tresor
θησαυρός	thesaurus
χάος	caos
κλαδιά	branques
λεπτή	fina
λεπτή	delicada
λεπτή	delicat
σουηδός	suec
υιοθέτηση	adopció
σινά	sinaí
αυτιά	orelles
αυτιά	espigues
αυτιά	oïdes
ηγεμονία	hegemonia
ηγεμονία	domini
κατάρ	qatar
ευρεσιτεχνίας	patent
απόσπαση	adscripció
μαλαισία	malàisia
μηχανήματα	maquinària
μηχανήματα	màquines
ερμηνεύει	interpreta
ποντίκι	ratolí
μίλερ	miller
μίλερ	muller
πυκνό	concentrar
πυκνό	concentrat
πυκνό	dens
πυκνό	densa
ύφασμα	tela
ύφασμα	teixit
συμβουλή	assessorament
συμβουλή	punta
συμβουλή	propina
σφάλματα	errors
σφάλματα	fallades
σφάλματα	errors
σφάλματα	bugs
σφάλματα	bitxos
καραμανλής	karamanlís
συντελεστή	coeficient
προσευχή	oració
προσευχή	pregària
άνταμς	adams
μεσημέρι	migdia
ήξερε	sabia
θυγατρική	subsidiària
θυγατρική	filial
γεωργιάδης	georgiadis
διαφυγής	escapar
διαφυγής	fugida
διαφυγής	fuga
διαφυγής	escape
ρομπ	rob
