raymond	raymond
comparte	distribuie
comparte	cota
comparte	share
comparte	distribuiri
comparte	acțiuni
jerry	jerry
árbitro	arbitru
árbitro	arbitrul
árbitro	arbitru
antropología	antropologie
favorable	favorabilă
favorable	favorabile
favorable	favorabil
favorable	favorabilă
favorable	favorabile
favorable	favorabil
bizantino	bizantin
significativa	semnificativ
significativa	semnificative
significativa	semnificativă
significativa	semnificativ
protegida	protejat
protegida	protejată
protegida	protejate
fiel	credincios
fiel	credincioasă
derivado	derivate
derivado	derivat
derivado	derivat
derivado	derivate
rodaje	filmarea
rodaje	filmez
rodaje	filmare
rodaje	fotografiere
escalera	scara
escalera	scară
escalera	scări
heinrich	heinrich
reglamento	reglementările
reglamento	reglementări
reglamento	regulamentele
reglamento	regulamente
reglamento	regulile
reglamento	reguli
reglamento	norme
reglamento	regulament
reglamento	regulamentul
reglamento	reglementare
reglamento	reglementarea
arabia	arabia
gigantes	giants
gigantes	gigant
gigantes	uriaș
experimentos	experimentele
experimentos	experimente
paisajes	peisajele
paisajes	peisaje
paisajes	peisaj
paisajes	peisajului
paisajes	peisajul
cuesta	cuesta
mito	mituri
mito	mitul
mito	mit
dispuesto	dispus
dei	dei
grabados	gravură
grabados	gravuri
grabados	înregistrate
grabados	înregistrată
grabados	înregistrat
grabados	inregistrat
grabados	amprente
grabados	amprentele
efectivo	cash
efectivo	numerar
robot	robotul
robot	robot
cárdenas	cárdenas
cuota	taxa
cuota	taxă
cuota	onorariu
cuota	comision
cuota	contingent
cuota	cotă
cuota	cota
roland	roland
obreros	lucrători
obreros	muncitori
obreros	muncitorii
obreros	lucrătorii
obreros	lucrătorilor
sagrada	sacre
sagrada	sacru
sagrada	sacra
sagrada	sacră
primarias	primare
primarias	primare
primarias	primară
primarias	primar
interpretaciones	interpretări
hembra	femeie
hembra	feminin
hembra	femelă
hembra	femela
diseñada	proiectat
diseñada	proiectată
diseñada	conceput
diseñada	proiectate
diseñada	concepute
empresarial	corporative
empresarial	corporativ
añadió	adăugată
añadió	adaugat
añadió	adăugate
añadió	adăugat
gold	auriu
gold	aur
gold	gold
gold	aurul
procedimientos	procedurile
procedimientos	proceduri
dominante	dominante
dominante	dominant
dominante	dominantă
fred	fred
rob	rob
chaco	chaco
luchador	luptator
luchador	luptătorul
luchador	luptător
luchador	luptătorul
luchador	luptător
ligera	lumină
ligera	light
ligera	lumina
ligera	ușoară
tocando	atingeri
tocando	atingerea
tocando	redarea
tocando	jucând
recuerdos	amintiri
recuerdos	amintirile
recuerdos	suveniruri
recuerdos	memorie
recuerdos	memoria
recuerdos	amintirea
recuerdos	amintire
site	situl
site	site
site	sit
mantenido	menținut
mantenido	păstrate
mantenido	păstrat
mantenido	ținut
específicos	specific
específicos	specifică
específicos	specifice
wright	wright
falla	eșec
falla	esec
falla	defect
falla	ratează
llano	llano
llano	plain
llano	câmpia
llano	câmpie
romper	break
romper	rupe
romper	pauza
romper	sparge
romper	pauză
romper	rupere
huerta	livada
huerta	livadă
huerta	huerta
septentrional	northern
septentrional	nordul
seguimiento	urmarire
seguimiento	urmărire
seguimiento	urmărirea
seguimiento	monitorizarea
seguimiento	monitorizare
difíciles	dificil
difíciles	dificile
difíciles	dificilă
cerveza	bere
cerveza	berea
proyección	screening
neerlandés	olandeză
neerlandés	olandezi
neerlandés	olandez
neerlandés	dutch
chiapas	chiapas
compuestas	compozit
compuestas	compozite
compuestas	compusul
compuestas	compus
bloqueado	blocat
bloqueado	încuiat
bloqueado	blocat
bloqueado	blocate
bloqueado	blocată
maneras	moduri
tocó	atins
tocó	atinsă
infierno	iadul
infierno	iad
infierno	infern
infierno	infernul
gastos	cheltuielile
gastos	cheltuieli
gastos	cheltuială
gastos	cheltuiala
gastos	cheltuieli
gastos	cheltuielile
gastos	cheltuieli
africana	africani
africana	africană
africana	africane
africana	african
conformado	conformat
depósito	depozit
depósito	depunere
lucio	lucio
lucio	pike
lucio	lucius
montenegro	muntenegru
montenegro	muntenegrul
avanzada	avansată
avanzada	avansate
avanzada	avansat
nucleares	nuclear
nucleares	nucleare
nucleares	nucleara
nucleares	nucleară
emma	emma
terry	terry
jornadas	zilele
jornadas	zile
situados	situata
situados	situate
situados	situată
situados	situat
lobos	lup
lobos	wolf
lobos	lupul
lobos	lupii
lobos	lupi
lobos	lobos
especialista	specialist
especialista	specialistul
octava	octavă
pendiente	panta
pendiente	pantă
pendiente	cercel
pendiente	restante
pendiente	remarcabil
realista	realistă
realista	realist
realista	realistă
realista	realiste
realista	realist
century	secolul
century	secol
century	century
definitivo	finală
definitivo	final
definitivo	finala
definitivo	definitivă
definitivo	definitive
definitivo	definitiv
recordar	amintindu
comenzando	început
comenzando	pornirea
comenzando	începând
comenzando	pornire
comenzando	incepand
paraíso	paradisul
paraíso	paradis
paraíso	paradise
autora	autor
autora	autorul
testimonio	martorul
testimonio	martoră
testimonio	martor
testimonio	martori
testimonio	mărturie
testimonio	marturie
testimonio	marturia
testimonio	mărturia
testimonio	mărturii
malta	malta
aerolíneas	airlines
balonmano	handbal
bloques	blocuri
positiva	pozitiv
positiva	pozitivă
positiva	pozitive
separa	separă
turner	turner
vidal	vidal
polvo	praful
polvo	praf
polvo	pulbere
polvo	praf
polvo	pudră
tomada	luată
