மற்றும்	そして
ஒரு	一つ
ஒரு	one
ஒரு	一人
ஒரு	ワン
இந்த	この
இந்த	これ
இந்த	これらの
இந்த	これら
ஆம்	はい
இது	この
இது	これ
மக்கள்	ピープル
என்ற	派生
ஆண்டு	イヤー
இருந்து	から
பல	多数
பல	倍数
பல	複数
முதல்	から
முதல்	ファースト
முதல்	最初
மேலும்	もっと
தொகை	金額
சில	少数
சில	いくつか
சில	一部
சில	いくらか
அவர்	him
இருக்கும்	既存
வெளி	アウトソーシング
வெளி	外部
வெளி	スペース
வெளி	空間
மூலம்	ソース
மூலம்	出典
மூலம்	オリジナル
வரை	引き分け
வரை	ドロー
வரை	until
வரை	まで
பின்னர்	それから
பின்னர்	後で
ஆனால்	でも
ஆனால்	しかし
வேண்டும்	ニーズ
வேண்டும்	欲しい
கொண்டு	持ち込み
கொண்டு	ブリング
பட்டியல்	プレイリスト
பட்டியல்	リスト
அதன்	its
பெண்கள்	ガールズ
பெண்கள்	女性
கொண்டுள்ளது	has
கொண்டுள்ளது	含む
போது	いつ
போது	とき
இணைப்புகள்	つながり
இணைப்புகள்	接続
இணைப்புகள்	添付
இணைப்புகள்	リンク
இரண்டு	二つ
இரண்டு	二人
தகவல்	情報
தகவல்	情報
தகவல்	メッセージ
தகவல்	伝言
மாவட்ட	地区
மாவட்ட	ディストリクト
மொத்த	合計
வளர்ச்சி	発達
வளர்ச்சி	開発
வளர்ச்சி	成長
வளர்ச்சி	発育
மாவட்டம்	地区
மாவட்டம்	ディストリクト
திட்டம்	プロジェクト
திட்டம்	計画
திட்டம்	プラン
தேசிய	国民
தேசிய	ナショナル
கலந்து	出席
இங்கு	ここ
அமெரிக்க	アメリカン
அடிப்படை	基底
அடிப்படை	塩基
அடிப்படை	base
அடிப்படை	ベース
அடிப்படை	基本
அடிப்படை	ベーシック
அடிப்படை	basic
பெயர்	名前
பெயர்	氏名
பெயர்	名称
பெயர்	ラベル
மூன்று	三人
மூன்று	three
மூன்று	スリー
ஆண்கள்	オス
ஆண்கள்	男性
ஆண்கள்	メン
ஒன்று	集める
ஒன்று	一つ
ஒன்று	one
ஒன்று	一人
ஒன்று	ワン
ஐக்கிய	ユナイテッド
புதிய	new
புதிய	新しい
புதிய	新規
புதிய	フレッシュ
அவரது	his
மொத்தம்	合計
மொத்தம்	合計
இவை	これらの
இவை	これら
சிறந்த	グレート
சிறந்த	最高
சிறந்த	ベスト
சிறந்த	best
சிறந்த	優れた
அரசு	政府
வசதிகள்	施設
வசதிகள்	設備
இந்தியா	インド
பெரிய	グレート
பெரிய	大きな
பெரிய	大きい
பெரிய	ビッグ
பெரிய	大きい
நாள்	day
நாள்	一日
பிறப்பு	ジェネリック
பிறப்பு	誕生
பிறப்பு	ハッチ
பிறப்பு	孵化
இருந்தது	was
முக்கிய	メイン
முக்கிய	重要
பல்வேறு	品種
பல்வேறு	バラエティ
பல்வேறு	変種
இருந்த	were
திரைப்படங்கள்	映画
பிற	その他
மொழி	言語
முறை	方法
முறை	メソッド
முறை	プロシージャ
முறை	手順
முறை	手続き
முறை	モード
கோயில்	テンプル
கோயில்	寺院
கோயில்	神殿
விருது	受賞
விருது	表彰
பொதுவாக	全般
பொதுவாக	一般
பொதுவாக	将軍
அக்டோபர்	十月
செய்து	コミット
தன்	his
தொடர்ந்து	キープ
இரண்டாம்	番目
இரண்டாம்	セカンド
சென்னை	チェンナイ
வரும்	来る
வரும்	カミング
மே	メイ
மே	五月
ஒவ்வொரு	それぞれ
மட்டுமே	のみ
வரலாறு	履歴
வரலாறு	由緒
வரலாறு	歴史
வரலாறு	沿革
பகுதியில்	面積
பகுதியில்	領域
பகுதியில்	エリア
நூல்கள்	書物
நூல்கள்	帳簿
நூல்கள்	書籍
பின்	ピン
பின்	pin
பின்	アフター
பின்	戻る
பின்	後ろ
பின்	背中
பின்	裏側
இல்லை	not
நவம்பர்	十一月
அதிக	ハイ
அதிக	高い
காலத்தில்	期間
காலத்தில்	ピリオド
மிக	歯痛
நான்கு	four
நான்கு	フォー
பிறகு	それから
பிறகு	後で
பிறகு	アフター
அரசியல்	政治
பகுதி	面積
பகுதி	領域
பகுதி	エリア
பகுதி	リージョン
பகுதி	地域
பகுதி	パート
பகுதி	部分
பகுதி	セグメント
பகுதி	線分
பற்றி	について
ஆறு	シックス
ஆறு	six
ஆறு	河川
மீண்டும்	再び
மீண்டும்	アゲイン
இங்கிலாந்து	イギリス
காலம்	季節
காலம்	シーズン
காலம்	期間
காலம்	ピリオド
காலம்	タイム
காலம்	時間
நிலை	位置
நிலை	ポジション
நிலை	役職
நிலை	都道府県
நிலை	状態
நிலை	レベル
ஒரே	同じ
ஒரே	おなじ
போர்	戦争
காரணமாக	締切
பொருள்	素材
பொருள்	材料
பொருள்	マテリアル
பொருள்	製品
