উজবেক	uzbecké
পরিণতি	osudu
পরিণতি	osud
পরিণতি	důsledky
পরিণতি	následky
রোমাঞ্চকর	vzrušující
রোমাঞ্চকর	vzrušující
উপার্জন	výdělky
উপার্জন	výdělek
উপার্জন	vydělávat
ব্যাটালিয়ন	prapor
বলেছে	řekla
বলেছে	řekl
বলেছে	říkal
বাস্তবায়িত	provedena
স্রোত	příliv
স্রোত	odliv
স্রোত	proudy
কাদা	bahno
কাদা	bahna
কাদা	bláto
কাদা	hlína
কাদা	hlíny
কাদা	clay
টেম্পল	svatyně
টেম্পল	temple
টেম্পল	chrám
নমনীয়	pružné
নমনীয়	flexibilní
ওষুধের	léky
ওষুধের	drogy
বন্দীদের	vězně
বন্দীদের	vězni
বন্দীদের	zajatci
বন্দীদের	rukojmí
বন্দীদের	rukojmích
বন্দীদের	zadržených
হারায়	ztratí
হারায়	ztrácí
পটাসিয়াম	draslíku
পটাসিয়াম	draslík
পটাসিয়াম	draselný
ডেনিশ	dánský
ডেনিশ	dánská
ডেনিশ	dánské
ত্রিভুজ	trojúhelník
ট্রিলিয়ন	bilionů
ফার	daleko
মানসিকভাবে	psychicky
মানসিকভাবে	duševně
মানসিকভাবে	mentálně
মানসিকভাবে	psychologicky
লুনা	luna
ডেটা	dat
ডেটা	data
ডেটা	údaje
গ্রাস	tráva
গ্রাস	trávy
প্লাজা	plaza
পাল্টে	změnit
পাল্টে	změna
পাল্টে	změny
ওরফে	alias
এট	jedla
এট	snědl
এট	jedli
এট	jedl
ক্যাপ	čepice
ক্যাপ	víčko
ক্যাপ	szp
ক্যাপ	cap
ট্যাংক	tanku
ট্যাংক	tank
ট্যাংক	nádrž
ট্যাংক	nádrže
ট্যাংক	tanky
ট্যাংক	cisterny
ইউরেনিয়াম	uran
গিল্ড	cech
অবাধ	rebel
আকর্ষণের	atrakce
আকর্ষণের	přitažlivost
মনিকা	monika
মনিকা	monika
মনিকা	monica
ঝামেলা	bordel
ঝামেলা	nepořádek
ঝামেলা	problémy
ঝামেলা	trable
ঝামেলা	problém
ঝামেলা	potíže
সমীর	samir
জজ	judge
জজ	soudce
জজ	soudkyně
কমান্ডো	komanda
কমান্ডো	komando
আয়েশা	aisha
সামঞ্জস্যপূর্ণ	slučitelné
সামঞ্জস্যপূর্ণ	kompatibilní
মণি	moni
ঐতিহ্যগতভাবে	tradičně
মিখাইল	michail
ব্রুনাই	brunej
অনুদিত	přeloženo
দোষ	obviňování
দুরে	roztomilý
দুরে	roztomilé
দুরে	roztomilá
গঠনমূলক	konstruktivní
অন্যায়	nespravedlnosti
অন্যায়	nespravedlnost
অন্যায়	bezpráví
ছদ্মনাম	pseudonym
স্টেইন	stein
চিকন	tenké
চিকন	tenká
চিকন	tenký
চিকন	hubená
রূপা	stříbrná
রূপা	stříbrné
রূপা	stříbro
রূপা	silver
শিখা	plamen
সোমালি	somálských
মুফতি	muftí
সমর	samar
জেরি	jerryho
জেরি	jerry
সামগ্রিকভাবে	celkově
সামগ্রিকভাবে	celková
সামগ্রিকভাবে	celkové
অপেক্ষায়	čeká
অপেক্ষায়	čekat
অপেক্ষায়	čekám
অপেক্ষায়	čekání
নিবেদিত	oddaná
নিবেদিত	oddaný
ইতি	již
ইতি	už
ইতি	iti
বারি	bari
আভিধানিক	lexikální
রিচার্ডসন	richardson
অমল	amal
দামী	nákladné
দামী	drahé
এডি	eddie
এডি	eddieho
আংশিকভাবে	částečně
আংশিকভাবে	zčásti
ভুট্টা	kukuřice
ভুট্টা	kukuřice
ভুট্টা	kukuřici
ইয়াকুব	jacob
ইয়াকুব	jakub
ইয়াকুব	jakuba
কভার	krýt
কভার	obal
কভার	krytí
কভার	pokrytí
কভার	kryty
কভার	zahrnuje
প্রতিযোগীতা	soutěž
