দামী	дорого
এডি	едді
আংশিকভাবে	частково
ভুট্টা	кукурудза
ভুট্টা	кукурудзу
ভুট্টা	кукурудза
ভুট্টা	кукурудзи
ইয়াকুব	якоб
ইয়াকুব	джейкоб
ইয়াকুব	яків
কভার	обкладинку
কভার	cover
কভার	обкладинка
কভার	обкладинки
কভার	обкладинки
কভার	охоплює
কভার	обкладинок
প্রতিযোগীতা	конкурс
প্রতিযোগীতা	євробачення
গর্ভবতী	вагітна
গর্ভবতী	вагітності
গর্ভবতী	вагітною
গর্ভবতী	вагітні
বারাক	бараку
বারাক	барак
কবে	коли
পরিদর্শক	оглядач
ব্যতিক্রমী	винятковий
বিএনপির	bnp
ভূমধ্যসাগরীয়	середземне
প্রতিনিয়ত	постійно
পেইজ	пейдж
পেল	яблуко
পেল	apple
পেল	яблучко
এবিসি	abc
গাইতে	співають
গাইতে	співай
গাইতে	співаю
সার্কাস	цирк
প্রতীকী	символічне
প্রতীকী	символічні
প্রতীকী	символічних
গিনেস	гіннеса
ফর্মুলা	формула
আইভরি	айворі
ভিসা	візи
ভিসা	віза
ভিসা	візи
কমিকস	comics
কমিকস	комікси
কমিকস	комікс
আঙুল	пальця
আঙুল	палець
আঙুল	пальцем
আঙুল	пальцями
আঙুল	пальці
সভ্য	цивілізованому
লক্ষাধিক	мільйонами
লক্ষাধিক	мільйони
ইউটিউব	youtube
শাল	шаль
ঠাণ্ডা	холодні
ঠাণ্ডা	холодна
ঠাণ্ডা	холод
ঠাণ্ডা	холодно
ঠাণ্ডা	холодний
উইসকনসিন	вісконсин
কোকা	кока
আরু	aru
শিশুরা	діти
শিশুরা	дітям
শিশুরা	дітьми
শিশুরা	дітлахи
শিশুরা	дітки
শিশুরা	діти
শিশুরা	дітьми
শিশুরা	дітей
শিশুরা	діти
শিশুরা	малюків
শিশুরা	немовлята
প্রত্যেকে	everybody
প্রত্যেকে	усі
প্রত্যেকে	всім
প্রত্যেকে	усіх
প্রত্যেকে	усі
প্রত্যেকে	усім
প্রত্যেকে	всіх
বাদাম	горіх
বাদাম	маячня
বাদাম	горішків
ভালবাসার	любов
ভালবাসার	кохаю
ভালবাসার	кохання
অগণিত	незліченні
মাল্টি	multi
দাবির	копальні
দাবির	стверджують
দাবির	вимагати
দাবির	володарі
দাবির	вимагає
দাবির	заявляє
দাবির	стверджує
দত্তক	усиновлення
দত্তক	прийняття
মাইলফলক	орієнтир
মাইলফলক	етап
হ্যারল্ড	гарольд
প্রোগ্রামার	програмісти
প্রোগ্রামার	програмістів
প্রোগ্রামার	програміст
টিকিট	квитки
টিকিট	квиток
টিকিট	квитків
নিরাপদে	безпечно
অ্যালুমিনিয়াম	алюміній
অ্যালুমিনিয়াম	алюміній
চক	чок
বলল	сказала
বলল	казали
বলল	сказали
বলল	сказав
বলল	казав
বলল	саїд
ময়ূর	павич
হুগো	гуго
রুটি	хліба
রুটি	хліб
ভয়ঙ্কর	лякає
ভয়ঙ্কর	страшна
ভয়ঙ্কর	страшно
ভয়ঙ্কর	страшне
ভয়ঙ্কর	страшний
ভয়ঙ্কর	жахливо
ভয়ঙ্কর	страшні
কারারুদ্ধ	закрила
মুলার	мюллер
পুঁজি	капіталізм
প্রিক্স	prix
প্রিক্স	прі
বমি	блювання
বিসর্জন	жертва
বিসর্জন	будівельників
বেটা	бета
পাগলা	шалено
পাগলা	шалені
পাগলা	скажений
পাগলা	шалений
আইনী	правові
আইনী	правова
আইনী	юридична
আইনী	юридичні
আইনী	юридичний
ডেম	дем
ডেম	дам
কূটনীতিবিদ	дипломат
মুষ্টিযুদ্ধ	бокс
ল্যান্ড	земля
সিনা	cena
সিনা	sina
শামুক	сенсація
শামুক	равлик
পাইন	сосна
লিঃ	ltd
কম্পন	quake
ক্রু	екіпаж
