ve	и
bir	одна
bir	one
bir	одно
bir	один
bu	this
bu	это
bu	эта
bu	этот
bu	это
bu	that
de	скажи
de	скажем
de	скажите
de	сказать
ile	с
ile	with
için	для
için	for
için	за
en	избранное
en	любимых
en	избранные
daha	более
daha	больше
daha	еще
sonra	тогда
sonra	потом
sonra	затем
sonra	после
sonra	after
sonra	позднее
sonra	позже
ilk	первый
ilk	сначала
ilk	первое
ilk	первая
ilk	first
utc	utc
çok	очень
çok	многое
çok	много
yer	место
yer	местоположение
yer	расположение
yer	местонахождение
yer	место
gibi	нравится
gibi	like
gibi	как
dış	внешняя
dış	внешний
büyük	большой
büyük	крупных
büyük	крупный
büyük	большая
büyük	крупные
büyük	большие
büyük	большая
büyük	big
büyük	большие
büyük	большой
büyük	биг
büyük	огромная
büyük	огромный
büyük	огромные
büyük	огромное
bağlantılar	соединения
bağlantılar	связи
bağlantılar	ссылки
bağlantılar	контакты
of	тьфу
türkiye	индейка
türkiye	турция
türkiye	турцию
türkiye	турции
iki	ики
iki	два
iki	две
iki	двое
ancak	однако
center	центр
arasında	среди
arasında	между
ayrıca	также
istanbul	стамбуле
istanbul	стамбул
türk	турок
türk	турецкие
türk	турецкая
türk	турецкий
türk	турции
diğer	другой
diğer	другая
diğer	другое
diğer	другие
diğer	прочие
yeni	новые
yeni	новинка
yeni	новая
yeni	новый
yeni	новых
yeni	новое
un	мука
un	муку
un	муки
her	каждая
her	каждую
her	каждый
her	каждое
kulüp	club
kulüp	клуб
bağlı	придает
bağlı	прилагается
bağlı	связаны
bağlı	привязана
bağlı	зависит
bağlı	смотря
bağlı	связаны
bağlı	связанный
bağlı	связанные
iyi	хорош
iyi	хороша
iyi	хороший
iyi	хорошее
iyi	хорошо
ne	что
ne	какие
ne	какая
ne	какой
ilgili	актуально
ilgili	соответствующих
ilgili	заинтересованных
ilgili	заинтересованная
ilgili	интересует
ilgili	заинтересованным
ilgili	интересно
ilgili	заинтересованные
ilgili	связанные
son	последние
son	последнее
son	last
son	последний
son	последняя
son	конце
son	end
son	конец
alan	поля
alan	филд
alan	поле
alan	домен
alan	домена
alan	алан
alan	область
alan	район
alan	площадь
dünya	world
dünya	мир
dünya	earth
dünya	земля
abd	сша
abd	usa
birlikte	вместе
bulunan	расположенных
bulunan	расположенный
eski	старая
eski	old
eski	старые
eski	старое
eski	старый
and	андского
önemli	актуальное
önemli	подчеркивает
önemli	важная
önemli	важно
önemli	важных
önemli	важное
önemli	важные
önemli	важны
önemli	существенное
önemli	значительные
önemli	значительное
önemli	значительный
önemli	существенные
madde	вещество
madde	материал
madde	материалы
madde	материя
madde	статья
sağlık	оздоровительный
sağlık	медицинская
sağlık	медицинских
sağlık	медицинское
sağlık	медицинский
sağlık	здоровья
sağlık	здоровье
sağlık	здравоохранения
sağlık	здравоохранение
sağlık	здравоохранение
genel	общие
genel	генерал
mart	mart
mart	март
mart	марш
mart	март
mart	марта
adı	имя
adı	название
film	фильмы
film	фильмов
film	фильм
film	кино
film	фильм
film	film
film	кино
film	фильмы
film	кино
haziran	июнь
haziran	джун
haziran	июня
mayıs	мая
mayıs	мэй
mayıs	май
mayıs	майские
dosya	файлы
dosya	файлов
dosya	файл
ocak	джен
ocak	ян
ocak	яна
ocak	джан
ocak	январь
ocak	января
ocak	плита
ocak	печь
ocak	плита
yıl	год
dan	дан
dan	дэн
kasım	ноября
kasım	ноябрь
kasım	касим
kasım	ноябрь
kasım	ноя
avrupa	europe
avrupa	европу
avrupa	европа
avrupa	европы
avrupa	europa
avrupa	европа
avrupa	европейская
avrupa	европейского
avrupa	европейское
avrupa	европейский
ama	но
karşı	счетчик
karşı	против
toplam	сумма
toplam	всего
toplam	итого
jpg	jpg
ikinci	секунда
ikinci	второй
ikinci	вторая
ikinci	второе
eylül	сентября
eylül	сентябрь
ağustos	августа
ağustos	август
içinde	внутри
içinde	изнутри
içinde	внутрь
temmuz	июль
önce	до
önce	перед
önce	прежде
önce	первый
önce	сначала
önce	первое
önce	первая
önce	first
tüm	целая
tüm	целые
tüm	целое
tüm	целиком
den	логово
den	ден
nisan	эйприл
nisan	апрель
nisan	апреля
resim	картинка
resim	фотография
resim	фотка
resim	имидж
resim	картинка
resim	образ
resim	изображения
resim	изображение
resim	картина
resim	живопись
resim	рисование
resim	рисование
resim	рисунок
üniversitesi	университет
ye	ешь
ekim	октябрь
ekim	октября
ekim	октябрь
ekim	октября
şehir	town
şehir	город
şehir	городок
şehir	city
şehir	город
şehir	города
şehir	городское
şehir	городские
şehir	городских
ptt	ptt
zaman	время
zaman	времени
zaman	тайм
zaman	time
bazı	некоторых
bazı	некоторые
aralık	декабрь
aralık	дек
aralık	декабрь
aralık	интервал
aralık	промежуток
köy	деревне
köy	село
köy	деревня
yüksek	высокий
yüksek	high
yüksek	высоко
yüksek	высокого
yüksek	высокая
yüksek	выше
birçok	многих
birçok	много
birçok	многим
birçok	многие
şubat	февраля
şubat	февраль
şubat	февраля
şubat	февраль
sadece	только
sadece	просто
sadece	только
yol	путь
yol	маршрут
yol	трасса
yol	путь
yol	way
yol	способ
yol	дорога
yol	дорожной
yol	road
yol	роуд
fakat	но
grup	band
grup	группа
grup	группы
grup	group
takım	спасатели
takım	команда
takım	отряд
takım	взвод
takım	команда
takım	team
kendi	собственная
kendi	собственных
kendi	собственные
kendi	собственный
kendi	собственное
şekilde	путь
şekilde	way
şekilde	способ
tek	разряд
tek	сингл
bilgi	информация
bilgi	info
bilgi	инфо
bilgi	информация
bilgi	знания
bilgi	знание
kez	времена
kez	таймс
kez	times
hakkında	about
hakkında	о
osmanlı	османской
osmanlı	османов
devlet	штат
devlet	состояние
devlet	государство
devlet	правительство
ankara	анкаре
lats	латов
colspan	colspan
üç	три
üç	трое
tarihi	свидание
tarihi	дата
tarihi	исторических
tarihi	историческое
tarihi	исторический
tarihi	исторические
tarihi	историческая
tarihi	истории
tarihi	история
başladı	начали
başladı	начато
başladı	начал
başladı	началось
başladı	начато
küçük	маленькая
küçük	маленькие
küçük	малых
küçük	маленький
küçük	мелкие
küçük	малые
küçük	лил
küçük	little
küçük	маленький
küçük	маленькая
küçük	мало
küçük	маленькие
müzik	музыка
müzik	музыку
müzik	music
gelen	входящие
gelen	входящий
resmi	формальный
resmi	формальные
resmi	картинка
resmi	фотография
resmi	фотка
resmi	официальных
resmi	официальное
resmi	официальный
resmi	официальная
resmi	официальные
kabul	согласился
kabul	согласна
kabul	согласен
kabul	согласовано
kabul	согласованные
kabul	принятие
kabul	признание
kabul	принятии
kabul	принимает
kabul	принимаю
kabul	примите
kabul	принимаем
kabul	принять
kabul	принят
kabul	принята
kabul	приняты
kabul	принято
kabul	согласен
kabul	согласна
kabul	согласны
kabul	согласиться
devam	продолжить
devam	продолжаем
devam	продолжать
kupası	чашка
kupası	чаша
kupası	кубок
kupası	cup
fazla	избыток
fazla	превышение
fazla	излишки
okulu	школе
okulu	school
okulu	школа
okulu	школы
aldı	принято
aldı	принятых
aldı	взяты
aldı	забрала
aldı	взял
aldı	забрал
aldı	получено
aldı	получен
aldı	полученная
aldı	полученные
aldı	получены
em	отстой
sahip	господин
sahip	сахиб
farklı	разные
farklı	различных
futbol	футбол
futbol	футбол
ileti	сообщение
ileti	послание
doğru	точные
doğru	точная
doğru	точный
doğru	точной
doğru	правильно
doğru	верно
doğru	вправо
doğru	true
doğru	правда
doğru	правильно
doğru	исправить
doğru	правильное
doğru	правильный
tarım	сельскохозяйственные
tarım	сельскохозяйственных
tarım	сельскохозяйственная
tarım	земледелия
on	десять
on	десятка
on	ten
özel	эксклюзивный
özel	эксклюзивные
özel	исключительной
özel	частное
özel	частный
özel	частная
özel	частного
özel	личное
özel	частные
özel	особая
özel	специальный
özel	специального
özel	специальная
özel	специальные
özel	специальное
özel	индивидуально
özel	обычай
biri	одна
biri	one
biri	одно
biri	один
alanı	поля
alanı	филд
alanı	поле
alanı	область
alanı	район
alanı	площадь
vikipedi	википедия
vikipedi	википедии
uzun	высокий
uzun	высокие
uzun	высокая
uzun	расширенный
uzun	расширенная
uzun	расширенное
uzun	продлен
uzun	выше
uzun	длинный
uzun	длинная
uzun	длинные
uzun	долго
uzun	лонг
şarkı	поет
şarkı	поют
şarkı	пою
şarkı	пение
şarkı	петь
şarkı	песни
şarkı	songs
şarkı	песня
şarkı	песнь
şarkı	song
eden	иден
lig	лиги
lig	лига
orta	средняя
orta	ближнем
orta	средний
orta	среднее
orta	средняя
orta	средних
orta	средний
orta	среднее
orta	средние
orta	середина
orta	середине
orta	центр
orta	центр
oyuncu	игрок
oyuncu	проигрыватель
oyuncu	актёр
oyuncu	актер
oyuncu	актриса
geri	назад
geri	назад
geri	back
geri	спина
geri	обратно
mesaj	текста
mesaj	текст
mesaj	сообщение
mesaj	послание
mesaj	сообщения
mesaj	сообщений
mesaj	послания
elektrik	электричество
elektrik	электроэнергии
elektrik	электрический
elektrik	электрические
elektrik	электрических
elektrik	электрическая
elektrik	электрический
elektrik	электрик
elektrik	electric
elektrik	электрическая
ardından	после
ardından	after
merkezi	центральная
merkezi	центральное
merkezi	центральной
merkezi	центральный
merkezi	центр
merkezi	центр
kısa	короче
kısa	короткая
kısa	короткий
kısa	короткое
kısa	короткие
kısa	коротко
kısa	кратко
kısa	краткая
kısa	краткое
güney	южные
güney	южная
güney	южный
güney	южной
güney	южное
güney	южная
güney	юг
güney	южный
güney	южной
