гостиница	готель
навигации	навігація
навигации	навігації
развиваться	розвиватися
хозяин	власник
хозяин	майстер
хозяин	магістр
хозяин	вчителю
хозяин	master
ранг	звання
ранг	вартості
дополнительное	додаткова
дополнительное	додаткові
дополнительное	додатковий
дополнительное	зайві
дополнительное	додаткова
дополнительное	додаткові
колония	колонія
носила	носив
носила	одягнений
арнольд	арнольд
борцы	борці
боги	боги
обложка	обкладинку
обложка	cover
обложка	обкладинка
обложка	обкладинки
классическая	класична
классическая	класична
классическая	класичні
классическая	класичний
классическая	класика
классическая	класичне
картинки	зображення
картинки	зображень
картинки	зображення
картинки	картинки
нынешней	поточні
нынешней	поточний
нынешней	поточна
нынешней	течія
нынешней	струм
перепись	перепис
принадлежали	належали
принадлежали	належав
объяснения	пояснення
рад	радий
рад	раді
швейцарский	швейцарський
швейцарский	швейцарська
зубов	зуби
грант	грант
грант	надати
дискуссия	дискусії
дискуссия	дискусія
дискуссия	обговорення
барабаны	ударні
барабаны	барабани
студент	студентка
студент	студентська
студент	студент
историографии	історіографія
водорода	водню
шотландский	шотландська
охоты	полювання
образы	зображення
образы	зображень
вон	вон
проявляется	виявив
якутии	yakutia
домашние	домашній
дэн	дан
дэн	dan
дэн	ден
дэн	закохатися
дэн	ден
приборы	інструментів
приборы	інструментами
квартиру	рівна
арест	арешт
рисунки	зображення
рисунки	картинки
рисунки	креслення
рисунки	малюнки
заказ	замовити
заказ	ордер
заказ	наказ
заказ	порядок
павлов	павлов
социальный	соціальне
социальный	соціальні
социальный	соціальна
социальный	соціальний
обсуждается	дискусія
красноярск	красноярськ
выразил	висловив
выразил	висловили
реальность	реальність
реальность	реаліті
хасан	хасан
хасан	хассан
намерения	наміри
гонсалес	гонсалес
гонсалес	гонсалес
хоп	гоп
хоп	hop
хоп	хоп
юлий	юліус
юлий	юлій
мок	ioc
арбитр	арбітр
арбитр	рефері
свадьба	весілля
вреда	шкоди
журналистики	журналісти
журналистики	журналістика
преобразование	перетворення
преобразование	перетворення
преобразование	конверсія
преобразование	трансформація
преобразование	перетворення
преобразование	перетворити
преобразование	перетворення
ученый	вчений
ученый	науковець
ученый	історик
ученый	вченим
театры	театрів
содружества	співдружності
гитары	гітару
гитары	гітара
гитары	гітар
крейсеров	cruisers
неба	небом
неба	небо
политехнический	політехнічний
закрыто	закрита
закрыто	закрито
закрыто	закриті
закрыто	зачинено
мельница	вітряк
мельница	млин
механик	механік
склад	склад
склад	зберігання
склад	носії
склад	сховище
публично	публічно
джейсон	джейсон
джейсон	ясон
чрезвычайный	надзвичайні
чрезвычайный	надзвичайна
критическое	критична
критическое	критичні
критическое	критичний
используемые	використовується
используемые	використана
используемые	використані
используемые	використано
прощения	прощення
райан	раян
особняк	маєток
хлеб	хліба
хлеб	хліб
ближайшее	найближчий
ближайшее	найближча
избрана	обраний
избрана	обрання
сады	арля
сады	сади
сады	садів
слоя	шаром
слоя	шар
движок	рушій
движок	двигун
девочки	дівчатка
девочки	дівчата
освободить	випуск
освободить	реліз
освободить	випуску
освободить	звільнення
середина	середина
