den	os
med	med
med	com
som	like
som	curta
som	como
som	qual
runt	redonda
runt	redondo
runt	ronda
runt	round
runt	rodada
månaden	mensal
månaden	mensalmente
månaden	mensais
månaden	mês
nederbörd	chuvas
nederbörd	precipitação
ligger	mentiras
ligger	localizada
ligger	localizado
ligger	localizados
ingår	incluído
ingår	incluídas
ingår	incluso
ingår	incluido
ingår	incluídos
ingår	inclui
att	essa
att	isso
att	que
ett	um
ett	uma
ett	one
över	over
familjen	família
familjen	familia
för	por
för	para
inga	nenhum
inga	nenhuma
inga	inga
delen	part
delen	parte
släktet	género
släktet	gênero
underarter	subespécies
underarter	subespécie
life	vida
life	life
listade	listada
listade	listado
listade	enumerados
listade	listados
landet	pais
landet	país
meter	metro
meter	metros
meter	contadores
meter	metros
meter	medidores
meter	medidor
meter	contador
meter	métrica
meter	jardas
huvudstaden	capitol
huvudstaden	capitólio
huvudstaden	capitais
huvudstaden	capital
havet	mar
havet	oceanos
havet	oceano
invånare	habitantes
invånare	residentes
invånare	moradores
invånare	cidadãos
januari	janeiro
millimeter	milímetro
millimeter	milímetros
millimeter	milímetro
millimeter	milímetros
genomsnitt	médio
genomsnitt	média
genomsnitt	médias
genomsnittlig	médio
genomsnittlig	média
var	var
var	estava
var	era
var	tava
var	foi
var	estavam
var	foram
var	eram
var	aonde
var	onde
juli	julho
juli	juli
han	han
har	tem
har	tenha
har	ter
per	per
vattendrag	rios
från	do
från	de
från	da
kanada	canadá
kanada	canada
provinsen	província
närheten	proximidade
men	mas
högsta	supremo
högsta	suprema
högsta	máximo
högsta	máxima
augusti	augusto
augusti	august
augusti	agosto
kan	poderiam
kan	podia
kan	poderia
kan	podiam
kan	pode
kan	podem
kan	lata
kan	can
länkar	ligações
länkar	links
externa	externas
externa	externo
externa	externos
externa	externa
läge	localização
läge	mode
läge	modalidade
läge	modo
även	igualmente
även	também
februari	fevereiro
under	durante
under	sob
under	under
lake	lago
sjö	lago
sjö	mar
inte	não
sig	sig
kommun	município
kommun	concelho
två	duas
två	two
två	dois
lac	lac
terrängen	terrenos
terrängen	terreno
long	longa
long	longos
long	longo
long	comprido
long	long
juni	juni
juni	june
juni	junho
lat	lat
lat	preguiça
lat	preguiçosa
lat	preguiçosos
lat	preguiçoso
december	dezembro
växer	crescendo
växer	crescente
växer	crescer
växer	cresce
växer	crescem
växer	cresçam
växer	cresça
växer	cresce
många	muitos
många	muitas
efter	após
efter	after
efter	depois
nära	fecha
nära	feche
nära	perto
nära	close
nära	fechar
nära	perto
nära	próximo
väster	west
väster	ocidente
väster	oeste
provins	província
öster	oriente
öster	leste
öster	east
först	primeira
först	primeiros
först	primeiramente
först	primeiro
berg	montanha
berg	berg
berg	montanhas
indonesien	indonésia
usa	eua
usa	usa
mars	march
mars	marchar
mars	marcha
mars	março
mars	marte
mars	mars
mindre	menor
mindre	menor
mindre	menores
mindre	menor
mindre	minor
mindre	menos
norr	norte
norr	north
oktober	outubro
man	man
man	pá
man	cara
man	homem
september	setembro
större	major
större	maiores
större	maior
större	maiores
större	maior
större	maiores
större	maior
centrala	centrais
centrala	central
nordväst	noroeste
andra	segunda
andra	second
andra	segundo
andra	outro
andra	outros
andra	outras
andra	outra
andra	outros
andra	outras
hade	tive
hade	tinha
hade	teve
där	ai
där	ali
där	aí
där	lá
där	aonde
där	onde
nordost	nordeste
county	condado
nog	suficiente
nog	chega
nog	nog
huvudsakligen	principalmente
huvudsakligen	principalmente
huvudsakligen	primariamente
ovanligt	invulgar
ovanligt	incomum
ovanligt	incomum
namngivna	nomeada
namngivna	nomeado
söder	sul
söder	south
mycket	muito
mycket	muito
mycket	much
jpg	jpg
regionen	região
ottawa	otava
ottawa	ottawa
creek	creek
creek	riacho
november	novembro
maj	may
maj	maio
maj	pode
cest	cest
platt	platt
född	born
född	nascido
född	nascida
född	nasceu
finland	finlândia
finland	finlandia
samhälle	society
samhälle	sociedade
samhälle	comunidade
hon	ela
hon	she
består	composta
består	consiste
platser	assentos
platser	lugares
platser	bancos
platser	localizações
platser	localidades
platser	locais
platser	locais
platser	lugares
platser	sítios
platser	sítios
platser	sites
första	primeira
första	primeiros
första	primeiramente
första	primeiro
fick	got
fick	recebida
fick	recebido
fick	receberam
fick	recebidos
fick	recebeu
fick	recebidas
sydväst	sudoeste
området	area
området	área
australien	austrália
australien	montar
sydöstra	sudeste
sydöstra	sudeste
april	april
april	abril
bar	barra
bar	bar
sydost	sudeste
hans	hans
hans	seu
hans	his
hans	sua
södra	sulistas
södra	sulista
södra	sul
södra	southern
södra	meridional
södra	sul
södra	south
södra	södra
toppen	ótima
toppen	grande
toppen	ótimo
toppen	topo
toppen	top
sverige	suécia
sedan	então
sedan	depois
sedan	since
sedan	desde
östra	oriente
östra	leste
östra	east
östra	orientais
östra	oriental
östra	leste
östra	eastern
cet	cet
genom	através
genom	through
sitt	senta
kilometer	quilómetros
kilometer	quilômetros
kilometer	quilómetro
kilometer	quilómetros
kilometer	quilômetros
norra	norte
norra	north
norra	norte
norra	setentrional
norra	northern
också	igualmente
också	também
också	também
också	demais
talet	discurso
detta	este
detta	esta
detta	isso
detta	isto
detta	essa
detta	esse
mot	contra
mot	mot
västra	west
västra	ocidente
västra	oeste
västra	ocidental
västra	ocidentais
västra	western
västra	oeste
del	part
del	parte
del	del
riktning	direção
riktning	direcção
namn	nome
namn	nomes
vilket	qual
svenska	suecos
svenska	sueco
svenska	sueca
svenska	svenska
mellan	entre
svensk	suecos
svensk	sueco
svensk	sueca
svensk	sueco
svensk	svensk
när	quando
när	when
cerro	cerro
frankrike	franca
frankrike	frança
död	death
död	morte
död	morta
död	morto
död	mortos
död	dead
kulle	colina
kulle	hill
kina	porcelana
kina	china
kina	rpc
kommunen	município
kommunen	concelho
klimatet	clima
est	est
text	texto
lista	lista
lista	listar
annat	outro
annat	outros
annat	outras
annat	outra
edt	edt
största	maiores
största	maior
största	greatest
största	maiores
största	maior
skulle	iria
skulle	faria
departementet	departamento
denna	este
denna	esta
denna	isso
denna	isto
denna	essa
denna	esse
from	piedoso
tropiskt	tropical
park	parque
park	park
hill	colina
hill	hill
flera	vários
flera	varios
flera	várias
flera	múltiplas
flera	múltiplos
flera	múltipla
flera	múltiplo
periodiskt	periódico
periodiskt	periódica
periodiskt	periódicos
periodiskt	periodicamente
nord	norte
nord	north
nord	nord
stockholm	estocolmo
alla	todas
alla	tudo
alla	todos
alla	todos
samma	mesma
samma	mesmo
samma	mesmos
senare	depois
olika	diferente
olika	diferentes
olika	vários
olika	diversos
olika	várias
point	ponto
point	point
ort	cidade
nya	novo
nya	novas
nya	novos
nya	novidade
nya	nova
island	islândia
sjön	lago
tidigare	anteriormente
tidigare	anterior
tidigare	anteriores
brasilien	brazil
brasilien	brasil
colombia	colúmbia
colombia	columbia
colombia	colômbia
colombia	colômbia
colombia	colombia
utan	sem
socken	paróquia
socken	freguesia
sina	suas
score	pontuação
score	placar
spanien	espanha
boreala	boreal
mount	monte
mount	mount
mount	montar
kom	vem
kom	venham
kom	venha
kom	vieram
kom	chegou
kom	veio
stora	large
stora	grande
stora	grandes
stora	big
stora	grande
stora	grandes
stora	stora
kinshasa	kinshasa
omgivande	circundante
basen	base
tre	tre
tre	tres
tre	three
tre	três
shift	shift
shift	turno
algeriet	argélia
dessa	estes
dessa	essas
dessa	estas
dessa	esses
dessa	essas
dessa	aqueles
dessa	esses
dessa	aquelas
chile	chile
växtlighet	vegetação
mer	mais
mer	more
här	aqui
kongo	congo
öst	oriente
öst	leste
öst	east
öst	orientais
öst	oriental
öst	leste
öst	eastern
region	região
von	von
jakarta	jacarta
wat	wat
file	arquivo
file	ficheiro
släkte	generation
släkte	geração
släkte	raça
släkte	mestiço
släkte	gêneros
släkte	géneros
släkte	género
släkte	gênero
sydlig	sulistas
sydlig	sulista
sydlig	sul
sydlig	southern
sydlig	meridional
västlig	ocidental
västlig	ocidentais
västlig	western
västlig	oeste
sydvästra	sudoeste
sydvästra	sudoeste
tillsammans	juntos
tillsammans	juntas
samhällen	comunidades
samhällen	sociedades
lite	lite
republiken	república
öppet	abertamente
öppet	abre
öppet	aberto
öppet	abra
öppet	abrir
öppet	aberta
öppet	open
öppet	transparentes
öppet	transparente
delstat	estaduais
