nyikolajevics	نیکولاویچ
rosszindulatú	بدخواه
rosszindulatú	بدخیم
arabok	اعراب
arabok	عرب
elemzés	تحلیل
elemzés	آنالیز
tehetségét	استعداد
tehetségét	استعدادها
nomád	عشایر
járvány	شیوع
járvány	طاعون
megfigyelő	ناظر
lille	لیل
hónapok	ماهها
hónapok	ماه
hónapok	ماهه
hónapok	ماههای
laurent	لوران
laurent	لورنت
válás	طلاق
chan	چان
chan	chan
másképpen	وگرنه
halászat	شیلات
halászat	ماهیگیری
évkönyv	سالنامه
lánc	زنجیرها
lánc	زنجیری
lánc	زنجیره
lánc	زنجیر
lánc	زنجیرهای
oxid	اکسید
illetékes	تواناست
illetékes	توانا
fortuna	فورتونا
nielsen	نیلسن
leeds	لیدز
vega	وگا
boris	بوریس
kliens	مشتری
kliens	کارخواه
kliens	موکل
módosítani	تغییر
koalíció	ائتلاف
tűzoltó	اتش
szex	سکس
szex	جنسیت
szex	جنسی
nagyobbak	بزرگتر
nagyobbak	بزرگتر
nagyobbak	بزرگتری
utazók	مسافرین
utazók	مسافران
utazók	مسافری
utazók	رهگذران
utazók	مسافر
utazók	مسافران
kőolaj	نفت
kőolaj	اویل
kőolaj	روغن
kőolaj	نفت
spin	اسپین
spin	چرخیدن
spin	چرخش
spin	دوار
hallottam	شنیده
hasonlóképpen	همچنین
krónikus	مزمن
rajza	ترسیم
rajza	نقاشی
rajza	کشیدن
mónika	مونیکا
evolúciós	تکاملی
logikus	منطقی
utasítások	دستورالعملها
utasítások	دستورالعمل
kertészeti	horticulture
kertészeti	باغبانی
hasi	شکمی
hasi	بطنی
jürgen	یورگن
jürgen	یورگن
vád	اتهامی
vád	اتهامات
vád	اتهام
vád	اتهاماتی
vád	پیگرد
vád	اتهام
lábai	پاهایش
lábai	نوازش
lábai	پاها
lábai	پا
ellenálló	مقاوم
ellenálló	مقاومت
ellenálló	مقاومتی
ellenálló	مخالفان
lucy	لوسی
liter	لیتر
liter	لیتر
liter	لیتر
dylan	دیلان
dylan	دیلن
derek	درک
suzuki	سوزوکی
camp	اردوگاه
camp	اردو
camp	کمپ
dublin	دابلین
dublin	دوبلین
kontinensen	قاره
eltávolítása	حذف
eltávolítása	حذف
nyíló	گلدار
kritikát	انتقاد
kritikát	نقد
kritikát	انتقاد
merőleges	عمود
kenyér	نان
kenyér	نون
sütő	اجاق
sütő	فر
sütő	فره
sütő	اجاق
sütő	تنور
kinga	پادشاه
kinga	کینگ
kinga	شاه
démon	خبیث
démon	اهریمن
karen	کرن
karen	کارن
vista	vista
vista	ویستا
tulajdon	ویژگی
tulajdon	دارایی
tulajdon	ملک
tulajdon	اموال
tulajdon	مالکیت
marokkói	مراکشی
zavarok	اختلالات
hódító	فاتح
lábát	پاهایش
lábát	نوازش
lábát	پاها
lábát	پا
lábát	پای
lábát	پاش
lábát	ساق
lábát	پا
amanda	آماندا
cleveland	کلیولند
folytatás	دنباله
folytatás	ادامه
folytatás	ادامه
hittem	تفکر
fasiszta	فاشیست
fasiszta	فاشیستی
célokat	اهداف
végrehajtani	اجرا
villamosok	تراموای
gregory	گریگوری
gregory	گرگوری
dominikai	دومینیکن
dominikai	دومینیکا
kocka	گیک
kocka	مکعب
kocka	اسکول
kocka	مشنگ
kocka	تاس
kocka	طاس
örülök	رضای
örülök	خوشنودی
örülök	لذت
