側室	конкубина
ルター	лутер
共鳴	резонанца
ジュリアン	џулиан
ジュリアン	џулијан
受領	сметка
チャーチル	черчил
湯川	јукава
シャム	сијамски
シャム	шам
モモ	праска
モモ	праски
モモ	момо
モモ	праска
コンボ	комбинација
コンボ	комбо
デンバー	денвер
感度	чувствителност
正午	пладне
正午	пладне
ハント	ловат
ハント	лови
ハント	лов
ハント	хант
ドレスデン	дрезден
欠席	отсутен
欠席	отсутна
欠席	отсутни
欠席	отсуството
欠席	отсуство
口座	сметка
口座	сметката
批准	ратификација
批准	ратификацијата
批准	ратификување
説教	проповеди
説教	проповеда
説教	проповед
説教	проповедаат
平松	hiramatsu
フルーツ	овошје
フルーツ	плод
フルーツ	овошна
フルーツ	овошје
フルーツ	плодови
著しい	извонредна
著しい	извонредно
著しい	извонреден
カウンティ	жупанија
カウンティ	округот
カウンティ	округ
カウンティ	окрузи
チャネル	канали
チャネル	каналите
チャネル	канал
尾根	риџ
ウェスタン	вестерн
ウェスタン	западни
ウェスタン	западна
スキャン	скенирање
スキャン	скенирање
敬意	респект
敬意	почит
オリエンタル	ориентални
鋭い	остро
鋭い	шарп
鋭い	остра
鋭い	остар
鋭い	остри
お茶	чај
クローズ	блиску
クローズ	затвори
ワープ	ворп
ダイナマイト	динамит
コリンズ	колинс
飲む	пиењето
飲む	пиење
飲む	пијам
飲む	пијалак
飲む	пијалок
飲む	пиј
オークション	аукција
オークション	аукции
ポータブル	преносни
ポータブル	преносен
ポータブル	пренослив
モンロー	монро
産卵	мрестат
トラップ	замка
トラップ	стапица
トラップ	стапици
同値	еквиваленција
ローテーション	ротација
プリズム	призма
フェアリー	самовила
フェアリー	вила
ポット	трева
ポット	лонец
ポット	тенџере
マッカーサー	мекартур
ハチ	оса
ハチ	пчелите
ハチ	пчели
ミッチェル	мичел
カルト	култ
カルト	секта
家事	собарка
消える	исчезнуваат
消える	исчезнува
消える	исчезне
消える	исчезнат
消える	исчезнуваат
テンション	напнатост
テンション	тензии
テンション	тензија
個別に	индивидуално
個別に	поединечно
ジャスト	само
フォーカス	фокус
フォーカス	фокусирање
分化	диференцијација
ウエスタン	вестерн
ウエスタン	западни
ウエスタン	западна
ラトビア	латвија
ラトビア	латвиски
酢酸	ацетат
スタンプ	печат
スタンプ	налепници
スタンプ	сликички
スタンプ	налепница
スタンプ	стамп
スタンス	став
発令	издавање
激戦	диво
激戦	жесток
激戦	жестоки
激戦	жестока
おいしい	јами
おいしい	вкусен
おいしい	вкусно
おいしい	вкусна
おいしい	вкусни
停滞	стагнација
停滞	неподвижни
カブス	младенчиња
照射	изложување
照射	изложеност
江藤	ето
アーカンソー	арканзас
パッド	тефтер
パッド	рампа
マナー	бонтон
マナー	манирите
マナー	манири
バットマン	бетмен
裁定	владејачката
裁定	пресуда
裁定	владејачки
タイル	плочки
タイル	плочка
タイル	плочките
タイル	плочки
螺旋	helix
ホフマン	хофман
ホフマン	хофман
レジスタ	регистри
レジスタ	регистрираат
レジスタ	регистар
ピュア	чисто
ピュア	чист
ピュア	чиста
蒸留	дестилирана
フレイ	фреј
フレイ	караницата
ブーツ	подигање
ブーツ	чизма
ブーツ	чизми
出版物	публикации
出版物	публикација
出版物	публикацијата
ヒューズ	хјуз
ヒューズ	фитилот
問い合わせ	агенти
問い合わせ	барање
問い合わせ	истраги
連帯	солидарност
ポーター	портер
帰宅	дом
帰宅	дома
帰宅	домот
帰宅	home
メイキング	правење
エフェクト	ефекти
エフェクト	ефект
野間	нома
デス	смрт
デス	смртта
バター	путер
教職員	факултет
教職員	faculty
結核	туберкулоза
ヨルダン	јордански
ヨルダン	jordan
ヨルダン	јордан
ヨルダン	џордан
恵那	ena
コバルト	кобалт
ソフトボール	софтбол
アルビレックス	albirex
起業	претприемач
起業	претприемништвото
起業	претприемништво
欠陥	маана
欠陥	мана
欠陥	дефект
欠陥	мана
未完	незавршена
未完	недовршена
未完	недовршени
コブラ	кобра
シスター	sister
シスター	сестра
グリル	скарата
グリル	скара
グリル	грил
脂肪	дебела
脂肪	дебели
脂肪	масти
脂肪	сало
脂肪	дебел
回顧	ретроспектива
アーネスト	ернест
眠る	спиење
眠る	спијам
アスレチック	атлетска
アスレチック	атлетски
彼氏	дечко
エミー	ејми
迫害	прогонување
迫害	прогон
迫害	прогонети
迫害	прогонувани
迫害	прогонуван
手数料	провизија
手数料	комисија
手数料	хонорар
手数料	давачки
手数料	такса
手数料	давачки
バドミントン	badminton
ザック	зак
陶器	грнчарија
スクリプト	скрипти
スクリプト	скрипта
スクリプト	сценарио
トライアングル	триаголник
溶岩	лава
フィニッシュ	заврши
フィニッシュ	финиш
異端	ерес
真似	имитираат
真似	имитира
真似	емулира
フン	хун
ハス	лотус
メグ	мег
ボールド	храбар
ボールド	храбра
ボールド	храбро
ボールド	смел
トッド	тод
入浴	капат
入浴	капење
入浴	бањање
入浴	бања
入浴	бањата
入浴	капење
須磨	suma
ハング	обесил
ハング	обесени
流体	течност
流体	течности
ジュネーヴ	женева
ハーバート	херберт
お菓子	слатки
未完成	незавршена
未完成	недовршена
未完成	недовршени
未完成	нецелосни
未完成	нецелосна
ブレーメン	бремен
チューブ	цевче
ヒゲ	бради
林業	шумарство
変装	маскирана
変装	маска
変装	маскирање
変装	маскиран
変装	преправен
変装	маскирање
変装	маски
軍需	поставеност
シグナル	сигналите
シグナル	сигнализира
シグナル	сигнали
シグナル	сигнал
オリーブ	маслиново
オリーブ	маслинка
オリーブ	олив
オリーブ	маслинки
面接	интервју
ダイエット	диета
ダイエット	диета
ダブリン	даблин
信念	вера
信念	верба
信念	верата
信念	фејт
信念	верувањето
信念	верување
信念	верувања
信念	убедувања
スチュアート	стјуарт
ワイヤー	жица
ワイヤー	жици
アルブレヒト	албрехт
バレル	буре
バレル	барел
サンティアゴ	сантијаго
サンティアゴ	сантјаго
ブルターニュ	британи
審判員	судија
審判員	судијата
審判員	судии
審判員	судиската
スレッド	разговор
スレッド	конверзација
スレッド	нишки
スレッド	нишка
スレッド	конец
スレッド	разговори
ドラキュラ	дракула
ルネ	рене
ルネ	рене
亜鉛	цинк
グラハム	греам
デューク	војвода
デューク	дук
デューク	дјук
デューク	кнез
語彙	речници
語彙	речник
語彙	речникот
語彙	вокабулар
コーディネーター	координатор
ソナー	сонар
充電	обвинение
充電	наплаќа
充電	обвинувајќи
充電	полнење
グラブ	фати
バーミンガム	бирмингем
マイヤー	мајер
リリー	лили
大工	карпентер
ワクチン	вакцини
ワクチン	вакцините
ワクチン	вакцина
監獄	затвор
監獄	затворите
デラウェア	делавер
売る	продаде
売る	продавај
売る	продажба
破片	остатоци
破片	рушевини
ペーター	питер
ペーター	петар
買い物	шопинг
買い物	купување
既婚	женет
既婚	омажена
既婚	мажена
既婚	венчани
既婚	оженет
陽性	позитивен
陽性	позитивна
陽性	позитивно
陽性	позитивни
陽性	позитив
チョーク	креда
四十	четириесет
四十	forty
エコー	ехо
スイング	замав
コミュニティー	заедница
施策	политики
トラクター	трактори
トラクター	трактор
カリスマ	харизма
カリスマ	харизматичен
吹く	удари
吹く	разнесува
淡水	слатководни
分泌	секреција
ドキドキ	возбудливи
ドキドキ	возбудливо
ドキドキ	возбудлив
ドキドキ	возбудлива
驚き	изненадување
ジェフリー	џефри
廃墟	уништи
廃墟	урнатини
