konštruktér	конструктор
tennessee	теннесси
techniku	техника
techniku	технику
raymond	рэймонд
raymond	реймонд
cicavcov	млекопитающих
cicavcov	млекопитающих
cicavcov	млекопитающих
public	общественность
public	публичные
public	общественности
príznaky	симптомы
príznaky	знаки
príznaky	признаки
prijatá	получено
prijatá	получен
prijatá	полученная
prijatá	полученные
prijatá	получены
prijatá	принят
prijatá	принята
prijatá	приняты
prijatá	принято
prijatá	признала
prijatá	признал
prijatá	принято
prijatá	принята
prijatá	принятый
prijatá	принят
prijatá	принятые
joan	джоан
rozhodnuté	решен
rozhodnuté	разрешен
rozhodnuté	решена
rozhodnuté	решило
rozhodnuté	решила
rozhodnuté	решено
patriarcha	патриарх
dunaji	дунай
múr	стена
múr	стене
múr	уолл
manhattan	манхэттен
texase	техас
stráže	стража
stráže	охранники
stráže	охранников
kristus	христос
rozsiahly	обширная
rozsiahly	обширный
rozsiahly	обширные
aristoteles	аристотель
edwards	эдвардс
financie	финансы
financie	финансирование
financie	финансы
financie	финансы
plotarea	plotarea
nedeľu	воскресенье
nedeľu	воскресение
pomocný	вспомогательная
pomocný	вспомогательные
pomocný	вспомогательное
pomocný	вспомогательных
maďarov	венгры
ibm	ibm
kľúč	ключ
kľúč	ключевых
ochorenie	болезнь
ochorenie	заболевание
ochorenie	болезни
ochorenie	болезнь
ochorenie	заболевание
ochorenie	заболевания
ochorenie	болезни
ochorenie	болезнь
ochorenie	болезни
kostolov	церквей
kostolov	церкви
nadal	надаль
jacob	иакова
jacob	якоб
jacob	джейкоб
jacob	яков
ťažba	извлечение
ťažba	добычи
ťažba	добычи
ťažba	добыча
ťažba	лесозаготовок
lesné	леса
lesné	лесных
lesné	лес
centrá	центров
centrá	центры
centrá	центров
centrá	центры
indonézie	индонезии
indonézie	индонезия
indonézie	индонезию
vlastná	собственная
vlastná	собственных
vlastná	собственные
vlastná	собственный
vlastná	собственное
vlastná	индивидуально
vlastná	обычай
ministrov	министры
ministrov	министрами
ministrov	министров
múzeá	музеи
kováč	кузнец
šírenie	распространяется
šírenie	распространение
šírenie	распространения
obnovená	возобновил
obnovená	восстановлено
obnovená	восстановлен
obnovená	восстановлены
botanik	ботаник
kyselín	кислот
benz	benz
zeman	земан
phoenix	феникс
rozvíjať	развиваться
rozvíjať	развить
rozvíjať	развивать
populárny	популярная
populárny	популярных
populárny	популярный
populárny	популярное
populárny	популярные
metre	метрах
metre	метров
metre	метро
metre	метров
rak	рак
obavy	опасения
obavy	страхи
obavy	страхов
obavy	озабоченности
obavy	озабоченность
obavy	беспокойство
obavy	забота
obavy	обеспокоенность
verlag	verlag
dlhší	дольше
dlhší	длиннее
frekvencia	частотность
frekvencia	периодичность
frekvencia	частота
minútu	минута
minútu	минуту
register	зарегистрироваться
register	регистра
register	регистр
register	зарегистрировать
register	реестр
register	регистрация
register	регистр
register	реестр
register	реестре
bosna	боснии
bosna	босния
bosna	боснию
tvoje	твоя
tvoje	ваши
tvoje	ваш
tvoje	ваша
tvoje	твой
tvoje	ваше
tvoje	твоя
tvoje	ваши
tvoje	ваш
tvoje	ваша
tvoje	твой
tvoje	ваше
maximum	максимальный
maximum	максимальное
maximum	максимальная
maximum	максимум
cas	кас
cas	кас
cas	касс
prijaté	принято
prijaté	принятых
prijaté	взяты
prijaté	получено
prijaté	получен
prijaté	полученная
prijaté	полученные
prijaté	получены
prijaté	принят
prijaté	принята
prijaté	приняты
prijaté	принято
prijaté	признала
prijaté	признал
prijaté	принято
prijaté	принята
prijaté	принятый
prijaté	принят
prijaté	принятые
dno	низ
dno	снизу
dno	дно
voz	вагон
hradiště	градиште
dôstojníkov	офицеры
američania	американцы
frederick	фредерик
frederick	фридрих
rozdeľuje	разделяет
oheň	fire
oheň	пожар
oheň	огонь
garcía	гарсия
garcía	гарсиа
ložiská	подшипники
zrážky	столкновение
zrážky	столкновения
zrážky	осадки
zrážky	осадков
zrážky	стрижки
alberto	альберто
byzantský	византийский
russell	расселл
russell	рассел
kopca	холм
kopca	хилл
kopca	hill
kritici	критики
kritici	критиков
demokracia	демократии
demokracia	демократия
autorstvo	авторство
