din	od
care	ko
care	koji
care	kom
care	koja
care	koju
fost	bio
mai	mai
mai	više
pentru	za
lui	njegovo
lui	njegov
lui	njegova
sunt	su
sit	sajtu
sit	sajt
după	nakon
ale	ale
lea	lea
prin	kroz
regiunea	regija
mare	velikih
mare	velikih
mare	veliki
mare	moru
mare	more
anul	godina
comună	zajednički
comună	zajedničkim
comună	zajedničku
are	ima
externe	vanjska
externe	vanjski
locuitori	stanovnici
locuitori	stanovništvo
locuitori	stanovnika
locuitori	stanovništvo
legături	veza
legături	veze
vezi	vidi
vezi	jie
vezi	vide
vezi	vidjeti
vezi	see
vezi	vidimo
dar	ali
cod	kod
cod	cod
populație	populacija
bucurești	bukurešt
românia	rumunija
jpg	jpg
lista	spisak
lista	lista
ucraina	ukrajina
nume	ime
ani	ani
ani	godina
avea	imao
între	između
până	do
comuna	općina
comuna	zajednički
comuna	zajedničkim
comuna	zajedničku
poate	možda
poate	možda
două	dva
rege	king
rege	kralj
sub	pod
alte	ostala
alte	ostale
alte	drugim
alte	drugi
când	kada
regiune	regija
anii	godina
parte	dio
județul	županija
județul	okrug
centura	pojas
dinastia	dinastija
septembrie	septembar
timp	vrijeme
despre	oko
unde	gdje
unde	gde
majoritatea	većina
majoritatea	većina
densitate	gustoća
limbă	jezik
limbă	jezik
iunie	juni
multe	mnoge
multe	mnogi
socorro	socorro
prima	prvo
prima	prvi
octombrie	oktobar
august	august
sat	selo
sat	sjedio
sat	sat
martie	mart
biserica	crkva
fișier	dosije
fișier	datoteka
fișier	arhiva
fișier	file
decembrie	decembar
toate	all
toate	svi
toate	sve
ianuarie	januar
adresă	adresa
noiembrie	novembar
cum	kako
imagine	slika
imagine	imidžu
imagine	imidž
imagine	slika
statul	država
lor	njihov
lor	njihovi
lor	njihovo
lor	njihova
lor	njihove
avut	imao
familia	porodica
familia	porodično
numele	ime
timpul	vrijeme
nord	sjever
nord	nord
principală	glavne
principală	glavna
principală	glavno
principală	glavni
sud	jug
aprilie	april
erau	bili
loc	mjesto
primul	prvo
primul	prvi
iulie	jula
iulie	juli
doar	samo
doar	samo
editura	izdavač
asteroid	asteroidi
februarie	februar
recensământului	popis
listă	spisak
listă	lista
trei	tri
asteroizi	asteroidi
asteroizi	asteroide
asteroizi	asteroida
limba	jezik
limba	jezik
lats	lat
discuție	diskusija
franța	francuska
partea	dio
mult	mnogo
fără	bez
departamentul	odjel
departamentul	katedri
departamentul	odjeljenje
departamentul	departmenta
foarte	veoma
foarte	vrlo
raionul	prolaza
data	datum
data	podatak
departament	odjel
departament	katedri
departament	odjeljenje
departament	departmenta
unul	jedan
unul	jedna
apoi	potom
apoi	onda
apoi	tada
apoi	zatim
grup	grupa
locul	mjesto
oraș	grad
oraș	grad
pot	može
camp	logor
camp	camp
camp	kamp
camp	kampu
germania	njemačka
face	make
face	načiniti
satul	selo
național	nacionalni
național	nacionalna
note	note
note	nota
minoritate	manjina
minoritate	manjinska
minoritate	manjinu
ucraineană	ukrajinski
cadrul	framework
cadrul	okvir
general	general
război	rat
război	ratu
peste	preko
română	rumunski
află	uče
află	nauči
află	uči
află	learn
început	počelo
început	počeo
început	započeo
început	počela
început	započela
început	počevši
început	početak
iii	iii
duce	vojvoda
duce	duce
român	rumunski
provincia	pokrajina
existând	postojeće
existând	postojećim
existând	postojećih
existând	postojeći
vedere	pogled
wikipedia	wikipedia
specie	vrsta
punct	tačka
punct	tačka
stat	država
unite	ujedinjene
unite	united
unite	ujedinjena
unite	ujedinjeni
