oli	vardı
eesti	estonya
eesti	eesti
ning	ve
mis	ne
mis	hangi
mis	hangisi
või	yağ
või	tereyağı
aasta	yıl
aasta	yılı
aasta	sene
see	bu
see	bunu
see	bu
see	bunu
oma	oma
oma	kendi
tema	onunki
tema	onun
tema	onun
tema	onu
selle	bu
selle	bunu
sai	sai
kuid	ama
kuid	fakat
kes	kimler
kes	who
kes	kim
tartu	tartu
seda	bu
seda	bunu
seda	bu
seda	bunu
aga	ama
aga	fakat
pärast	sonrası
pärast	ardından
pärast	sonrasında
pärast	sonra
kus	nereye
kus	nerde
kus	nere
kus	nerede
välja	dışarı
ehk	belki
ehk	belki
usa	amerika
usa	abd
usa	usa
tallinna	tallinn
üle	üzeri
üle	bitti
nende	onların
nende	onlarin
saksa	alman
saksa	almanca
siis	öyleyse
siis	ozaman
siis	sonra
mida	ne
inglise	ingiliz
inglise	türkçe
inglise	turkish
inglise	ingilizce
vaata	gör
vaata	görün
vaata	görmek
vaata	izle
vaata	izleyin
vaata	bak
üks	biri
üks	bir
vene	rus
vene	rusça
jpg	jpg
ajal	esnasında
ajal	sırasında
von	von
järgi	follow
järgi	takip
nad	onlar
vastu	karsi
vastu	aleyhinde
vastu	karşı
vald	parish
vald	belediye
vald	belediyesi
vald	belediyeye
alates	from
koos	with
koos	ile
koos	beraber
koos	beraberce
koos	birlikte
aastad	yıllarca
aastad	yıllardır
aastad	yıllar
aastad	yılların
aastad	seneler
sündinud	doğan
sündinud	doğuştan
sündinud	doğdu
sündinud	doğmuş
sündinud	doğdum
august	ağustos
august	august
tallinn	tallinn
euroopa	avrupa
euroopa	avrupa
euroopa	avrupalı
ameerika	amerikalı
ameerika	amerikan
ameerika	american
ameerika	amerika
ameerika	america
asub	bulunan
ole	ole
venemaa	rusya
esimene	öncelikle
esimene	önce
esimene	ilk
esimene	once
nagu	like
nagu	beğen
nagu	gibi
hiljem	sonradan
hiljem	sonra
kaks	iki
rootsi	isveçli
rootsi	isveç
saab	saab
saab	can
umbes	hakkında
umbes	yaklaşık
liidu	sendika
liidu	birlik
liidu	birliği
küla	köyü
küla	köy
vahel	bazen
vahel	arasında
vahel	arasına
vahel	arası
vahel	arasındaki
samuti	ayrica
samuti	ayrıca
linn	town
linn	kasaba
linn	şehir
linn	sehir
linn	city
linn	şehir
need	bunlar
need	bunları
need	şunlar
need	bunlar
need	şunlar
linna	town
linna	kasaba
linna	şehir
linna	sehir
linna	city
linna	şehir
soome	finlandiya
soome	fin
maakond	şehristanı
maakond	ilçe
maakond	county
all	aşağıda
all	aşağı
