catalão	catalan
late	sủa
late	barks
gramado	lawn
furtado	furtado
bando	flock
bando	manh
bando	đảng
bando	đám
bando	lũ
bando	đám
bando	bunch
bando	lũ
gasolina	xăng
gasolina	xăng
leu	lêu
leu	leu
portela	portela
vanguarda	vanguard
imperiais	imperial
ontário	ontario
executivos	executives
registos	records
fino	mỏng
fino	gầy
fino	thin
lons	lons
olinda	olinda
mccartney	mccartney
apelidado	dubbed
correndo	chạy
rotten	thúi
prevenir	ngăn
fechou	đóng
setentrional	bắc
restrição	constraint
nuvem	sky
nuvem	mây
nuvem	cloud
testar	test
testar	thử
cinzas	tro
cinzas	ash
cinzas	tro
cinzas	chua
medley	medley
estatutos	statutes
diamond	zô
diamond	diamond
bolonha	bologna
bolonha	boulogne
ace	ách
ace	ace
armstrong	armstrong
army	quân
army	army
far	xa
recompensa	thưởng
zurique	zürich
zurique	zurich
guido	guido
gana	ghana
gana	ghanaian
mia	mia
reed	reed
assentos	seating
sino	sino
sino	chuông
sino	bell
preconceito	prejudice
enterprise	enterprise
rom	rom
criminoso	phạm
delgado	delgado
pacotes	gói
pacotes	packs
pacotes	gói
josef	josef
cold	lạnh
carex	carex
fly	fly
fly	ruồi
fly	bay
bienal	biennial
pdt	pdt
antologia	anthology
duke	duke
etiqueta	tag
etiqueta	thẻ
etiqueta	thẻ
etiqueta	nhãn
cruzados	crusaders
cruzados	crusader
amo	love
amo	yêu
amo	amo
saudade	miss
saudade	nhớ
saudade	buon
ramalho	ramalho
wikipedistas	wikipedians
idem	idem
idem	ditto
tina	tina
cesar	cesare
cesar	cesar
cesar	césar
cesar	ceasar
cesar	caesar
amanhã	mai
coma	mê
coma	ăn
sorteio	vẽ
sorteio	xổ
harper	harper
positivos	dương
realismo	realism
hermes	hermes
bolas	balls
bolas	bi
clinton	clinton
kirk	kirk
feriado	holiday
tunísia	tunisia
duo	duo
bares	thanh
bibliográficas	bibliographical
muçulmana	muslim
saraiva	saraiva
figurino	costumes
figurino	costume
ryu	ryu
ryu	ryū
séria	bách
caroline	caroline
estelar	stellar
erupção	eruption
erupção	rash
demônios	quỷ
receptores	receptors
celebridades	celebrity
celebridades	nổi
ruiz	ruiz
maravilha	marvel
maravilha	wonder
teatrais	theatrical
compõe	soạn
cavalcanti	cavalcanti
cid	cid
beth	beth
negativos	âm
negativos	ám
sobral	sobral
casais	couples
belgrado	beograd
belgrado	belgrade
desvio	lệch
metacritic	metacritic
caindo	falling
caindo	rơi
amigas	bè
músculos	muscle
vinhos	rượu
vinhos	vang
ringue	ring
ringue	nhẫn
corta	cut
corta	cắt
corta	méo
corta	chém
corta	cắt
selos	tem
selos	cẩu
classic	classic
ratos	chuột
ratos	chuột
ampliar	zoom
stanford	stanford
américo	américo
stan	stan
cravo	harpsichord
califa	khalip
mouse	chuột
campista	camper
ótima	tuyệt
rgb	rgb
banana	chuối
banana	banana
banana	chuối
grãos	lúa
grãos	hạt
desejos	muôn
olimpíada	olympic
olimpíada	olympics
expedições	dispatches
esquecer	quên
cálcio	calcium
cálcio	canxi
lex	lex
tower	tower
tower	tháp
motorista	xế
pica	pica
uganda	uganda
confundir	confuse
creek	lạch
creek	creek
motta	motta
weber	weber
pensei	nghĩ
pensei	tưởng
jogabilidade	gameplay
juvenis	juveniles
observador	observer
observador	watcher
champions	champions
eixos	trục
eixos	trục
cage	lồng
cage	chuồng
entendido	hiểu
osvaldo	oswald
osvaldo	osvaldo
moscovo	moscow
moscovo	moskva
minor	nhỏ
minor	minor
luca	luca
herdeiros	heirs
pesquisar	tìm
cerro	cerro
led	led
escalada	escalation
treinadores	coaches
herman	herman
alive	sống
alive	live
alive	alive
liturgia	liturgy
guardian	guardian
aclamado	acclaimed
gun	súng
clique	click
clique	nhấn
clique	nhấp
clique	ấn
clique	bấm
juniors	nhí
veterano	hanh
marcial	martial
equatorial	equatorial
pirâmide	pyramid
julian	julian
proibida	cấm
proibida	cấm
proibida	cấm
cerrado	cerrado
eterno	mải
philips	philips
philips	philips
philips	phillips
intel	intel
serpente	rắn
maine	maine
monster	monster
abr	apr
comparada	so
jackie	jackie
prioridade	ưu
paradise	thiên
litros	lít
litros	lít
litros	ga
litros	lít
várzea	várzea
automático	auto
automático	động
automático	tự
hipóteses	hypotheses
aracaju	aracaju
tarzan	tarzan
hércules	hercules
partícula	hạt
castanho	brown
castanho	nâu
ícone	iconic
ícone	icon
wells	wells
wells	giếng
url	url
empregos	jobs
elogios	khen
annie	annie
polonesa	polish
estacionamento	đỗ
caracas	caracas
nero	nero
core	lõi
core	hạt
core	nhân
ninho	nest
ninho	tổ
ensinou	dạy
alienígena	alien
humanista	humanistic
edimburgo	edinburgh
complexas	complex
incorporado	incorporated
incorporado	nhúng
tijuca	tijuca
milagres	miracles
milagres	kì
escavações	excavations
doentes	bệnh
doentes	ốm
doentes	cúm
oslo	oslo
pelé	pelé
lógico	luận
lógico	logic
basílio	basil
muhammad	muhammad
slogan	slogan
eugene	eugene
traças	moths
traças	nhậy
cortar	cutting
cortar	cắt
cortar	cut
cortar	cắt
cortar	méo
cortar	chém
muscular	muscle
pride	ngạo
dumont	dumont
réis	réis
iberica	iberica
helicóptero	helicopter
helicóptero	thăng
helicóptero	chopper
gália	gaulois
gália	gaul
intervalos	thoái
marília	marília
saxofone	sax
saxofone	saxo
