triangle	trīsstūra
nato	nato
teeth	zobiem
teeth	zobus
teeth	zobi
occasional	neregulāri
strictly	strikti
strictly	stingri
harper	hārpers
fluid	šķidrums
fluid	šķidruma
fed	baro
newfoundland	ņūfaundlenda
comparable	salīdzināma
comparable	salīdzināmi
comparable	salīdzināms
documentation	dokumenti
documentation	dokumentācija
brien	brien
compounds	savienojumi
edmund	edmund
instances	instances
naturally	dabiski
naturally	dabīgi
forcing	spiež
forcing	piespiežot
ussr	psrs
laser	lāzers
laser	lāzera
lat	lat
sculptor	tēlnieks
guild	ģilde
observer	novērotājas
observer	novērotājs
observer	novērotāju
observer	novērotāja
observer	novērotājam
imprisoned	ieslodzīti
imprisoned	ieslodzīts
wrestler	cīkstonis
praise	uzslavas
praise	uzslavu
bones	kaulus
bones	kauli
css	css
cox	cox
contracts	līgumi
consequences	sekas
provisions	noteikumi
provisions	uzkrājumi
circulation	aprite
butterfly	tauriņu
hugo	igo
hugo	hugo
algeria	alžīrija
edu	edu
armies	armijas
separation	nodalīšana
separation	atdalīšanas
separation	atdalīšanās
separation	atdalīšana
spy	spiegu
cliff	klints
technically	tehniski
reactions	reakcijas
lithuanian	lietuviešu
lithuanian	lietuvas
trick	triks
curve	līkne
accidents	nelaimes
accidents	negadījumi
horizontal	horizontāls
horizontal	horizontālas
horizontal	horizontāli
horizontal	horizontālo
horizontal	horizontālā
horizontal	horizontāla
legends	leģendas
enzyme	fermentu
enzyme	ferments
enzyme	enzīms
enzyme	enzīmu
freight	kravas
freight	krava
hydrogen	ūdeņraža
hydrogen	ūdeņradis
broadcasts	raidījumus
viii	viii
caroline	caroline
pull	izvilkt
plymouth	plimutas
twentieth	divdesmitā
twentieth	divdesmitajā
cuts	gabali
mediation	starpniecības
airfield	lidlauku
synthesis	sintēze
synthesis	sintēzi
rape	izvarošana
rape	rapšu
rape	izvarošanu
seoul	seulas
engagement	iesaistīšanās
engagement	iesaiste
coin	monētas
coin	monēta
coin	monētu
lucy	lūsija
platinum	platīna
twins	dvīņi
memories	atmiņas
robertson	robertsons
verified	pārbaudīts
verified	pārbaudīta
verified	pārbaudīja
anthology	anthology
milton	miltons
geological	ģeoloģisko
geological	ģeoloģiskā
defining	definēšana
dinner	vakariņas
hosting	uzņem
hosting	rīko
thriller	thriller
retreat	atkāpties
albany	albany
abdul	abdul
ignore	neņemt
ignore	ignorēt
ignore	ignorē
migration	migrācija
migration	migrācijas
carefully	rūpīgi
carefully	uzmanīgi
sudan	sudāna
manages	pārvalda
duration	ilgums
henderson	hendersons
explorer	explorer
marco	marko
fusion	kodolsintēzes
aids	palīglīdzekļi
aids	aids
aids	atbalsti
gathered	sapulcējušies
gathered	ievākta
gathered	savāktās
privately	privāti
reflected	atspoguļotas
reflected	atspoguļoti
reflected	atspoguļots
afraid	bail
afraid	baidās
estates	muižām
pound	mārciņas
allegedly	esot
delay	kavēšanās
delay	aizkavēšanās
delay	aizture
developers	izstrādātājiem
belfast	belfāsta
arctic	arktika
arctic	arktikas
kurt	kurts
mayors	mēri
windsor	vindzoras
assumption	pieņēmums
plates	plates
plates	plātnes
plates	plāksnes
fourteen	četrpadsmit
monroe	monro
hearts	sirdis
hearts	sirdīs
belgrade	belgrada
victories	uzvaras
pale	bāli
pale	gaiši
glory	slava
destroyer	iznīcinātāju
deeply	dziļi
lectures	lekcijas
preston	preston
deceased	mirusi
deceased	mirušais
deceased	miris
deceased	mirušā
angry	dusmīgs
angry	dusmīga
incomplete	nepilnīgas
incomplete	nepabeigta
incomplete	nepilnīgs
incomplete	nepilnīgi
incomplete	nepilnīga
enrolled	uzņemti
configuration	konfigurācija
brad	breds
skill	iemaņas
skill	prasmes
skill	prasme
skill	prasmju
intense	intensīvā
intense	intensīvas
intense	intensīvs
intense	intensīvi
intense	intensīva
commitment	apņēmība
commitment	apņemšanās
commitment	saistības
loved	patika
reforms	reformām
reforms	reformas
uruguay	urugvaja
uruguay	urugvajas
napoleon	napoleons
confirm	apstiprināt
confirm	apstiprinu
breed	šķirne
enabled	aktivizēta
enabled	ieslēgts
enabled	ieslēgti
enabled	aktivizēts
enabled	ieslēgta
enabled	ļāva
discography	diskogrāfija
licence	apliecība
licence	licence
refugees	bēgļi
adrian	adrians
pipe	cauruļvads
pipe	caurules
pipe	caurule
karen	kārena
altered	izmainīts
budapest	budapeštas
designers	dizaineri
heir	mantinieks
advisor	padomdevējs
advisor	konsultants
advisor	padomnieks
illustrate	ilustrētu
authorized	atļauti
hide	noslēpt
hide	paslēpt
hide	slēpt
announcement	paziņojums
compact	kompakts
tissue	audus
tissue	audu
tissue	audos
tissue	audi
particles	daļiņas
refuses	atsakās
receiver	uztvērēja
receiver	uztvērējs
civilians	civilie
civilians	civiliedzīvotājus
civilians	civiliedzīvotājiem
civilians	civiliedzīvotāji
marsh	marsh
vinyl	vinila
delayed	aizkavēta
delayed	kavēta
delayed	kavējas
delayed	atliktā
wednesday	trešdien
wednesday	trešdiena
checking	pārbaude
checking	pārbaudes
checking	pārbauda
chilean	čīles
hey	hei
hey	hey
chambers	kameras
chambers	palātas
demo	demo
agrees	piekrīt
ahmad	ahmad
santos	santos
paying	maksā
interpreted	interpretēti
submit	iesniedz
submit	iesniegt
desired	vēlamā
followers	sekotāju
followers	sekotāji
observatory	observatorija
problematic	problemātiski
problematic	problemātisks
problematic	problemātiska
springfield	springfield
kit	komplekts
kit	komplektā
remarks	piezīmes
burton	burton
monarch	monarhs
observations	piezīmes
observations	novērojumi
observations	novērojumus
observations	apsvērumi
beetle	vaboles
promised	solīts
promised	apsolīja
promised	solīja
cream	krējums
potter	poters
potter	potera
copyvio	copyvio
favourite	favorīts
transformation	transformācija
transformation	pārveidošanās
transformation	pārveidošana
transformation	transformācijas
transformation	pārveide
mcdonald	mcdonald
bavaria	bavārijā
bavaria	bavārijas
kumar	kumar
severely	stipri
severely	smagi
mixture	maisījums
browser	pārlūka
endangered	apdraudēti
endangered	apdraudētas
endangered	apdraudēta
mate	biedru
mate	mate
mate	draugs
everybody	ikviens
everybody	visi
everybody	visiem
lyon	lyon
illustration	ilustrācija
kyle	kaila
kyle	kails
brook	strauts
geometry	ģeometrija
ping	ping
variants	varianti
variants	variantiem
variants	variantus
baroque	baroka
iso	iso
collapsed	sabruka
integral	neatņemama
hopes	cerības
cornell	kornela
modes	režīmi
modes	režīmus
servant	kalps
hurt	sāp
hurt	pāri
hurt	ievainots
inline	iekļautu
inline	iekļauti
carlo	carlo
stability	stabilitāte
stability	stabilitāti
hoping	cer
hoping	cerot
hoping	ceri
imposed	uzlikti
beetles	vaboles
joel	joel
jets	strūklu
logos	logo
vital	vitāli
malcolm	malcolm
winnipeg	vinipega
kilometers	kilometri
buddhism	budisms
nose	deguna
nose	deguns
nose	degunu
respected	ievērots
pace	temps
thunder	pērkons
centered	centrēts
physicians	ārsti
bolivia	bolīvija
forget	aizmirst
forget	aizmirsti
crops	kultūras
crops	kultūraugi
halifax	halifaksas
monk	mūks
extraordinary	ārkārtas
lessons	nodarbības
pub	krogs
monte	monte
segments	segmenti
segments	segmentiem
segments	segmentus
deer	briedis
wireless	bezvadu
consultant	konsultants
fraser	freizere
formats	formāti
jam	jam
chicken	vistas
chicken	cālis
chicken	vista
enable	ieslēgt
idol	elks
reid	reida
amazing	apbrīnojami
amazing	amazing
pet	pet
loves	mīl
nominate	izvirzīt
striking	pārsteidzoša
striking	pārsteidzoši
striker	uzbrucējs
accidentally	nejauši
accidentally	netīšām
hopkins	hopkinss
eds	eds
goddess	dieviete
resumed	atsāka
satisfy	apmierināt
notion	jēdziens
voltage	sprieguma
voltage	spriegums
marion	mariona
geology	ģeoloģija
consistently	konsekventi
cyclone	ciklona
export	eksportēt
export	eksports
lightning	zibens
impressed	sajūsmā
logical	loģisks
logical	loģiski
logical	loģiskā
aggressive	agresīvi
aggressive	agresīva
jin	dzjiņ
julie	džūlija
fbi	fib
yankees	yankees
ludwig	ludvigs
pond	dīķi
suburban	piepilsētas
enlisted	iesaukts
moments	mirkļi
moments	brīžiem
moments	brīži
interim	pagaidu
argues	argumentē
lucky	laimīgā
lucky	laimīgais
prevented	novērsta
toy	rotaļlietu
toy	rotaļu
toy	rotaļlieta
bicycle	velosipēda
bicycle	velosipēds
bicycle	velosipēdu
purely	tīri
interactions	mijiedarbība
interactions	mijiedarbības
fraud	krāpšana
fraud	krāpšanu
fraud	krāpšanas
lang	lang
arcade	arkādes
lecture	lekcija
lecture	lekciju
lecture	lekcijas
dragons	pūķi
copa	copa
careful	rūpīgi
careful	rūpīga
careful	uzmanīgi
nurse	māsiņa
nurse	medmāsa
module	modulis
module	moduļa
lens	lēcu
lens	lēcas
patron	patron
commands	komandas
trend	tendence
superintendent	superintendents
gerald	džeralds
rap	rap
geneva	ženēvā
geneva	ženēvas
ash	pelni
ash	pelnu
ash	pelnus
blade	asmeni
disappeared	pazuduši
disappeared	pazuda
patrolling	patrulēšanu
predominantly	pārsvarā
committees	komitejas
committees	komitejām
boom	uzplaukums
sailors	jūrnieki
beaten	sisti
smoke	dūmu
smoke	dūmiem
smoke	dūmi
smoke	smēķēt
