the	করে
and	আর
and	এবং
was	ছিলেন
was	ছিলো
was	হয়েছিল
was	ছিল
was	গেলেন
for	জন্য
for	জন্যে
that	যে
that	সেই
that	যেটা
with	সহ
with	দিয়ে
with	সাথে
from	থেকে
from	প্রেরক
this	এই
this	এটি
this	এটা
his	তাঁর
his	তার
not	নয়
not	না
talk	টক
talk	কথা
which	যা
which	যার
which	কোনটি
also	কেও
also	এছাড়াও
has	রয়েছে
has	আছে
were	ছিলো
were	ছিল
but	কিন্ত
but	কিন্তু
have	রয়েছে
have	আছে
one	এক
one	অনলাইন
one	একটি
new	নতুন
first	প্রথম
first	প্রথমে
page	পৃষ্ঠা
page	পাতা
you	তুমি
you	তুই
you	আপনারা
you	আপনাকে
you	তোমরা
you	আপনি
they	তারা
had	ছিল
had	করতাম
article	নিবন্ধ
article	প্রবন্ধ
who	কাকে
who	কে
who	যিনি
all	সব
all	সকল
their	তাদের
there	সেখানে
made	বানানো
made	বানিয়ে
made	তৈরি
its	এর
people	লোকেরা
people	লোকজন
people	মানুষ
people	জনগণ
people	ব্যক্তিগণ
people	লোকে
may	সোমবার
may	মে
after	পরেও
after	পরও
after	পর
after	পরে
other	অন্য
other	অন্যান্য
should	উচিত
should	উচিৎ
two	দুটি
two	দুটো
two	দুইটা
two	দুই
score	স্কোর
her	তার
her	তাকে
her	তাহার
her	ওনার
can	পারেন
can	পারবো
can	পারে
can	পারবে
would	যেত
would	যেতাম
more	অতিরিক্ত
more	বেশি
more	আরো
more	আরও
more	বেশী
she	তিনি
she	সে
she	উনি
about	পরিচিতি
about	সম্বন্ধে
about	সম্পর্কে
when	কখন
when	গেলো
when	যখন
when	কবে
when	গেলে
time	সময়
team	টীম
team	টিম
team	দল
american	আমেরিকার
american	আমেরিকান
such	এমন
discussion	আলোচনা
discussion	আলোচনায়
links	লিঙ্কগুলি
links	লিঙ্ক
only	কেবলমাত্র
only	মাত্র
only	শুধু
only	কেবল
only	শুধুমাত্র
some	কিছুক্ষন
some	কিছু
see	দেখি
see	দেখুন
see	দেখবে
see	দেখে
united	ইউনাইটেড
united	ঐক্যবদ্ধ
years	বত্সর
years	বছর
years	হেডার
school	স্কুলের
school	স্কুল
school	স্কুলে
school	বিদ্যালয়
world	বিশ্ব
world	ওয়ার্ল্ড
world	পৃথিবী
world	দুনিয়া
university	ইউনিভার্সিটির
university	বিশ্ববিদ্যালয়
during	চলাকালীন
out	বের
out	বাহিরে
out	আউট
state	প্রদেশ
state	রাজ্যের
state	অবস্থা
state	রাজ্য
states	অবস্থা
national	ন্যাশনাল
national	জাতীয়
wikipedia	উইকিপিডিয়া
year	সাল
year	বছরে
year	বৎসর
year	বছর
