alabama	alabama
desexas	các
desexas	cac
desexas	bạn
desexas	anh
desexas	cô
desexas	muon
desexas	muốn
morrese	die
morrese	chết
morrese	chết
norton	norton
serea	siren
serea	hỉ
serea	thổi
chamando	gọi
prepara	các
prepara	cac
prepara	bạn
prepara	anh
prepara	cô
gustouche	các
gustouche	cac
gustouche	bạn
gustouche	anh
gustouche	cô
gustouche	như
gustouche	thích
gustouche	like
facela	pha
facela	her
facela	cổ
varón	buồng
varón	đực
varón	nam
varón	boy
varón	trai
varón	bé
probábel	chu
giuseppe	giuseppe
liras	lire
berce	nôi
traficante	buôn
benditos	phước
benditos	bao
benditos	re
benditos	đang
benditos	là
boden	boden
estuardo	stuart
putos	fucking
dios	sake
dios	ngừa
frota	fleet
celoso	ghen
rhodia	rhodia
seo	seo
anano	lùn
anano	phơ
anano	người
anano	man
gueto	ghetto
drummer	drummer
asger	asger
esmeralda	esmeralda
mali	mali
daenerys	daenerys
impulso	nhịp
impulso	mạch
corán	koran
dígolles	nói
dígolles	bảo
dígolles	các
dígolles	cac
dígolles	bạn
dígolles	anh
dígolles	cô
custo	tốn
previr	ngăn
chiste	joke
chiste	đùa
chiste	đểu
tigre	tiger
tigre	cọp
tigre	hổ
crecen	trồng
crecen	mọc
crecen	grow
crecen	lấy
crecen	nhận
crecen	get
crecen	quất
crecen	những
crecen	chúng
crecen	họ
empezan	quất
empezan	những
empezan	chúng
empezan	họ
empezan	khởi
tradución	dịch
pintar	sơn
alimentación	mat
doulle	đưa
doulle	tặng
doulle	cho
bunker	bunker
bunker	boongke
bunker	cũi
camboxa	campuchia
defensores	defenders
alfombra	thảm
alfombra	chăn
alfombra	thảm
botarlle	lấy
botarlle	bắt
botarlle	chụp
agardade	khoan
xenéticas	gien
xenéticas	gene
xenéticas	gen
xenéticas	di
asociados	với
asociados	bằng
confuso	mất
confuso	thua
empregar	dùng
agochados	trốn
agochados	phone
agochados	ẩn
pesados	nặng
buraco	lỗ
buraco	hố
buraco	chẻ
chamámoslle	gọi
chamámoslle	call
chamámoslle	cẩm
elevado	cao
direccións	hướng
odia	ghét
odia	hat
susan	susan
facerte	pha
facerte	các
facerte	cac
facerte	bạn
facerte	anh
facerte	cô
continúan	và
mundiais	giới
tentarei	thử
tentarei	lấy
tentarei	nhận
tentarei	get
prioridade	ưu
pensabamos	nghĩ
pensabamos	tưởng
mentras	phiêu
mentras	mens
lograr	lấy
lograr	nhận
lograr	get
lograr	pha
distinguir	nói
distinguir	bảo
lévanos	thấu
lagos	lagos
lagos	hồ
lagos	lakes
pipa	ống
vivendas	nhà
cuando	khi
cadrado	đc
cadrado	square
cadrado	vuông
prosperidade	vượng
exilio	exile
palma	palm
palma	sên
palma	cọ
cordas	chuỗi
cordas	strings
decatarse	chuông
decatarse	quận
