در	ประตู
رده	ห้องเรียน
رده	คลาส
رده	เรียน
از	จาก
که	ผู้
که	ใคร
که	นั้น
که	ที่
که	ว่า
که	นั่น
این	นี้
این	นี่
این	ดิส
را	เดอะ
را	ทำให้
با	ด้วย
با	กับ
میلادی	ทศวรรษ
یک	เดียว
یک	หนึ่ง
سال	ปี
سال	แซล
سال	ปี
ایران	อิหร่าน
برای	สำหรับ
برای	เพื่อ
شهرستان	มณฑล
شهرستان	เปรม
آمریکا	อเมริกา
شده	ถูก
فهرست	รายการ
دارد	ทรง
او	หล่อน
او	เธอ
او	นาง
او	เขา
تا	พฤษภาคม
تا	จนถึง
تا	จน
تا	จนกว่า
تا	จนถึง
تا	จนกว่า
فوتبال	ฟุตบอล
فوتبال	ฟุตบอล
ساعت	ชั่วโมง
ساعت	ชั่วโมง
ساعت	นาฬิกา
پایه	รากฐาน
پایه	foundation
پایه	มูลนิธิ
پایه	ฐาน
پایه	ฐานทัพ
پایه	รากฐาน
نام	ชื่อ
استان	จังหวัด
استان	แคว้น
استان	ภูมิภาค
شهر	town
شهر	เมือง
شهر	ทาวน์
شهر	เมือง
شهر	ซิตี้
شهر	city
ملی	national
ملی	ชาติ
کشور	ประเทศ
تاریخ	เดท
تاریخ	ประวัติศาสตร์
تاریخ	ประวัติการ
تاریخ	ประวัติ
فیلم	หนัง
فیلم	ภาพยนต์
فیلم	ภาพยนตร์
فیلم	ภาพยนตร์
فیلم	ฟิล์ม
فیلم	หนัง
فیلم	ภาพยนต์
فیلم	ภาพยนตร์
بخش	แผนก
بخش	กรม
بخش	ภาค
بخش	ส่วน
بخش	เขต
بخش	อำเภอ
جمعیت	ประชากร
دو	สอง
دو	two
پس	งั้น
یکی	เดียว
یکی	หนึ่ง
وی	อุย
وی	วี
وی	wii
روستاهای	หมู่บ้าน
دیگر	อื่นๆ
دیگر	มากกว่า
دیگر	อื่นๆ
دیگر	อื่นๆ
می	พฤษภาคม
پیوند	ลิงก์
پیوند	ลิงค์
پیوند	พันธบัตร
پیوند	สายใย
پیوند	บอนด์
پیوند	พันธะ
پیش	ก่อน
بحث	เถียง
بحث	อภิปราย
بیرون	ออก
افراد	ประชาชน
افراد	บุคคล
افراد	ผู้
افراد	ผู้คน
افراد	คน
دوره	หลักสูตร
دوره	คอร์ส
دهه	ทศวรรษ
دهه	ทศวรรษ
متر	เมตร
متر	เมตริก
متر	เมตร
متر	เมตร
متر	มิเตอร์
متر	เมตร
مناطق	เขต
مناطق	บริเวณ
مناطق	พื้นที่
هر	ทุกๆ
هر	ทุก
هر	ใดๆ
باشگاه	คลับ
باشگاه	สโมสร
باشگاه	club
باشگاه	ชมรม
باشگاه	gym
باشگاه	ยิม
باشگاه	พละ
شهرهای	เทศบาล
دانشگاه	มหาวิทยาลัย
دانشگاه	วิทยาลัย
دانشگاه	มหาวิทยาลัย
مورد	กรณี
مورد	case
مورد	คดี
سده	ศตวรรษ
زبان	ภาษา
زبان	ลิ้น
زبان	ภาษา
شماره	จำนวน
شماره	หมายเลข
کار	งาน
کار	ทำงาน
کار	งาน
کار	ทำงาน
اما	แต่
روی	รอย
روی	สังกะสี
صورت	ใบหน้า
صورت	หน้า
صورت	หน้าตา
صورت	face
مرکز	เซ็นทรัล
مرکز	กึ่งกลาง
مرکز	กลาง
مرکز	ศูนย์
مرکز	ศูนย์กลาง
مرکز	กึ่งกลาง
مرکز	ศูนย์
مرکز	ศูนย์กลาง
زمان	เวลา
شرکت	องค์กร
شرکت	บริษัท
شرکت	company
شرکت	องค์กร
مقاله	บทความ
مقاله	ข่าว
مقاله	บทความ
تیم	ทิม
تیم	ทีม
تیم	team
مرد	มนุษย์
مرد	ชาย
مرد	คน
مرد	แมน
مرد	man
انگلیسی	อังกฤษ
نظر	หมายเหตุ
جهانی	international
جهانی	นานาชาติ
جهانی	สากล
جهانی	universal
جهانی	สากล
