ve	og
bir	one
bir	en
bir	ett
bir	én
bu	this
bu	dette
bu	denne
bu	detta
bu	det
bu	at
de	sier
de	si
de	seie
de	say
ile	med
ile	with
için	for
en	favoritter
en	favorittene
daha	fleire
daha	fler
daha	flere
daha	mer
daha	meir
daha	mere
sonra	deretter
sonra	så
sonra	da
sonra	etter
sonra	after
sonra	etterpå
sonra	efter
sonra	senere
sonra	seinere
sonra	seinare
ilk	første
ilk	først
ilk	forst
ilk	first
çok	svært
çok	very
çok	meget
çok	veldig
çok	mye
yer	spisested
yer	place
yer	sted
yer	beliggenhet
yer	sted
yer	lokalisering
yer	lokasjon
yer	posisjon
yer	plassering
gibi	som
gibi	liker
gibi	like
dış	ytre
dış	diss
dış	dis
büyük	large
büyük	stor
büyük	stort
büyük	big
büyük	store
büyük	stor
büyük	stort
büyük	enorm
büyük	stor
büyük	digert
büyük	svær
büyük	kjempestort
büyük	enormt
bağlantılar	tilknytninger
bağlantılar	tilkoblinger
bağlantılar	forbindelser
bağlantılar	koblinger
bağlantılar	linker
bağlantılar	lenker
bağlantılar	kontakter
of	uff
türkiye	tyrkia
türkiye	kalkun
iki	to
iki	two
ancak	imidlertid
center	sentrum
center	center
center	senter
arasında	blant
arasında	mellom
ayrıca	òg
ayrıca	også
ayrıca	foruten
ayrıca	dessuten
istanbul	istanbul
türk	turk
türk	tyrker
türk	tyrkisk
diğer	andre
diğer	annet
diğer	annen
yeni	ny
yeni	nyhet
yeni	nye
yeni	new
yeni	nytt
un	mel
her	every
her	hver
her	hvert
aynı	same
aynı	samme
kulüp	club
kulüp	klubb
bağlı	vedlagt
bağlı	bundet
bağlı	bundet
bağlı	uavgjort
bağlı	bandt
bağlı	avhenger
bağlı	spørs
bağlı	koblet
bağlı	tilkoblet
bağlı	sammenkoblet
bağlı	tilknyttet
bağlı	knyttet
bağlı	lenket
bağlı	koblet
iyi	flinke
iyi	flink
iyi	godt
iyi	dyktig
iyi	god
iyi	bra
iyi	bot
iyi	fine
iyi	fint
ne	hva
ilgili	relevant
ilgili	relevante
ilgili	interesserte
ilgili	interessert
ilgili	relatert
ilgili	relaterte
son	siste
son	sist
son	avslutt
son	ende
son	slutt
alan	field
alan	feltet
alan	felt
alan	jorde
alan	domene
alan	domenet
alan	alan
alan	areal
alan	område
alan	området
alan	area
dünya	verdens
dünya	world
dünya	verden
dünya	jorden
dünya	jorda
dünya	jord
dünya	earth
abd	usa
birlikte	sammen
birlikte	together
eski	gammelt
