genève	ženevě
caribou	karibu
jorge	jorge
befolkade	obydlených
chase	honička
chase	chase
soldat	vojáku
soldat	voják
snäckor	mušle
snäckor	plžů
snäckor	náboje
snäckor	mušle
snäckor	skořápky
walk	procházka
walk	chodit
walk	chůze
walk	pěšky
inledande	úvodní
inledande	úvodní
inledande	počáteční
inledande	zasvěcení
inledande	zahájení
svarar	odpovědi
svarar	odpovědí
utomhus	vně
utomhus	mimo
utomhus	venku
utomhus	venkovní
bredare	širší
bredare	širší
förkortat	zkrácení
förkortat	zkrátit
förkortat	zkrácené
förkortat	zkratkou
förkortat	zkratka
sänds	odesláno
mal	můra
mal	mol
mal	male
mal	mal
americana	americana
secret	tajný
secret	tajná
secret	tajemství
secret	tajné
svårigheter	obtíže
svårigheter	obtížích
svårigheter	obtíž
svårigheter	obtížné
svårigheter	potíže
svårigheter	potíže
svårigheter	obtíže
seco	seco
mirabilis	mirabilis
vicente	vicente
borealis	borealis
ledaren	leader
ledaren	vůdce
bakre	zadní
reed	reeda
reed	reed
reed	reedová
baluchistan	balúčistán
partner	partner
partner	partnera
partner	parťák
partner	partnerka
partner	parťáci
partner	partnery
partner	partneři
fina	fino
fina	pěkný
fina	hezky
fina	hezký
fina	pěkné
fina	nice
tydligen	zřejmě
tydligen	zjevně
tydligen	očividně
alkohol	alkoholu
alkohol	alkohol
wan	wan
nicosia	nicosia
kartan	mapě
kartan	mapa
kartan	mapy
kartan	mapu
diana	diana
tenor	tenor
okända	neznámá
okända	neznámý
okända	neznámé
utförs	provedené
utförs	provedena
annie	annie
trumpet	trumpetu
trumpet	trubka
evenemang	akce
evenemang	událostí
evenemang	události
evenemang	událost
flytt	utekl
flytt	unikl
flytt	stěhování
flytt	uprchl
ingeborg	ingeborg
flava	flava
skandinaviska	skandinávské
malcolm	malcolm
malcolm	malcolma
heinz	heinz
barnes	barnes
påverkas	ovlivněn
påverkas	postižené
påverkas	zasažené
lina	lino
lina	lina
helgon	svatí
helgon	svatých
helgon	svaté
helgon	svatý
helgon	světec
helgon	svatá
helgon	saint
hieracium	jestřábník
acuminata	acuminata
sats	šarže
sats	věta
glenn	glenn
timme	hodinové
timme	hodinová
timme	hodinový
timme	hodinu
timme	hodinový
timme	hodinka
timme	hodina
grotta	jeskyně
grotta	jeskyni
birmingham	birminghamu
todd	todd
yngsta	nejmladší
härrör	odvozené
motsvarighet	protějšek
jacobus	jacobus
paradise	ráje
paradise	ráj
paradise	paradise
sena	zpoždění
sena	pozdní
sena	pozdě
någonstans	nekde
någonstans	někam
någonstans	někde
akter	souborů
akter	soubory
akter	spisy
akter	složky
akter	akty
akter	úkony
akter	aktů
utlopp	výstupu
negativ	záporné
negativ	negativní
negativ	negativy
elin	elin
canterbury	canterbury
ove	ove
upplever	zažívá
typisk	typický
typisk	typická
typisk	typické
child	dítě
child	dětská
sicilien	sicilia
sicilien	sicílie
liggande	ležící
liggande	lhaní
liggande	krajiny
liggande	krajinu
liggande	krajina
lópez	lópez
lópez	lopez
överlevde	přežili
överlevde	přežily
överlevde	přežil
överlevde	přežila
republikanska	republikáni
republikanska	republikán
republikanska	republikánské
ssr	ssr
jarl	jarl
enheten	zařízení
enheten	jednotka
enheten	unit
edinburgh	edinburghu
pilot	pilotní
pilot	pilote
pilot	pilot
singer	zpěvačka
singer	zpěvák
angrepp	útoky
angrepp	zamoření
angrepp	útok
angrepp	napadení
angrepp	útok
summering	shrnutí
summering	souhrn
strindberg	strindberga
filosofiska	filozofické
iihf	iihf
stammar	kmeny
stammar	kmenů
stammar	kmeny
stammar	kmenů
ein	ejn
kategorierna	kategorií
kategorierna	kategorie
ersättare	náhradníci
ersättare	náhrada
ersättare	nahrazení
ersättare	náhradní
wikidata	wikidata
helige	svatý
helige	svaté
helige	svatá
dalmatien	dalmácie
chan	chan
undrar	zázrak
undrar	divu
undrar	wonder
omröstning	hlasujte
omröstning	hlasovat
omröstning	hlasování
omröstning	volte
omröstning	hlasy
omröstning	hlasuje
omröstning	hlasování
omröstning	hlasů
omröstning	hlasujeme
omröstning	hlasování
omröstning	hlasovací
omröstning	anketa
ägna	věnovat
ägna	věnovat
cleveland	clevelandu
cleveland	cleveland
fin	fin
idrottare	sportovec
