மற்றும்	oraz
ஒரு	jeden
ஒரு	jedna
இந்த	tym
இந்த	tych
இந்த	te
இது	tym
மக்கள்	narodów
மக்கள்	narody
மக்கள்	ludzi
மக்கள்	osoby
மக்கள்	people
மக்கள்	ludzie
என்ற	zatytułowany
ஆண்டு	roku
ஆண்டு	rok
என்று	że
தமிழ்	tamil
இந்திய	indyjskie
இந்திய	indian
இந்திய	indianin
இந்திய	indyjska
இந்திய	indyjski
இருந்து	from
இருந்து	od
பல	wielu
பல	wiele
பல	wielokrotne
பல	wiele
பல	wielu
முதல்	from
முதல்	od
முதல்	pierwszy
முதல்	pierwsze
முதல்	najpierw
முதல்	pierwsza
மேலும்	more
மேலும்	bardziej
மேலும்	więcej
தொகை	kwota
தொகை	ilość
சில	nieliczni
சில	kilka
சில	niewielu
சில	niektóre
சில	niektórzy
சில	trochę
உள்ளது	dostępny
உள்ளது	dostępna
உள்ளது	dostępne
உள்ளது	istnieje
அவர்	go
அவர்	jej
அவர்	ją
இருக்கும்	istniejące
இருக்கும்	istniejąca
இருக்கும்	istniejących
இருக்கும்	istniejący
வெளி	outsourcing
வெளி	zewnętrzne
வெளி	przestrzeni
வெளி	kosmos
வெளி	przestrzeń
அமைந்துள்ளது	zlokalizowany
அமைந்துள்ளது	położony
அமைந்துள்ளது	zlokalizowane
மூலம்	źródło
மூலம்	źródła
மூலம்	oryginalna
மூலம்	pierwotnym
மூலம்	oryginalny
மூலம்	oryginał
மூலம்	oryginalne
கொண்ட	zawarty
கொண்ட	zawierały
கொண்ட	zawarte
கொண்ட	zawierał
வரை	remis
வரை	losowanie
வரை	rysować
வரை	wyciągnąć
பின்னர்	wtedy
பின்னர்	pozniej
பின்னர்	później
ஆனால்	ale
வேண்டும்	potrzebuje
வேண்டும்	potrzeba
வேண்டும்	potrzebna
வேண்டும்	potrzebuję
வேண்டும்	potrzebny
வேண்டும்	chcesz
வேண்டும்	chce
வேண்டும்	powinien
வேண்டும்	powinny
வேண்டும்	powinno
வேண்டும்	powinna
கொண்டு	przyniósł
கொண்டு	przynieść
பட்டியல்	odtwarzania
பட்டியல்	listy
பட்டியல்	wykaz
பட்டியல்	lista
பட்டியல்	spis
பட்டியல்	listę
அமைந்துள்ள	zlokalizowany
அமைந்துள்ள	położony
அமைந்துள்ள	zlokalizowane
அதன்	jego
பெண்கள்	samice
பெண்கள்	dziewczyny
பெண்கள்	dziewczynki
பெண்கள்	girls
பெண்கள்	dziewczęta
பெண்கள்	kobiet
பெண்கள்	kobietki
பெண்கள்	kobiety
பெண்கள்	damskie
கொண்டுள்ளது	posiada
கொண்டுள்ளது	ma
கொண்டுள்ளது	zawiera
போது	podczas
போது	gdy
போது	kiedy
இணைப்புகள்	znajomości
இணைப்புகள்	powiązania
இணைப்புகள்	połączenia
இணைப்புகள்	załączników
இணைப்புகள்	załączniki
இணைப்புகள்	linków
இணைப்புகள்	łącza
இணைப்புகள்	linki
இணைப்புகள்	odnośniki
இரண்டு	dwie
இரண்டு	dwóch
இரண்டு	dwa
தகவல்	info
தகவல்	informacje
தகவல்	informacja
தகவல்	informacje
தகவல்	informacja
தகவல்	komunikat
தகவல்	wiadomość
தகவல்	wiadomości
மாவட்ட	okręg
மாவட்ட	dzielnicy
மாவட்ட	dystrykt
மாவட்ட	dzielnica
மாவட்ட	rejon
மாவட்ட	powiat
மொத்த	całkowita
மொத்த	ogółem
மொத்த	suma
மொத்த	łącznie
வளர்ச்சி	rozwój
வளர்ச்சி	rozwoju
வளர்ச்சி	opracowywanie
வளர்ச்சி	opracowanie
வளர்ச்சி	rozwój
வளர்ச்சி	wzrostu
வளர்ச்சி	wzrost
மாவட்டம்	okręg
மாவட்டம்	dzielnicy
மாவட்டம்	dystrykt
மாவட்டம்	dzielnica
மாவட்டம்	rejon
மாவட்டம்	powiat
அந்த	że
மிகவும்	bardzo
திட்டம்	projekt
திட்டம்	project
திட்டம்	plan
தேசிய	krajowa
தேசிய	krajowe
தேசிய	national
தேசிய	narodowy
தேசிய	krajowy
தேசிய	krajowych
இலங்கை	cejlon
இங்கு	tutaj
கி	kyi
அமெரிக்க	amerykańska
அமெரிக்க	american
அமெரிக்க	amerykański
அமெரிக்க	amerykańskie
அமெரிக்க	amerykanin
அடிப்படை	podstawa
அடிப்படை	podstawie
அடிப்படை	podstawy
அடிப்படை	baza
அடிப்படை	podstawa
அடிப்படை	base
அடிப்படை	bazy
அடிப்படை	podstawowe
அடிப்படை	podstawowego
அடிப்படை	podstawowy
அடிப்படை	podstawowa
பெயர்	nazwisko
பெயர்	imię
பெயர்	nazwa
பெயர்	etykieta
பெயர்	etykiety
பெயர்	etykiecie
பெயர்	oznakowanie
மூன்று	trzy
ஆண்கள்	samców
ஆண்கள்	mężczyzn
ஆண்கள்	samce
ஆண்கள்	mężczyźni
ஆண்கள்	męskie
ஆண்கள்	faceci
ஆண்கள்	men
ஆண்கள்	mężczyźni
ஆண்கள்	męskie
ஆண்கள்	mens
ஒன்று	jeden
ஒன்று	jedna
ஐக்கிய	zjednoczone
ஐக்கிய	united
ஐக்கிய	zjednoczona
ஐக்கிய	zjednoczeni
ஐக்கிய	zjednoczonych
புதிய	nowości
புதிய	nowe
புதிய	nowość
புதிய	nowy
புதிய	nowa
புதிய	świeżo
புதிய	świeże
