tágas	寬敞
wing	永
wing	翼
márciusi	三月
falat	壁
falat	牆壁
falat	圍牆
falat	牆
oldalakon	頁
érd	興趣
érd	利息
invázió	入侵
invázió	侵略
tojást	蛋
tojást	雞蛋
tojást	卵
tojást	蛋
tojást	雞蛋
kifutó	跑道
nyaka	脖子
nyaka	頸
nyaka	頸部
earl	earl
legelő	草地
legelő	草場
legelő	草原
legelő	牧場
legelő	牧草
legelő	放牧
cselekvés	動作
cselekvés	行動
mechanizmus	機制
mechanizmus	機制
eszik	吃
eszik	飲食
eszik	進食
eszik	食
őrző	守護神
őrző	守護者
őrző	守護
őrző	監護人
mozaik	馬賽克
stevens	stevens
savas	酸性
savas	酸
savas	酸性
súly	重量
súly	體重
súly	份量
ericsson	ericsson
fennmaradó	剩餘
parancsnokság	命令
parancsnokság	指揮
lionel	lionel
rovat	箱
rovat	框
rovat	盒
rovat	盒子
rovat	方框
norma	規範
megkülönböztető	歧視
megkülönböztető	區分
rubin	紅寶石
rubin	ruby
szálak	纖維
feudális	封建
betty	betty
hiphop	hiphop
bejegyzés	入境
bejegyzés	張貼
bejegyzés	郵政
bejegyzés	post
jeffrey	jeffrey
kiskorú	未成年
kiskorú	未成年
mítosz	神話
andre	andre
andre	andré
nyomozás	調查
nyomozás	調查
burrows	burrows
jótékony	慈善
strand	沙灘
strand	海灘
strand	strand
méh	子宮
méh	子宮
méh	蜂
méh	蜜蜂
nina	nina
golyó	球
golyó	子彈
golyó	彈頭
erőforrás	資源
erőforrás	資源
óránként	每小時
rousseau	盧梭
oak	橡樹
oak	橡木
oak	橡
oak	櫟
gyűjteni	收集
gyűjteni	收集
típusai	類型
fogyasztás	消費
fogyasztás	消費量
fogyasztás	消耗
mode	模式
manó	妖精
manó	精靈
vállalkozások	公司
vállalkozások	企業
vállalkozások	企業
hidraulikus	水利
hidraulikus	水力
hidraulikus	液壓
kairó	開羅
mao	毛
szülés	分娩
szülés	出生
szülés	分娩
szülés	生育
szülés	難產
funk	funk
cirkáló	巡洋艦
nob	nob
lépések	腳步聲
lépések	腳步
lépések	步驟
gőz	蒸氣
gőz	蒸汽
gőz	蒸氣
gőz	蒸汽
fenntartani	維持
drake	drake
mohammed	穆罕默德
mohammed	穆罕默德
bőséges	豐富
szándék	意圖
szándék	意向
szándék	意圖
szándék	意向
szándék	意圖
szándék	意向
papság	神職
papság	神職人員
klán	氏族
klán	部族
klán	氏
cseng	程
pestis	瘟疫
pestis	鼠疫
pestis	瘟疫
elefánt	象
elefánt	大象
elefánt	象
elefánt	大象
christine	christine
ghost	鬼魂
ghost	鬼
ghost	幽靈
megnyitó	開局
megnyitó	開幕
jensen	jensen
csi	csl
csi	csi
alkalmatlan	不足
alkalmatlan	無能
fogyasztói	消費者
dawn	dawn
dawn	拂曉
dawn	黎明
dawn	天亮
piazza	廣場
arcát	臉
arcát	臉部
bibliográfia	書目
elégedett	滿意
vizsga	考試
vizsga	考試
rajzok	素描
rajzok	草圖
rajzok	圖畫
rajzok	圖紙
rajzok	繪圖
népszerűek	熱門
népszerűek	流行
népszerűek	受歡迎
népszerűek	人氣
med	med
kúp	錐
hammer	錘
hammer	錘子
hammer	槌
öröksége	傳承
öröksége	遺贈
öröksége	遺留
öröksége	遺產
létesítmények	設施
létesítmények	設施
létesítmények	裝置
megvédeni	保護
megvédeni	捍衛
megvédeni	保衛
törvényszéki	法醫
rangos	聲望
kötve	捆綁
kötve	被綁
anatómia	解剖
anatómia	解剖學
ket	愒
szociológia	社會學
igények	要求
igények	債權
őskori	史前
állapotok	條件
tanya	tanya
diszkrét	離散
bors	辣椒
bors	胡椒
libanon	黎巴嫩
szögletes	正方形
szögletes	平方
szögletes	方塊
szögletes	方形
szögletes	廣場
szögletes	角
gravitáció	地心引力
gravitáció	引力
gravitáció	重力
másoknak	其他
megfogalmazás	措辭
megfogalmazás	措詞
nyugdíjas	退休
nyugdíjas	退休
nyugdíjas	退役
dániában	丹麥
szerkezetek	建構
szerkezetek	結構
ima	祈禱
ima	禱告
ima	祈禱
ima	禱告
törvényszék	法庭
frissítés	更新
frissítés	升級
frissítés	提升
frissítés	更新
frissítés	更新
frissítés	增訂
frissítés	更新
banglades	孟加拉國
patakok	流
patakok	溪流
szava	詞
szava	word
szava	單詞
szava	字
szava	單字
denevér	蝙蝠
eleanor	eleanor
court	法庭
