με	עם
που	אשר
που	איזה
για	בשביל
κατηγορία	קטגוריה
κατηγορία	קטגוריית
τους	אותם
ήταν	היה
ήταν	הייתה
ήταν	היתה
ένα	אחת
ένα	אחד
ότι	זה
μια	אחת
μια	אחד
θα	ויל
θα	וויל
αλλά	אך
αλλά	אבל
μετά	ואז
μετά	אחרי
μετά	לאחר
επίσης	גם
επίσης	וגם
όπως	כמו
όπως	אוהב
όπως	כאילו
ενώ	בזמן
δύο	שני
δύο	שניים
δύο	שתיים
αυτό	זה
αυτό	זה
αυτή	היא
όπου	לאן
όπου	איפה
όπου	היכן
όταν	מתי
όταν	כאשר
μέχρι	עד
μία	אחת
μία	אחד
μπορεί	יכולה
μπορεί	יכול
ομάδα	חבורה
ομάδα	הקבוצה
ομάδα	קבוצה
ομάδα	צוות
ομάδα	קבוצה
θέση	עמדה
θέση	משרה
θέση	העמדה
μεταξύ	בין
χρόνια	כרונית
χρόνια	כרוני
χρόνια	שנים
χρόνια	שנה
πρώτη	ראשון
πρώτη	קודם
πρώτη	ראשית
πρώτη	תחילה
πιο	עוד
πιο	יותר
ένας	אחת
ένας	אחד
πόλη	טאון
πόλη	עיירה
πόλη	עיר
πόλη	העיר
πόλη	העיר
πόλη	עיר
πόλη	סיטי
σύνδεσμοι	קישורים
μόνο	בלבד
μόνο	רק
έγινε	בוצע
έγινε	סיים
έγινε	סיימתי
έγινε	סגור
πολύ	מאוד
περιοχή	אזור
περιοχή	אזור
περιοχή	איזור
περιοχή	האזור
περιοχή	שטח
αιώνα	המאה
αθήνα	אתונה
περίοδο	נקודה
περίοδο	תקופה
τότε	ואז
όνομα	השם
όνομα	שם
ελλάδα	יוון
μέρος	חלק
μέρος	המקום
μέρος	מקום
σήμερα	היום
μέσα	בפנים
μέσα	בתוכו
μέσα	בתוך
μέσα	פנימה
πως	איך
πως	כיצד
μαζί	יחד
μαζί	ביחד
μαζί	יחדיו
διάρκεια	משך
ιστορία	סיפור
ιστορία	היסטוריה
ιστορία	ההיסטוריה
πρωτάθλημα	הליגה
πρωτάθλημα	ליגה
πρωτάθλημα	אליפות
νέα	חדש
νέα	חדשה
νέα	חדשים
νέα	חדשות
νέα	בשורות
περίπου	על
περίπου	לגבי
περίπου	אודות
περίπου	בקירוב
αυτά	אלו
αυτά	אלה
πριν	לפני
χωρίς	מבלי
χωρίς	ללא
χωρίς	בלי
εθνική	לאומי
εθνική	לאומית
συζήτηση	שיחה
συζήτηση	השיחה
συζήτηση	שיחת
συζήτηση	דיון
συζήτηση	דיון
συζήτηση	ויכוח
συζήτηση	עימות
αρχείο	הארכיון
αρχείο	לארכיון
αρχείο	ארכיון
αρχείο	קובץ
αρχείο	הקובץ
πρέπει	חייב
φορά	זמן
φορά	הזמן
φορά	עת
φορά	טיים
πάνω	למעלה
έλληνες	יוונים
ομάδες	קבוצות
ομάδες	קבוצות
ομάδες	צוותי
ομάδες	צוותים
πρώτο	ראשון
πρώτο	קודם
πρώτο	ראשית
πρώτο	תחילה
έργο	פרוייקט
έργο	מיזם
έργο	פרויקט
έργο	עבודה
κυρίως	בעיקר
κυρίως	ברובו
κυρίως	לרוב
κυρίως	בעיקר
ελληνική	יוונים
ελληνική	יווני
ελληνική	יוונית
μεγάλη	ביג
μεγάλη	גדולים
μεγάλη	גדול
μεγάλη	גדולה
υπό	תחת
υπό	מתחת
έως	עד
ποδοσφαιριστές	כדורגלנים
ταινία	סרט
ταινία	קולנוע
ταινία	קלטת
ταινία	סרט
άλλα	אחרים
άλλα	אחר
άλλα	אחרות
άλλα	אחרים
άλλα	ואחרים
τμήμα	מחלקה
τμήμα	המחלקה
τμήμα	מקטע
τμήμα	סעיף
τμήμα	מחלקה
σαν	כמו
σαν	אוהב
σαν	כאילו
εκεί	שם
ωστόσο	אולם
άλλες	אחרים
άλλες	אחר
τέλος	סופסוף
τέλος	לבסוף
τέλος	סיום
τέλος	סוף
τέλος	סופו
τέλος	קץ
σειρά	סדרה
σειρά	סידרה
σειρά	סדרת
σειρά	הסדר
σειρά	הזמנה
σειρά	סדר
σειρά	פקודה
σειρά	שורה
στοιχεία	יסודות
στοιχεία	אלמנטים
στοιχεία	מידע
στοιχεία	דאטה
στοιχεία	נתונים
εκτός	אא
εκτός	מלבד
συνέχεια	המשכיות
συνέχεια	המשך
συνέχεια	המשיך
συνέχεια	המשיכה
κάτω	מטה
κάτω	למטה
κάτω	דאון
κάτω	תחתון
κάτω	למטה
κάτω	מתחת
κάτω	למטה
κάτω	בהמשך
κάτω	להלן
πολλές	הרבה
πολλές	רבות
πολλές	רבים
όλα	הכול
όλα	הכל
όλα	כולם
όλα	הכל
όλα	כל
σύστημα	המערכת
σύστημα	מערכת
ακόμα	עדיין
φορές	פעמים
φορές	הטיימס
φορές	טיימס
φορές	זמנים
ίδια	זהים
ίδια	זהה
ιουλίου	ביולי
ιουλίου	יולי
χώρα	מדינה
χώρα	ארץ
χώρα	ארצי
αποτέλεσμα	תוצאות
αποτέλεσμα	תוצאה
αποτέλεσμα	האפקט
αποτέλεσμα	השפעה
αποτέλεσμα	אפקט
οκτωβρίου	באוקטובר
οκτωβρίου	אוקטובר
ιανουαρίου	ינואר
ιανουαρίου	בינואר
σεπτεμβρίου	ספטמבר
νοεμβρίου	נובמבר
νοεμβρίου	בנובמבר
αγώνες	גפרורים
αγώνες	התאמות
αγώνες	משחקים
ταινίες	סרטים
ταινίες	סרטים
ταινίες	קולנוע
μέσω	באמצעות
μέσω	דרך
μέσω	ויה
μέσω	דרך
μαρτίου	מרץ
μαρτίου	צעדה
μαρτίου	במרץ
γεννήθηκε	נולדת
γεννήθηκε	נולדתי
γεννήθηκε	נולדו
γεννήθηκε	נולד
γεννήθηκε	נולדה
ιουνίου	יוני
αυτές	אלו
αυτές	אלה
πολλά	הרבה
πολλά	רבות
πολλά	רבים
απριλίου	אפריל
τρεις	שלושה
τρεις	שלוש
τρεις	three
αυγούστου	אוגוסט
έργα	פועל
έργα	יצירות
έργα	עובדת
έργα	עובד
έργα	פרויקטים
έργα	פרוייקטים
δεκεμβρίου	בדצמבר
δεκεμβρίου	דצמבר
χρήση	להשתמש
χρήση	שימוש
χρήση	השתמש
πρόεδρος	נשיא
πρόεδρος	נשיאה
πρόεδρος	הנשיא
πολιτική	מדיניות
πολιτική	פוליטיקה
ακόμη	עדיין
μας	שלנו
εκλογές	בחירות
εκλογές	בחירות
τελικά	לבסוף
τελικά	סופסוף
τελικά	לבסוף
εποχή	עונה
εποχή	העונה
εποχή	עידן
χωριό	כפר
χωριό	הכפר
αρχικά	בתחילה
αρχικά	במקור
περίοδος	נקודה
περίοδος	תקופה
δήμος	עירייה
δήμος	עיריית
