آقایان	gentlemen
چال	chal
محرمانه	rahasia
محرمانه	secret
محرمانه	rahasia
محرمانه	kerahasiaannya
محرمانه	dirahasiakan
لان	lan
لان	lon
آنکارا	ankara
رولینگ	rolling
رولینگ	bergulir
رولینگ	berguling
رولینگ	rowling
گمینا	gmina
حیوانی	hewan
حیوانی	binatang
حیوانی	animal
ایدئولوژی	ideologi
پین	sematkan
پین	pin
نمره	grade
نمره	score
نمره	skor
نمره	skor
ماجراجویی	bertualang
ماجراجویی	adventure
ماجراجویی	petualangan
امثال	amsal
بسازید	membangun
بسازید	bina
بسازید	build
اسقف	uskup
اسقف	bishop
بنفشه	violet
بنفشه	viola
بنفشه	violet
احضار	pemanggilan
احضار	dipanggil
مصور	komik
مصور	comic
قیمتی	harga
قیمتی	price
قیمتی	harganya
گوگرد	sulfur
گوگرد	belerang
باشی	bashi
یاخته	sel
واردات	import
واردات	impor
مشاهدات	pengamatan
ویدیویی	vidio
ویدیویی	video
جرایم	kejahatan
جرایم	kriminalitas
جرایم	pidana
جرایم	kejahatan
جرایم	kriminal
جرایم	crime
دانا	doel
دانا	dana
ژوراسیک	jura
ژوراسیک	jurassic
کلینتون	clinton
فرستنده	transmitter
فرستنده	pemancar
فرستنده	penerbit
فرستنده	pengirim
فرستنده	pengirim
وود	kayu
وود	wood
عبدالرحمن	abdulrahman
فرسایش	erosi
انتزاعی	abstrak
متمم	amandemen
متمم	melengkapi
متمم	pelengkap
هارت	hart
اوبلاست	oblast
حلال	halal
گارسیا	garcia
گارسیا	garcia
گارسیا	garcía
جولیا	yulia
جولیا	julia
فرگشت	evolusi
فرگشت	evolution
ترمودینامیک	termodinamika
ترمودینامیک	termodinamika
هما	homa
دوبار	twice
رکود	depresi
زئوس	zeus
نانسی	nancy
گرینلند	greenland
صدف	kerang
صدف	tiram
صدف	cangkang
صدف	selongsong
صدف	kerang
افشین	afshin
رندی	randy
روبرتو	roberto
مالاوی	malawi
ژرمن	germain
کلاید	clyde
برهنه	naked
برهنه	bugil
برهنه	telanjang
برهنه	bugil
برهنه	nude
برهنه	telanjang
برهنه	bertelanjang
برهنه	telanjang
برهنه	stoking
لوکاس	lucas
لوکاس	lukas
کوت	kut
کوت	cot
کوت	dipan
خاطره	memories
خاطره	memori
خاطره	kenangan
خاطره	memory
خاطره	kenangan
خاطره	ingatan
خاطره	memori
داوید	daud
داوید	david
وجودی	eksistensial
نوزادان	bayi
نوزادان	babies
یوزف	yusuf
یوزف	joseph
تورات	taurat
مولد	generator
امامت	imam
تجسمی	visualisasi
پنالتی	penalti
پنالتی	pinalti
یکنواخت	mantap
تاسمانی	tasmania
رحمت	mercy
رحمت	rahmat
رحمت	kasta
ضمیمه	terlampir
درجات	peringkat
درجات	pangkat
درجات	barisan
درجات	jajaran
مجرای	kanal
مجرای	canal
مجرای	terusan
مجرای	kanal
مجرای	channel
