hopes	esperances
cornell	cornell
modes	modes
servant	servent
kenny	kenny
hurt	ferit
maker	maker
carlo	carlo
lynn	lynn
stability	estabilitat
imposed	imposat
imposed	imposades
imposed	imposada
confusing	confús
summaries	resums
joel	joel
jets	jets
logos	logotips
vital	vital
malcolm	malcolm
winnipeg	winnipeg
kilometers	kilòmetres
buddhism	budisme
nose	nas
respected	respectat
thunder	tro
bolivia	bolívia
forget	oblida
implies	implica
crops	cultius
crops	conreus
halifax	halifax
toll	peatge
monk	monjo
extraordinary	extraordinaris
extraordinary	extraordinària
extraordinary	extraordinàries
lessons	lliçons
lessons	ensenyaments
pub	pub
monte	monte
segments	segments
deer	cérvol
mysterious	misteriós
mysterious	misteriosa
consultant	consultor
fraser	fraser
formats	formats
jam	jam
jam	melmelada
chicken	pollastre
enable	habilita
idol	ídol
reid	reid
births	naixements
amazing	increïble
pet	pet
pet	mascota
upset	molesta
upset	molest
loves	estima
loves	loves
stretch	tram
striking	cridaners
accidentally	accidentalment
hopkins	hopkins
eds	eds
goddess	deessa
burials	enterraments
resumed	reprès
satisfy	satisfer
notion	noció
voltage	tensió
betty	betty
marion	marion
geology	geologia
consistently	coherentment
cyclone	cicló
export	exportació
lightning	llamp
impressed	impressionat
impressed	impressionada
maintains	manté
logical	lògic
aggressive	agressiu
jin	jin
julie	julie
fbi	fbi
yankees	yankees
ludwig	ludwig
pond	estany
pond	pond
suburban	suburbana
moments	moments
conjunction	conjunció
argues	argumenta
lucky	sort
regiments	regiments
prevented	impedit
toy	joguina
bicycle	bicicleta
purely	purament
interactions	interaccions
fraud	frau
fraud	fraus
lang	lang
arcade	arcade
sanctuary	santuari
dragons	dracs
dragons	dragons
copa	copa
nurse	infermera
nurse	infermer
module	mòdul
supplement	suplement
lens	lens
lens	lent
commands	ordres
trend	tendència
superintendent	superintendent
gerald	gerald
rap	rap
geneva	ginebra
ash	cendra
blade	blade
disappeared	desaparegut
patrolling	patrullant
predominantly	predominantment
committees	comitès
committees	comissions
loose	soltes
loose	solta
boom	boom
sailors	mariners
beaten	colpejat
smoke	fum
assassination	atemptat
lancaster	lancaster
reynolds	reynolds
divorce	divorci
dust	pols
saxon	saxó
separately	separadament
grain	gra
executives	executius
translations	traduccions
zimbabwe	zimbabwe
cohen	cohen
diving	busseig
diving	salts
carroll	carroll
accounting	comptabilitat
prussia	prússia
cherry	cirera
cherry	cherry
underlying	subjacent
tobacco	tabac
varieties	varietats
bench	banca
directions	indicacions
directions	direccions
ellen	ellen
measurement	mesura
measurement	mesurament
paradise	paradís
paradise	paradise
alexandria	alexandria
witch	bruixa
attraction	atracció
diana	diana
personalities	personalitats
busy	ocupat
cia	cia
screenwriter	guionista
rankings	rànquing
commanders	comandants
salem	salem
wagner	wagner
sanctions	sancions
americas	amèrica
endings	finals
instructor	instructor
nobility	noblesa
divorced	divorciat
varies	varia
tomorrow	demà
manuscripts	manuscrits
unified	unificada
unified	unificats
clarify	clarificar
clarify	aclarir
investigations	investigacions
silva	silva
derek	derek
agenda	agenda
provision	disposició
provision	provisió
humanity	humanitat
admit	admetre
terror	terror
contestants	concursants
trinidad	trinidad
trinidad	trinitat
distant	llunyà
distant	distant
burke	burke
circles	cercles
assignment	cessió
willie	willie
celebrate	celebrar
ranch	ranxo
ranch	ranch
vampire	vampir
playwright	dramaturg
sick	malalts
sick	malalt
associates	associats
heinrich	heinrich
ethiopia	etiòpia
flags	banderes
flags	indicadors
tel	tel
drives	impulsa
accomplished	complerta
autobiography	autobiografia
velocity	velocitat
terminology	terminologia
coordinates	coordenades
brighton	brighton
viola	viola
para	para
morrison	morrison
propulsion	propulsió
boxer	boxejador
shoulder	espatlla
disabled	discapacitats
disabled	inhabilitat
disabled	deshabilitat
div	div
tactics	tàctiques
ernst	ernst
innocent	innocent
rapper	raper
settle	pactar
privacy	privadesa
privacy	privacitat
boeing	boeing
emmy	emmy
indo	indo
distinguish	distingir
rosa	rosa
thermal	tèrmic
thermal	tèrmica
flute	flauta
marines	marines
feminist	feminista
feminist	feminist
sculptures	escultures
bacteria	bacteris
disorders	trastorns
prevention	prevenció
honored	honorat
honored	honrat
healthy	saludables
healthy	healthy
healthy	sanes
healthy	saludable
circus	circ
speculation	especulació
sec	sec
quiet	tranquil
knee	genoll
hypothesis	hipòtesi
referendum	referèndum
estonian	estonià
pastor	pastor
sofia	sofia
tribune	tribune
tribune	tribú
permit	permís
priority	prioritat
pounds	lliures
consequence	conseqüència
rica	rica
furniture	mobles
furniture	mobiliari
furniture	moble
macdonald	macdonald
honest	honest
honest	honesta
honest	sincer
innovative	innovadora
innovative	innovadors
innovative	innovadores
innovative	innovador
estimate	estimació
atp	atp
rotation	rotació
automated	automatitzat
automated	automatitzats
obscure	obscur
kosovo	kosovo
classics	classics
classics	clàssics
appreciated	apreciada
appreciated	apreciats
appreciated	apreciat
naples	nàpols
sebastian	sebastian
sebastian	sebastián
activated	activat
activated	activats
varied	variats
offense	ofensa
offense	ofendre
advised	aconsella
advised	aconsellat
barnes	barnes
exceptions	excepcions
martha	martha
quarters	quarts
quarters	trimestres
drawings	dibuixos
hitting	pegar
refuge	refugi
maharashtra	maharashtra
conventions	convencions
conventions	convenis
elliott	elliott
diplomat	diplomàtic
searches	cerques
brigadier	brigadier
particle	partícula
malayalam	malaiàlam
thursday	dijous
icon	icona
ulster	ulster
infinite	infinit
infinite	infinites
infinite	infinits
infinite	infinita
considerably	considerablement
vale	vale
portraits	retrats
paste	enganxa
randy	randy
saxony	saxònia
convoy	comboi
annie	annie
excessive	excessiva
excessive	excessiu
believing	estimant
rhine	rin
mineral	mineral
implement	implementar
surgeon	cirurgià
badge	distintiu
charleston	charleston
clause	clàusula
infection	infecció
electron	electró
walt	walt
cnn	cnn
confederation	confederació
accommodate	cabuda
casino	casino
aux	aux
guatemala	guatemala
settings	arranjaments
settings	arranjament
mask	màscara
shelter	aixopluc
shelter	refugi
dorothy	dorothy
ethnicity	etnicitat
hopefully	esperem
elimination	eliminació
heath	gost
heath	heath
pregnant	embarassada
pregnant	embarassades
richards	richards
theodore	theodore
theodore	teodor
delegates	delegats
blair	blair
fac	fac
phrases	frases
preference	preferència
janeiro	janeiro
bits	bits
construct	construeix
tune	sintonia
bulk	granel
lighthouse	far
stan	stan
highland	highland
mascot	mascota
acceptance	acceptació
tight	ajustat
routine	rutina
reviewing	revisant
dubbed	doblada
dozens	dotzenes
harmony	harmony
harmony	harmonia
entrepreneur	empresari
entrepreneur	emprenedor
wwe	wwe
apollo	apollo
naked	despullada
naked	nua
anton	anton
moses	moses
moses	moisès
legally	legalment
fake	fals
fake	fake
biased	parcials
equity	equitat
providence	providence
providence	providència
investors	inversors
reliability	fiabilitat
tenor	tenor
fights	baralles
pocket	butxaca
sad	trista
sad	sad
sad	trist
troy	troy
troy	troia
treasure	tresor
ion	ió
transformed	transformat
roberto	roberto
adoption	adopció
decrease	disminució
reserved	reservat
reserved	reservada
reserved	reservats
forgotten	oblidats
forgotten	oblidat
lok	lok
crop	cultiu
crop	conreu
collecting	recollint
treasury	tresoreria
trumpet	trompeta
johnston	johnston
uncertain	incert
uncertain	incerta
norton	norton
collector	cobrador
cluster	cúmul
cluster	clúster
dear	benvolguts
georges	georges
roller	roller
clothes	robes
clothes	roba
sovereign	sobirana
enhanced	millorada
enhanced	millorat
compensation	compensació
compensation	indemnització
consent	consentiment
outline	esquema
outline	contorn
jorge	jorge
darkness	foscor
darkness	tenebres
penalties	sancions
bombers	bombarders
holes	forats
cooking	cuinar
cooking	cocció
aftermath	seqüeles
trainer	preparador
trainer	formador
retiring	jubila
chip	xip
chip	chip
consciousness	consciència
archaeology	arqueologia
latvia	letònia
telugu	telugu
blogs	blogs
protecting	protegint
hardy	hardy
scorer	scorer
stamp	segell
nat	nat
fur	pelatge
redirected	redireccionat
estimates	estimacions
lit	enceses
ritual	ritual
locality	localitat
trace	traça
marble	marble
marble	marbre
foundations	fundacions
politically	políticament
nottingham	nottingham
derivative	derivat
derivative	derivada
boxers	boxers
dimension	dimensió
crawford	crawford
bats	ratpenats
tanzania	tanzània
motto	lema
hayes	hayes
xbox	xbox
identifying	identificant
genres	gèneres
galleries	galeries
forbes	forbes
councils	diputacions
adequate	adequada
brass	brass
brass	llautó
bach	bach
alias	àlies
counsel	lletrat
protagonist	protagonista
trails	senders
claire	claire
mistakes	errors
dylan	dylan
bag	bossa
throwing	tirant
churchill	churchill
climb	trepa
climb	escalar
witnesses	testimonis
thames	thames
kazakhstan	kazakhstan
bots	bots
presenting	presentant
highlights	destaca
highlights	destacats
