och	ja
med	med
med	mukaan
med	mukana
med	with
med	kanssa
som	tykkää
som	kuten
som	kuin
som	jonka
som	joka
som	jota
som	johon
som	jotka
runt	ympärillä
runt	ympäri
runt	maisemissa
runt	erä
runt	kierros
runt	pyöreä
månaden	kuukausittainen
månaden	kuukausi
månaden	kuukausittaiset
månaden	kuukausittain
månaden	kuukaudessa
månaden	kuukausi
månaden	kuukauden
månaden	kuukautta
nederbörd	sademäärä
ligger	valheet
ligger	valheita
ligger	valehtelee
ligger	sijaitsee
ingår	sisällytetty
ingår	sisältyy
ingår	sisältää
att	tuo
att	että
ett	yks
ett	yksi
ett	yhden
ett	one
över	ohi
över	yli
familjen	suku
familjen	perhe
familjen	perheen
för	varten
inga	inga
delen	osa
delen	osaa
delen	osittain
släktet	suku
släktet	sukuun
underarter	alalaji
life	life
life	elämää
life	elämän
life	elämä
listade	lueteltu
listade	lueteltujen
listade	luetellut
landet	maa
landet	valtio
landet	maata
landet	maan
meter	metriä
meter	mittarit
meter	metriä
meter	metri
meter	mittari
meter	jaardia
huvudstaden	capitol
huvudstaden	pääkaupunki
huvudstaden	pääoman
huvudstaden	pääoma
havet	meri
havet	meri
havet	valtameri
havet	ocean
kallaste	kyl
invånare	asukkaita
invånare	asukkaat
invånare	asukasta
invånare	asukkaille
invånare	asukkaita
invånare	asukkaat
invånare	kansalaisten
invånare	kansalaisia
invånare	kansalaiset
januari	tammikuu
januari	tammikuussa
januari	tammikuun
januari	tammikuuta
millimeter	millimetrin
millimeter	millimetriä
genomsnitt	keskimääräinen
genomsnitt	keskiarvo
genomsnittlig	keskimääräinen
genomsnittlig	keskiarvo
var	var
var	oli
var	oliko
var	olivat
var	olivatko
var	missä
var	jossa
juli	heinäkuu
juli	heinäkuussa
juli	heinäkuun
juli	heinä
juli	heinäkuuta
juli	juli
han	han
har	on
per	per
vattendrag	vesistöjen
vattendrag	vesireitti
vattendrag	joet
vattendrag	jokia
vattendrag	jokien
vattendrag	rivers
från	alkaen
från	from
kanada	kanada
kanada	kanadassa
kanada	kanadan
provinsen	maakunta
närheten	läheisyys
men	mutta
högsta	korkein
högsta	enintään
högsta	maksimi
högsta	suurin
högsta	enimmäismäärä
högsta	korkeimman
högsta	korkeimmat
högsta	korkein
augusti	elokuu
augusti	elokuuta
augusti	elokuussa
augusti	elokuun
augusti	august
kan	vois
kan	voisi
kan	voi
länkar	linkit
länkar	yhteydet
länkar	linkkejä
länkar	linkkien
externa	ulkoisen
externa	ulkoinen
externa	ulkoiset
