dhe	un
një	viens
një	viena
një	vienu
nga	no
për	par
për	priekš
për	for
edhe	pat
tij	viņa
nuk	nav
nuk	ne
ishte	bija
ishte	tika
janë	ir
shumë	ļoti
shumë	loti
por	bet
por	taču
pas	pēc
këtë	šī
këtë	šo
këtë	šis
këtë	tas
parë	redzējusi
parë	redzēti
parë	redzējuši
parë	redzējis
tyre	viņu
tyre	viņiem
mund	varēja
mund	varētu
mund	var
mund	varam
gjatë	ilgi
gjatë	garais
gjatë	gara
gjatë	garas
gjatë	garš
disa	dažas
disa	dažiem
disa	daži
lidhje	saites
lidhje	links
lidhje	attiecības
lidhje	saistība
lidhje	pieslēgums
lidhje	savienojums
lidhje	saikne
lidhje	saite
kjo	šī
kjo	šo
kjo	šis
kjo	tas
kjo	ka
kjo	tas
kur	kad
mbi	pār
mbi	virs
mbi	augstāk
deri	līdz
jashtme	ārējais
jashtme	ārējs
jashtme	ārējā
jashtme	ārējais
jashtme	ārējā
jashtme	ārpuses
jashtme	ārējie
saj	tās
saj	viņai
saj	viņas
kishte	bija
ajo	viņa
ajo	vina
vetëm	vien
vetëm	tikai
vetëm	tikai
ata	viņiem
ata	viņi
ata	tie
ata	tās
tjera	pārējie
tjera	citi
tjera	cits
tjera	citādi
tjera	citas
pjesë	daļas
pjesë	detaļas
pjesë	daļa
atë	viņam
atë	viņu
shqiptare	albāņu
shqiptare	albānijas
madhe	liels
madhe	lielais
madhe	lieli
madhe	liela
madhe	lielā
rreth	par
rreth	ap
rreth	apkārt
para	naudu
para	nauda
para	naudas
para	nauda
para	pirms
per	par
per	par
per	priekš
per	for
këto	šīs
këto	šie
banorë	iedzīvotāji
banorë	rezidenti
banorë	iedzīvotāji
komuna	pašvaldībām
komuna	pašvaldības
komuna	municipalitātes
komuna	novads
komuna	pašvaldība
cila	kas
cila	kuras
cila	kura
nje	viens
nje	viena
nje	vienu
kundër	skaitītājs
kundër	skaitītāja
kundër	pret
madh	milzīga
lista	sarakstu
lista	saraksta
lista	uzskaitījums
lista	saraksts
lista	sarakstus
lista	saraksti
lista	sarakstiem
qenë	bijis
qenë	bijusi
gjithashtu	arī
ndërsa	kamēr
cilat	kas
cilat	kuras
cilat	kura
ndryshme	atšķirīgi
