uuem	terbaharu
hani	angsa
hani	hani
hani	han
rex	rex
jeffersoni	jefferson
bengali	benggala
harrison	harrison
maia	maia
ümbritsev	sekitarnya
chicagos	chicago
turba	gambut
hävitatud	dimusnahkan
hävitatud	hancur
karistuse	hukuman
karistuse	azab
liigitus	pengelasan
liigitus	klasifikasi
hävitamine	musnahkan
hävitamine	kemusnahan
korrus	lantai
korrus	floor
beach	beach
beach	pantai
õiglane	adil
õiglane	fair
pööre	twist
pööre	pintal
pööre	turn
sõitja	penumpang
sõitja	penghuni
kuru	lulus
kliendi	pelanggan
kliendi	client
kliendi	klien
katoliiklased	katolik
pidulik	meriah
phillips	phillips
kaas	lid
nurgakivi	teraju
lennata	terbang
lennata	lalat
lennata	fly
lõpetatud	complete
lõpetatud	lengkap
lõpetatud	completed
lõpetatud	dilengkapkan
lõpetatud	selesai
lõpetatud	tamat
alumiiniumi	aluminium
yves	yves
ted	ted
kümmekond	sedozen
kümmekond	dozen
abt	pendeta
tõlked	terjemahan
tõlked	penterjemahan
camille	camille
claus	claus
meeldis	dicintai
meeldis	disayangi
meeldis	disukai
toll	inch
toll	inci
toll	tol
toll	toll
toll	kastam
tammeka	oak
tammeka	ek
cook	masak
cook	cook
stressi	stres
stressi	stress
varad	aset
amy	amy
kive	batu
kive	batuan
kive	rocks
zürichi	zurich
brüssel	brussels
kaltsiumi	kalsium
gonzález	gonzález
sigmund	sigmund
berni	berne
ahven	hinggap
suurendatud	meningkat
laienenud	enlarged
töölised	pekerja
flash	flash
göteborgi	gothenburg
projektid	projek
june	june
june	jun
allāh	allāh
parasvöötme	beriklim
gérard	gérard
konsooli	konsol
siena	siena
verner	verner
verona	verona
singapuri	singapura
singapuri	singapore
rühmitus	berkumpulan
rühmitus	pengumpulan
käsitöö	kraftangan
käsitöö	kraf
käsitöö	craft
käsitöö	handmade
käsitöö	kraf
religioosne	agama
religioosne	keagamaan
vincenzo	vincenzo
ülekanne	penghantaran
ülekanne	pemindahan
