流派	escoles
エステル	ester
エステル	estelle
ノーマル	normal
ノーマル	normals
インタフェース	interfície
インタフェース	interfícies
遺物	artefacte
遺物	relíquies
ナチュラル	naturals
ナチュラル	natural
ボヘミア	bohèmia
紡績	spinning
紡績	girant
ディアス	díaz
ディアス	díaz
ディアス	diaz
チャイナ	xina
こだわり	obsessió
ディフェンダー	defensor
混血	multiracial
入国	immigració
ラード	saïm
代理人	representant
代理人	agent
レンツ	lenz
売春	prostitució
不全	insuficiència
ドリル	simulacre
話し合い	debat
話し合い	discussió
スターリング	sterling
スターリング	stirling
ヘルシンキ	hèlsinki
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hannover
製造業	fabricació
製造業	fabricació
製造業	fabrica
宣告	frase
マフィア	màfia
正平	shohei
ルビ	rubí
ルビ	ruby
金髪	rossa
ヴィオラ	viola
不幸	infeliç
胞子	espores
胞子	spore
ジュール	jules
ジュール	joules
ジュール	joule
反動	reaccionari
賀茂	kamo
ナミ	nami
回帰	regressió
アンカー	àncora
アンカー	ancoratge
アンカー	àncores
ネバダ	nevada
溶接	soldada
溶接	soldadura
近似	aproximació
童子	doji
ビクトリア	victòria
ビクトリア	victoria
給付	benefici
環礁	atol
手動	manual
手動	manualment
マキシ	maxi
レオナルド	leonardo
許諾	autorització
許諾	permís
まゆ	cella
カオス	caos
マネージメント	gestió
ハングル	hangul
セクシー	sexy
発光	brilla
ダウ	dow
リッチモンド	richmond
注ぐ	pour
海岸線	litoral
カーネル	nucli
カーネル	nuclis
電線	cable
スペンサー	spencer
居酒屋	taverna
ギルバート	gilbert
隆盛	takamori
興奮	emocionat
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	altiplà
春日部	kasukabe
パルマ	palma
パルマ	parma
日数	dies
再戦	revenja
機密	confidencialitat
機密	confidencials
機密	confidencial
未遂	intentada
未遂	intents
未遂	intent
クライアント	client
クライアント	clota
クライアント	clients
クライアント	clientes
掃除	neteja
微生物	microorganismes
ウシ	bestiar
ウシ	boví
ソマリア	somàlia
穀物	gra
音色	tons
山名	yamana
スカイライン	skyline
鉱石	mineral
保育園	guarderia
シンポジウム	simposi
美香	mika
ブランデンブルク	brandenburg
エドガー	edgar
ローラー	roller
下線	subratllat
下線	subratlla
トラスト	confiar
トラスト	confia
トラスト	confiança
エリカ	erika
フラット	plànols
フラット	bemoll
フラット	plana
アニメーター	animador
谷山	taniyama
稲田	inada
カバ	hipopòtam
ジョーカー	jòquer
受け入れる	acceptar
受け入れる	accepta
迫撃砲	morter
補助金	subvencionat
補助金	subvencionada
補助金	subvencionats
シェフ	chef
シェフ	xef
スクープ	primícia
歯車	engranatge
俊夫	toshio
グレッグ	greg
パスワード	contrasenya
パスワード	contrasenyes
復員	desmobilització
メカニック	mecànic
申告	declarar
申告	declari
申告	declaració
赤ちゃん	baby
赤ちゃん	nadó
赤ちゃん	nadons
細分	subdivisió
金井	kanai
壱岐	iki
会う	conèixer
セクター	sector
セクター	sectors
濃い	forts
濃い	forta
濃い	fort
公言	professa
減らす	disminució
ショパン	chopin
トロンボーン	trombó
ネック	coll
ストライキ	vaga
最低限	mínim
スクランブル	remenat
スクランブル	remenats
レター	carta
回廊	claustre
回廊	corredor
プレゼン	presentació
プレゼン	presentant
プレゼン	presentacions
モスク	mesquites
モスク	mesquita
ルーカス	lucas
ルーカス	lukas
プライド	orgull
清算	liquidació
テロリスト	terrorista
テロリスト	terroristes
バーンズ	barnes
バーンズ	burns
管理人	admin
管理人	administrador
管理人	administradors
管理人	administrador
持ち込み	portar
コスチューム	disfressa
コスチューム	vestuari
コスチューム	disfresses
カージナルス	cardenalici
波動	ona
エアバス	airbus
スペック	especialitzacions
ボリス	boris
ボリス	borís
サンバ	samba
原告	demandant
原告	reclamant
チキン	pollastre
インデックス	index
インデックス	índex
インデックス	índexs
中道	moderat
頼朝	yoritomo
ピックアップ	recollida
コールド	fred
プライス	preu
ハロルド	harold
待遇	tractament
北極	àrtic
西園寺	saionji
フレンチ	francès
すごい	impressionant
すごい	increïble
ライプツィヒ	leipzig
日比谷	hibiya
アダムズ	adams
ジュース	jugo
ジュース	suc
ジュース	sucs
ゴルファー	golfista
ルージュ	rouge
守山	moriyama
従兄弟	prima
従兄弟	cosí
従兄弟	cosina
ギルド	gremio
ギルド	gremi
ギルド	gremis
回生	regenerativa
ニュルンベルク	nürnberg
ニュルンベルク	nuremberg
ブラザー	germà
チューリッヒ	zürich
チューリッヒ	zuric
チューリッヒ	zuric
チューリッヒ	zurich
内線	ampliació
内線	extensió
内線	pròrroga
ルクス	lux
ステッカー	adhesiu
ステッカー	adhesius
浅い	superficial
カブ	nap
パウル	paul
三味線	shamisen
故人	causant
故人	difunts
ハンドボール	handbol
オークス	alzines
エッグ	ous
エッグ	ou
更生	reorganització
更生	rehabilitació
スキン	pells
スキン	aparences
スキン	pell
ピンチ	pessic
まさし	masashi
パース	perth
皐月	satsuki
エマ	emma
ヌード	nuesa
メビウス	moebius
公害	contaminació
コペンハーゲン	copenhagen
コペンハーゲン	copenhaguen
りんご	pomes
りんご	poma
りんご	apple
ヒカル	hikaru
インフルエンザ	grip
インフルエンザ	grip
オーボエ	oboè
石山	ishiyama
毒性	tòxic
毒性	tòxics
毒性	toxicitat
メカニズム	mecanismes
メカニズム	mecanisme
やさしい	fàcil
ジャンボ	jumbo
ネギ	porro
燃える	cremant
芳賀	haga
体質	constitució
イヌ	gos
苦しみ	patiment
苦しみ	sofriment
苦しみ	patint
キノコ	xampinyons
キノコ	bolets
キノコ	bolet
厚い	gruix
厚い	gruixut
ヤンキー	yankee
ボア	boa
麻痺	paràlisi
オリンピア	olympia
クラウス	kraus
クラウス	klaus
義経	yoshitsune
証人	testimonis
証人	testimoni
石碑	estela
賞賛	admirar
賞賛	admiració
賞賛	elogi
賞賛	elogis
シリアル	serial
シリアル	cereals
シリアル	cereals
シリアル	cereal
子育て	educar
ウィンドウ	finestra
聴く	escolta
聴く	escolteu
バーバラ	bàrbara
バーバラ	barbara
遊ぶ	reprodueix
決済	pagaments
決済	assentament
決済	pagament
サニー	assolellat
嫉妬	gelós
嫉妬	gelosia
なつみ	natsumi
ディスコ	discoteca
ディスコ	disco
相川	aikawa
ブタ	porcí
ブタ	porcs
ブタ	porc
ノーマン	norman
尾翼	cua
退却	retirada
大場	oba
悪意	maliciós
悪意	maliciosa
悪意	malícia
オタク	geek
オタク	nerd
屋台	yatai
伝導	conductivitat
受け取る	rebre
アーロン	aaron
アンチ	anti
ベストセラー	bestseller
タックル	placar
ステンレス	inoxidable
壁画	murals
壁画	mural
エンブレム	emblemes
エンブレム	emblema
素敵	lovely
素敵	bonic
素敵	niça
思想家	pensadors
ピクセル	píxel
ピクセル	píxels
コントローラ	interventors
コントローラ	controlador
たまに	ocasionalment
外科医	cirurgià
伝送	transmissió
木戸	kido
トロイ	troy
トロイ	troia
気体	gas
気体	gasos
処罰	sancionar
処罰	càstig
ロータス	lotus
血統	nissaga
不完全	imperfecte
不完全	imperfectes
ウィキ	wiki
リスボン	lisboa
