το	на
από	от
με	със
που	което
που	която
για	за
κατηγορία	категория
τους	ги
τους	тях
ήταν	бе
ένα	една
ένα	един
ένα	едно
ότι	че
μια	една
μια	един
μια	едно
θα	уил
αλλά	но
μετά	тогава
μετά	след
επίσης	също
όπως	като
όπως	like
ενώ	докато
δύο	двама
δύο	две
αυτό	това
αυτό	че
αυτή	тя
όπου	къде
όταν	когато
όταν	кога
μέχρι	докато
μία	една
μία	един
μία	едно
μπορεί	могат
μπορεί	can
ομάδα	отряд
ομάδα	взвод
ομάδα	група
ομάδα	групово
ομάδα	групиране
ομάδα	групова
ομάδα	тийм
ομάδα	отбор
ομάδα	отбора
ομάδα	екип
ομάδα	team
θέση	позиция
θέση	положение
θέση	длъжност
μεταξύ	между
χρόνια	хроничен
χρόνια	хронично
χρόνια	хронични
χρόνια	хронична
χρόνια	години
χρόνια	годините
πρώτη	първи
πρώτη	първо
πιο	повече
πιο	още
ένας	една
ένας	един
ένας	едно
πόλη	град
πόλη	градът
πόλη	градче
πόλη	град
πόλη	градът
πόλη	сити
πόλη	city
σύνδεσμοι	връзки
μόνο	само
μόνο	единствено
έγινε	готово
έγινε	направено
έγινε	сторено
πολύ	много
κάθε	всяка
κάθε	всеки
κάθε	всяко
κάθε	всяка
κάθε	всеки
περιοχή	район
περιοχή	регион
περιοχή	област
περιοχή	зона
περιοχή	площ
περιοχή	област
περιοχή	район
αιώνα	век
αιώνα	вековен
αιώνα	века
αθήνα	атина
περίοδο	период
τότε	тогава
όνομα	името
όνομα	наименование
όνομα	име
ελλάδα	гърция
μέρος	част
μέρος	място
σήμερα	днеска
σήμερα	днес
μέσα	вътрешно
μέσα	вътре
πως	как
μαζί	заедно
διάρκεια	времетраене
διάρκεια	продължителност
ιστορία	приказка
ιστορία	история
ιστορία	историята
ιστορία	история
πρωτάθλημα	лигата
πρωτάθλημα	лига
πρωτάθλημα	първенство
πρωτάθλημα	шампионат
νέα	ню
νέα	ново
νέα	нов
νέα	нови
νέα	нова
νέα	новини
νέα	новина
νέα	новините
περίπου	относно
περίπου	приблизително
αυτά	тези
πριν	преди
χωρίς	без
εθνική	национална
εθνική	национални
εθνική	национален
εθνική	национално
συζήτηση	разговор
συζήτηση	разговори
συζήτηση	беседа
συζήτηση	дискусия
συζήτηση	обсъждания
συζήτηση	дискусии
συζήτηση	обсъждане
συζήτηση	разискване
συζήτηση	разисквания
συζήτηση	дебат
συζήτηση	дебати
αρχείο	архив
αρχείο	архиви
αρχείο	файл
αρχείο	файлът
αρχείο	досие
φορά	времето
φορά	време
πάνω	горе
έλληνες	гърци
έλληνες	гърците
ομάδες	групи
ομάδες	отбори
ομάδες	екипи
πρώτο	първи
πρώτο	първо
έργο	проект
έργο	проектът
έργο	проекта
έργο	работа
έργο	труд
έργο	работи
κυρίως	основно
κυρίως	предимно
κυρίως	главно
κυρίως	предимно
κυρίως	главно
όχι	не
ελληνική	гръцки
ελληνική	гръцко
ελληνική	грък
ελληνική	гръцка
μεγάλη	биг
μεγάλη	голямо
μεγάλη	големи
μεγάλη	голям
μεγάλη	голяма
υπό	под
έως	докато
ποδοσφαιριστές	футболисти
ποδοσφαιριστές	футболистите
ταινία	филмова
