kate	kate
mcdonald	mcdonald
nato	nato
genève	geneva
jorge	jorge
befolkade	populata
befolkade	populate
befolkade	populat
chase	urmarire
chase	chase
soldat	soldat
snäckor	melci
snäckor	gasteropode
snäckor	scoici
snäckor	coji
walk	plimbare
walk	walk
inledande	introductive
inledande	introductiv
inledande	initiala
inledande	initiala
inledande	initiale
inledande	initiala
inledande	initial
inledande	initierea
inledande	initiere
fusca	fusca
svarar	raspund
svarar	raspunzand
svarar	raspunsuri
svarar	raspunsurile
utomhus	afara
utomhus	afara
förkortat	scurtat
förkortat	abreviat
förkortat	scurtatura
förkortat	scurtatura
sänds	expediat
sänds	expediate
mal	molie
mal	mal
americana	americana
secret	secreta
secret	secret
secret	secreta
secret	secrete
secret	secretul
kaj	kaj
karlskoga	karlskoga
svårigheter	dificultate
svårigheter	dificultati
svårigheter	dificultatea
svårigheter	dificultatile
svårigheter	dificultati
seco	seco
mirabilis	mirabilis
vicente	vicente
borealis	borealis
ledaren	lider
ledaren	conducator
ledaren	leader
ledaren	liderul
bakre	spate
reed	trestie
reed	reed
partner	partenere
partner	partenera
partner	partenerul
partner	partener
partner	parteneri
partner	partenerii
fina	fina
fina	nice
fina	frumos
alkohol	alcool
alkohol	alcoolul
wan	wan
nicosia	nicosia
kartan	harta
kartan	harta
ingemar	ingemar
diana	diana
tenor	tenor
okända	necunoscut
okända	necunoscute
okända	necunoscuta
utförs	efectuat
annie	annie
trumpet	trompeta
trumpet	trompeta
evenemang	evenimentele
evenemang	evenimente
evenemang	eveniment
evenemang	evenimentul
flytt	evadat
flytt	mutarea
ingeborg	ingeborg
flava	flava
skandinaviska	scandinave
malcolm	malcolm
malcolm	malcom
heinz	heinz
barnes	barnes
påverkas	afectate
påverkas	afectat
påverkas	afectata
påverkas	afectata
pusilla	pusilla
lina	lina
helgon	sfinti
helgon	sfinti
helgon	sfintii
helgon	sfant
helgon	sfantul
helgon	sfantul
helgon	saint
hieracium	hieracium
acuminata	acuminata
sats	lot
sats	lotul
sats	teorema
glenn	glenn
timme	orar
timme	ora
timme	ora
grotta	pestera
grotta	pestera
grotta	pestera
grotta	pestera
birmingham	birmingham
todd	todd
härrör	derivat
härrör	derivate
varberg	varberg
motsvarighet	omologul
jacobus	jacobus
paradise	paradisul
paradise	paradis
paradise	paradise
sena	tarziu
sena	intarziat
sena	tarziu
någonstans	undeva
akter	fisiere
akter	fisiere
akter	dosare
akter	acte
negativ	negativa
negativ	negative
negativ	negativ
negativ	negative
elin	elin
canterbury	canterbury
ove	ove
typisk	tipic
typisk	tipice
child	copile
child	copila
child	copil
child	copila
sicilien	sicilia
liggande	minciuna
liggande	peisaj
liggande	peisajului
liggande	peisajul
lópez	lópez
lópez	lopez
överlevde	supravietuit
överlevde	supravietuit
republikanska	republicani
republikanska	republican
republikanska	republicane
republikanska	republicana
ssr	ssr
jarl	jarl
enheten	dispozitivul
enheten	dispozitiv
enheten	unitate
enheten	unitatea
edinburgh	edinburgh
pilot	pilot
singer	cantareata
singer	singer
singer	cantaret
xanthorhoe	xanthorhoe
angrepp	atacuri
angrepp	atacurile
angrepp	infestare
angrepp	atac
angrepp	atac
angrepp	asalt
summering	sumar
summering	rezumatul
summering	rezumat
strindberg	strindberg
filosofiska	filozofice
iihf	iihf
stammar	tulpini
stammar	balbait
stammar	triburile
stammar	triburi
ein	ein
kategorierna	categorii
kategorierna	categoriile
ersättare	inlocuitori
ersättare	inlocuirea
ersättare	inlocuitor
ersättare	inlocuire
wikidata	wikidata
helige	sfant
helige	sfanta
helige	sfinte
chan	chan
undrar	minunea
undrar	mirare
undrar	minune
undrar	wonder
omröstning	vot
omröstning	votez
omröstning	voteaza
omröstning	votati
omröstning	voturile
omröstning	voturi
omröstning	votez
omröstning	votare
omröstning	votul
omröstning	votarea
omröstning	sondajul
omröstning	sondaj
ägna	dedica
ägna	dedica
ägna	dedic
cleveland	cleveland
familjebok	familjebok
taube	taube
fin	fin
idrottare	sportiv
idrottare	atlet
idrottare	sportivii
idrottare	sportivi
gravar	morminte
gravar	mormintele
gravar	graves
gravar	morminte
frivilliga	voluntari
frivilliga	voluntarii
frivilliga	voluntariat
