پلاتین	platiny
پشتیبان	support
پشتیبان	podporu
پشتیبان	podporiť
پشتیبان	podpora
پشتیبان	podporovať
پشتیبان	posily
پشتیبان	zálohy
پشتیبان	záloha
پشتیبان	zálohu
اسکندریه	alexandrii
مرکوری	ortuť
مرکوری	ortuti
پخت	varí
پخت	varenie
موری	maury
موری	murray
تضعیف	tlmenie
تضعیف	útlm
تضعیف	oslabenie
خزانه	pokladnice
خزانه	pokladnica
شهروندی	občianstva
شهروندی	občianstvo
شهروندی	občan
شهروندی	občana
فین	finn
زانو	koleno
زانو	kolena
زانو	kolien
زانو	kolená
آرنا	arena
آرنا	aréne
فلش	blesk
فلش	flash
فلش	záblesk
ناتمام	nedokončené
ناتمام	neúplná
ناتمام	nedokončené
ناتمام	neúplné
ناتمام	neúplný
ورنر	werner
تنبیه	potrestať
تنبیه	potrestaný
تنبیه	potrestaná
تنبیه	potrestaní
تنبیه	trest
تنبیه	potrestanie
تنبیه	trestom
اشتباهات	chyby
اشتباهات	chýb
ویدئوی	video
ویدئوی	videa
مناره	minaret
تقلب	podvádzať
تقلب	podvádza
تقلب	podvod
تقلب	podvodom
تقلب	podvody
نشینی	ústup
نشینی	ustúpiť
موزامبیک	mozambiku
ایرویز	airways
حقایق	skutočnosti
حقایق	fakty
حقایق	faktov
رواندا	rwande
مونترآل	montréal
تامسون	thompson
تامسون	thomson
انتقادات	kritiku
پاور	moc
پاور	napájanie
پاور	výkon
پاور	power
پاور	poháňané
جنجال	spor
تبت	tibetských
تبت	tibetu
تبت	tibete
تبت	tibet
پوش	puzdro
میتسوبیشی	mitsubishi
نورد	preprava
نورد	koč
نورد	prepravu
نورد	nord
اهلی	domestikované
اهلی	ahli
اهلی	domáci
اهلی	vnútroštátna
اهلی	domáca
اهلی	domáce
خاکستر	popol
خاکستر	ash
میانجی	sprostredkovateľa
میانجی	sprostredkovateľ
میانجی	mediácie
میانجی	sprostredkovanie
میانجی	priebežné
میانجی	mediátorov
استریت	ulici
استریت	ulicu
استریت	street
استریت	ulica
گوجه	paradajky
زرهی	panzer
زرهی	obrnené
قندهار	kandahár
خروس	vtáka
خروس	kohút
خروس	kokot
خروس	kohút
کاریکاتور	karikatúru
اطاعت	poslúchať
نمادین	symbolický
نمادین	symbolické
آگهی	inzerát
آگهی	reklama
آگهی	reklamný
آگهی	reklamné
آگهی	reklamy
آگهی	reklama
واکسن	vakcín
واکسن	vakcíny
واکسن	vakcínu
واکسن	vakcína
منفرد	manfred
نیجر	niger
تامی	tommyho
تامی	tommy
وارن	warren
سیلندر	valec
سیلندر	valca
رستاخیز	doomsday
