در	drzwi
رده	zajęcia
رده	klasy
رده	klasa
از	from
از	od
که	kto
که	kogo
که	who
که	że
این	tym
را	make
میلادی	dekady
میلادی	dekadę
یک	jeden
یک	jedna
سال	lat
سال	lata
سال	sala
سال	sal
سال	roku
سال	rok
آن	anne
آن	anna
آن	ania
ایران	iranie
ایران	iranu
ایران	irański
ایران	iran
برای	na
برای	dla
برای	za
اهل	ahl
شهرستان	hrabstwo
شهرستان	okręg
شهرستان	hrabstwa
شهرستان	powiat
آمریکا	ameryka
آمریکا	america
فهرست	katalog
فهرست	katalogu
فهرست	listy
فهرست	wykaz
فهرست	lista
فهرست	spis
فهرست	listę
فهرست	katalog
فهرست	katalogu
فهرست	katalogi
بود	była
بود	był
بود	było
دارد	posiada
دارد	ma
او	ona
او	jego
او	go
او	jej
او	ją
تا	majowe
تا	maja
تا	może
تا	majowy
تا	maj
وابسته	przymiotnik
وابسته	zależny
وابسته	zależne
وابسته	powiązany
وابسته	związany
وابسته	powiązane
وابسته	związane
فوتبال	football
فوتبال	futbol
ساعت	godziny
ساعت	godzin
ساعت	godz
ساعت	godzina
ساعت	godzinę
ساعت	godziny
ساعت	zegar
پایه	podstawa
پایه	podstawie
پایه	podstawy
پایه	podstawa
پایه	fundacja
پایه	fundacji
پایه	podkład
پایه	foundation
پایه	baza
پایه	podstawa
پایه	base
پایه	bazy
پایه	fundamenty
پایه	fundacji
پایه	fundacje
پایه	podstawowe
پایه	podstawowego
پایه	podstawowy
پایه	podstawowa
نام	nazwisko
نام	imię
نام	nazwa
استان	województwo
استان	prowincji
استان	prowincja
استان	region
استان	regionie
استان	regiony
استان	regionu
شهر	town
شهر	miasta
شهر	miejscowość
شهر	miasto
شهر	city
شهر	miejscowość
شهر	miasta
شهر	miasto
ملی	krajowa
ملی	krajowe
ملی	national
ملی	narodowy
ملی	krajowy
ملی	krajowych
کشور	ojczyzna
کشور	kraje
کشور	kraju
کشور	kraj
کشور	państwo
تاریخ	termin
تاریخ	randka
تاریخ	data
تاریخ	historia
تاریخ	historii
تاریخ	historię
فیلم	filmu
فیلم	film
فیلم	filmy
فیلم	folia
فیلم	film
فیلم	filmy
بخش	wydział
بخش	departament
بخش	dział
بخش	sektor
بخش	branża
بخش	sektory
بخش	sekcję
بخش	sekcji
بخش	dział
بخش	sekcja
بخش	okręg
بخش	dzielnicy
بخش	dystrykt
بخش	dzielnica
بخش	rejon
بخش	powiat
جمعیت	tłum
جمعیت	tłumy
جمعیت	tłumy
جمعیت	tłum
جمعیت	populacja
جمعیت	populacji
جمعیت	ludność
دو	dwie
دو	dwóch
دو	dwa
اثر	efekt
اثر	skutek
پس	wtedy
یکی	ktoś
یکی	jeden
یکی	jedna
بازیکنان	zawodnicy
بازیکنان	graczy
بازیکنان	gracze
آثار	artefakty
آثار	efekty
آثار	skutki
وی	wei
وی	wii
روستاهای	wioski
دیگر	more
دیگر	bardziej
دیگر	więcej
دیگر	innych
دیگر	inne
دیگر	pozostałe
دیگر	inny
دیگر	kolejny
دیگر	inny
دیگر	kolejna
دیگر	inne
دیگر	pozostałe
دیگر	inni
می	majowe
می	maja
می	może
می	majowy
می	maj
می	mei
عنوان	podpis
عنوان	opis
پیوند	łącze
پیوند	link
پیوند	ogniwo
پیوند	odnośnik
پیوند	połączone
پیوند	powiązane
پیوند	obligacji
پیوند	więź
پیوند	wiązanie
پیوند	bond
پیش	zanim
پیش	przed
پیش	wcześniej
بحث	kłótnie
بحث	kłótnia
بحث	kłótni
بحث	dyskusja
بحث	omówienie
بحث	dyskusji
بحث	dyskusje
بحث	dyskusję
بیرون	out
افراد	ludzi
افراد	osoby
افراد	people
افراد	ludzie
دوره	kurs
دوره	epoka
دوره	epoki
دوره	era
دوره	okres
دهه	dekady
دهه	dziesięciolecia
دهه	dekad
دهه	dekady
دهه	dekadę
متر	metry
متر	metrów
متر	liczniki
متر	metr
متر	metry
متر	metrach
متر	metrów
متر	metr
متر	metrów
متر	licznik
متر	miernik
کاربر	użytkownika
کاربر	użytkownik
مناطق	dzielnice
مناطق	okręgi
مناطق	okręgów
مناطق	tereny
مناطق	obszary
مناطق	obszarach
مناطق	powierzchnie
هر	każda
هر	każdy
هر	jakikolwiek
هر	dowolny
هر	jakiekolwiek
باشگاه	club
باشگاه	klub
باشگاه	klubie
باشگاه	siłowni
باشگاه	gym
باشگاه	siłownia
باشگاه	fenerbahçe
شهرهای	gmin
شهرهای	gminy
دانشگاه	uniwersytety
دانشگاه	uniwersytetu
دانشگاه	university
دانشگاه	uczelnia
دانشگاه	uniwersytet
دانشگاه	studia
دانشگاه	uczelnia
دانشگاه	college
دانشگاه	kolegium
مورد	case
مورد	sprawa
مورد	przypadek
سده	wieku
سده	wiek
ثبت	rejestrowanie
ثبت	wyrębu
ثبت	logowanie
ثبت	dziennik
ثبت	log
وجود	istnienia
وجود	występowanie
وجود	istnienie
زبان	języki
زبان	języków
زبان	język
زبان	język
زبان	języku
زادگان	potomka
زادگان	potomek
مسکونی	mieszkaniowe
مسکونی	mieszkalnych
شماره	numer
شماره	liczba
کار	zlecenie
کار	pracy
کار	praca
کار	pracuj
کار	prace
کار	pracy
کار	praca
کار	roboty
کار	pracujący
کار	pracujemy
اما	ale
بازیگران	aktorów
بازیگران	aktorzy
روی	roy
روی	roya
روی	cynku
روی	cynk
فرودگاه	lotnisko
صورت	twarz
صورت	face
مرکز	centralnego
مرکز	central
مرکز	centralny
مرکز	środkowa
مرکز	centralne
مرکز	centralna
مرکز	środek
مرکز	centrum
مرکز	center
مرکز	ośrodek
مرکز	centrum
مرکز	ośrodek
مرکز	centre
زمان	zaman
زمان	czasu
زمان	czas
شرکت	korporacje
شرکت	korporacja
شرکت	firmowe
شرکت	towarzystwo
شرکت	kompania
شرکت	firma
شرکت	firmy
شرکت	spółka
شرکت	przedsiębiorstwo
شرکت	uczestniczyć
مقاله	esej
مقاله	wypracowanie
مقاله	artykułu
مقاله	artykul
مقاله	artykuł
مقاله	wyroby
مقاله	artykułów
مقاله	artykuły
تیم	tim
تیم	tima
تیم	ekipa
تیم	team
تیم	drużyny
تیم	drużyna
تیم	zespół
مرد	mężczyzna
مرد	człowiek
مرد	man
انگلیسی	angielski
انگلیسی	anglik
نظر	komentarz
نظر	komentować
نظر	opinia
جهانی	international
جهانی	międzynarodowe
جهانی	międzynarodowy
جهانی	międzynarodowych
جهانی	międzynarodowa
جهانی	uniwersalne
جهانی	universal
جهانی	uniwersalny
جهانی	powszechnej
جهانی	powszechne
جهانی	globalny
جهانی	global
جهانی	globalna
جهانی	globalnego
جهانی	globalne
جهانی	świat
جهانی	swiat
جهانی	świata
جهانی	świecie
جهانی	world
