年	рік
月	місяця
月	місяць
月	мун
月	місячні
月	супутник
月	місяці
月	місяцями
月	місяців
月	місяця
月	місяць
日	день
日	дню
日	дня
和	та
村	село
人	людина
人	чоловік
人	мужчина
人	man
人	народ
人	людей
人	люди
小行星	астероїди
小行星	астероїд
小行星	астероїди
大	великі
大	велике
大	велика
大	великий
大	біг
德	tak
重	heavy
重	важкий
重	сильний
重	єгора
一	одна
一	one
一	одне
一	один
定向	орієнтація
定向	орієнтацію
但	але
也	також
拉	возили
拉	виразно
後	після
留言	повідомлення
市	місто
市	муніципалітет
市	край
克	грамів
新	нові
新	нове
新	нова
新	новий
新	створити
站	станція
站	станції
站	вокзал
站	стоїмо
站	стенд
站	stand
州	стан
州	держава
研究	вивчення
研究	навчання
研究	студій
研究	вивчає
研究	дослідження
研究	дослідження
研究	research
日本	японія
日本	японію
日本	японії
三	три
三	втрьох
三	трійка
前	перед
前	before
家	дім
家	домівка
家	домашній
家	додому
近	поблизу
近	поруч
近	поряд
近	близько
近	біля
米	рис
米	рису
米	метрів
米	метри
多	більше
使用	користування
使用	використання
使用	користування
使用	використання
使用	використати
使用	використовувати
使用	користування
使用	використання
使用	використовується
使用	використана
使用	використані
使用	використано
基	kei
王	кінг
王	король
王	цар
王	ван
林	лінь
公司	корпоративні
公司	відділу
公司	компанія
公司	компанії
公司	компаній
公司	компаніями
李	лі
一個	одна
一個	one
一個	одне
一個	один
西	захід
西	вест
省	провінція
省	губернія
省	воєводство
度	градуси
度	градусів
度	градус
度	ступінь
卡	карт
卡	карти
卡	карток
卡	картки
卡	картка
卡	картку
二	два
二	дві
二	двоє
二	двох
二	двійка
小	малий
小	малі
小	маленькі
小	маленька
小	маленький
小	маленькі
小	маленькі
相似	схожі
相似	подібні
相似	подібна
相似	подібний
相似	подібність
區	зона
區	улус
區	округ
區	нохія
區	район
區	область
區	ділянка
區	площа
區	місцевість
人口	населення
人口	демографічні
人口	населення
四	четвірка
四	чотирьох
四	чотири
政府	уряди
政府	правління
政府	уряд
道	dao
將	воля
將	буде
將	будуть
高	високий
高	висока
高	значне
高	високе
高	високі
高	високий
高	гао
美國	америка
集	комплект
集	встановити
集	набір
集	встановлено
集	множина
集	епізод
台灣	тайвань
布	тканина
世界	світовий
世界	світ
世界	світе
世界	world
南	нан
南	nan
南	південна
南	південь
南	південний
南	нам
南	nam
路	дорожні
路	дорога
本	бене
本	бен
本	ben
金	цзінь
金	золота
金	gold
金	золоті
金	золото
金	kim
金	кім
曾	цзен
文	вен
林肯	лінкольн
人民	народ
人民	людей
人民	люди
包括	включено
包括	включені
包括	включення
包括	включити
包括	включати
包括	включаючи
包括	включно
包括	зокрема
包括	включення
包括	входить
包括	включає
峰	пік
峰	вершин
峰	вершини
位於	розташовані
位於	знаходиться
位於	розташовано
位於	розташований
其他	інший
其他	інша
其他	інші
其他	інше
其他	інших
其他	інших
其他	інші
其他	іншими
塔	вежа
塔	tower
塔	башта
縣	графство
縣	повіт
縣	жупанія
縣	кантон
第一	перше
第一	перша
第一	перший
任	жень
時間	тайм
時間	час
比	пропорції
比	коефіцієнт
比	співвідношення
元	мета
元	юань
元	долар
元	переміг
元	виграв
元	вон
元	виграли
中國	china
中國	китаї
中國	китаю
中國	китай
六	шість
六	шестеро
主要	мажор
主要	майор
主要	головний
主要	основне
主要	головна
主要	головні
主要	головне
城	місто
城	замок
法	метод
中心	центрів
中心	центрами
中心	центр
中心	центр
線	лінія
線	рядок
線	рядка
線	пряма
線	лінії
線	рядками
線	рядків
線	лініями
線	рядки
線	нитки
線	гілка
第二	другий
第二	друге
第二	друга
第二	секунда
山	гірський
山	гора
山	гірська
山	гора
山	маунт
山	монтувати
山	монтування
山	пагорб
山	хілл
山	hill
山	гілл
山	гори
加	додавання
加	додавати
加	додати
加	плюс
加	plus
太空	простору
太空	пробіл
太空	простір
自己	себе
自己	собі
自己	собою
自己	виступили
張	чан
張	чжан
內	внутрішнє
內	внутрішній
內	площина
主	господь
主	господа
主	володар
主	лорд
雷	рей
雷	ray
管理	управління
管理	менеджмент
管理	керівництво
管理	керування
管理	керування
管理	керувати
管理	керування
成為	стануть
成為	стати
成為	стають
建	зібрати
建	збирання
建	побудувати
建	будувати
建	побудовано
建	побудували
建	зібрано
性	сексуальність
性	сексуальний
性	сексуальної
性	статевий
性	сексуальне
性	стать
性	секс
性	sex
成	сон
成	авторська
代表	представники
代表	представників
代表	представник
代表	представника
代表	делегат
代表	уповноваженого
那	потім
那	тоді
公里	кілометри
公里	кілометр
公里	кілометри
海	море
海	океан
這	цей
這	ця
大學	університети
大學	університет
大學	коледж
大學	коледжі
大學	внз
版	редакція
版	видання
版	версія
從	від
羅	ло
原	оригінал
原	оригінальна
原	оригінальне
原	початкове
原	оригінальний
原	хара
工作	завдання
工作	робота
工作	роботи
工作	робота
工作	працюю
工作	працюють
工作	роботу
工作	робочий
工作	завдання
工作	задачі
工作	джобс
工作	робота
工作	робочий
北	кіта
北	північна
北	норт
北	північний
北	північ
政治	політика
政治	політичний
政治	політичне
政治	політична
政治	політичні
星	зоря
星	зірочки
星	зоряні
星	зірка
星	зірки
她	вона
她	she
陳	чен
陳	чень
陳	чан
他的	його
面	локшина
作品	працює
河	річка
河	ріка
文化	культура
文化	культур
條目	записів
條目	пункти
條目	записи
條目	елементи
馬	коней
馬	коні
馬	кінь
氏	клан
氏	рід
更	більше
曼	mann
電影	фільм
電影	кіно
電影	кінематограф
電影	cinema
電影	кіно
