ontvoer	nolaupīti
beampte	amatpersona
beampte	virsnieks
beampte	virsnieka
sparta	sparta
konsentrasies	koncentrācijas
konsentrasies	koncentrācija
schmidt	schmidt
erectus	erectus
kapitalisme	kapitālisms
slawiërs	slāvi
speaker	runātājs
speaker	runātāja
kubrick	kubriks
yslands	islandiešu
yslands	īslandiešu
yslands	islandes
jeff	džefs
voorvoegsel	prefikss
osiris	ozīriss
onvoltooide	nepabeigti
pot	katlā
luigi	luidži
philips	philips
walvis	vaļu
namibia	namībijas
behulpsaam	noderīga
behulpsaam	noderīgi
sleutels	taustiņi
sleutels	atslēgas
rebels	nemierniekiem
zanzibar	zanzibāras
kirchner	kirhners
julia	džūlija
hardeware	aparatūras
hardeware	aparatūra
anas	anas
imperial	imperial
uitdaging	challenge
uitdaging	izaicinājums
emmanuel	emanuels
gelykheid	līdztiesība
gelykheid	vienlīdzība
balkan	balkānu
jeffrey	džefrijs
modernisme	modernisms
parade	parādi
parade	parāde
bain	bain
detroit	detroitas
hun	hun
algoritme	algoritms
algoritme	algoritmu
palm	palmu
palm	plaukstas
palm	plaukstu
palm	palmas
bosbou	mežsaimniecība
bosbou	mežsaimniecības
uitgeput	beigušies
uitgeput	izsmeltas
realistiese	reāli
realistiese	reālistisks
realistiese	reāls
realistiese	reālistiska
realistiese	reālistiski
ajax	ajax
foster	veicinātu
pype	caurules
pype	cauruļvadi
pype	uguņošanas
linden	liepu
oksitaans	oksitāņu
urban	urban
urban	pilsētu
urban	pilsētas
ontspanning	atpūta
ontspanning	atpūtā
ontspanning	atpūta
promosie	promo
promosie	veicināšana
promosie	popularizēšana
promosie	veicināšanas
robin	robins
simba	simba
fortuin	likteņi
fortuin	bagātību
fortuin	laimes
monopolie	monopols
monopolie	monopola
diamond	dimanta
diamond	dimants
diamond	dimantu
etiese	ētikas
etiese	ētiski
oudio	audio
lama	lama
mig	mib
vergroting	aug
vergroting	audzēšanas
vergroting	audzēšana
geraas	troksnis
geraas	trokšņi
geraas	troksni
romp	rumpja
neurenberg	nirnbergas
tekening	zīmējums
tekening	zīmēšanas
tekening	rasējums
lawa	lava
ritme	pārspēt
kas	gadījums
kas	lieta
kas	keša
uss	uss
gewas	cistu
aria	ārija
orléans	orleānas
deelnemer	dalībnieks
paneel	panelis
paneel	žūrija
paneel	paneļa
formate	formāti
griep	gripa
griep	gripai
marmer	marmora
viëtnamese	vjetnamas
beethoven	bēthovens
komende	gaidāmā
komende	drīzumā
komende	gaidāmo
subordo	subordo
sterna	zīriņi
dapperheid	drosme
bord	valdi
haute	haute
bai	bai
versterkte	nostiprināts
versterkte	nostiprināta
versterkte	pastiprināta
michelangelo	mikelandželo
titus	tits
plig	pienākums
plig	maksājums
plig	maksājuma
plig	nodoklis
filippynse	filipīnu
filippynse	filipīnu
lettergreep	zilbe
iberiese	ibērijas
hiërargie	hierarhija
hiërargie	hierarhijas
unix	unix
lowry	laurijs
burg	burg
patriot	patriots
eksentrisiteit	ekscentricitāti
haïti	haiti
wedersydse	abpusēja
