den	на
med	med
med	медицинско
med	со
som	како
som	like
som	кои
som	која
som	кое
runt	околу
runt	наоколу
runt	округла
runt	круг
runt	рунда
månaden	месечни
månaden	месечно
månaden	месечен
månaden	месецот
månaden	месец
månaden	месечно
månaden	месечен
nederbörd	врнежи
nederbörd	врнежи
ligger	лежи
ligger	лаги
ligger	лагите
ligger	лаже
ligger	лоциран
ligger	лоцирана
ligger	лоцирано
ligger	сместена
ingår	вклучени
ingår	вклучено
ingår	вклучува
att	тоа
att	дека
ett	една
ett	едната
ett	еден
ett	едно
över	над
familjen	семејство
familjen	фамилијарно
familjen	фамилијарна
familjen	фамилија
för	за
inga	ниеден
inga	никој
inga	ниедна
inga	инге
delen	дел
släktet	родот
underarter	подвид
life	живот
life	life
life	животот
listade	наведен
listade	наведени
listade	заведен
listade	наведена
landet	земја
landet	држава
landet	кантри
meter	метар
meter	метри
meter	метри
meter	мерач
meter	метар
meter	дворови
huvudstaden	капитол
huvudstaden	престолнина
huvudstaden	капитал
havet	море
havet	оушн
havet	океан
kallaste	најстудените
invånare	жители
invånare	жителите
invånare	жители
invånare	граѓани
invånare	граѓаните
januari	јануари
millimeter	милиметри
millimeter	милиметарски
millimeter	милиметри
genomsnitt	просечен
genomsnitt	просечни
genomsnitt	просечно
genomsnitt	просек
genomsnitt	просечна
genomsnittlig	просечен
genomsnittlig	просечни
genomsnittlig	просечно
genomsnittlig	просек
genomsnittlig	просечна
torraste	најсувиот
var	var
var	била
var	беше
var	беа
var	биле
var	каде
juli	јули
juli	juli
han	хан
har	има
per	пер
per	per
vattendrag	реки
vattendrag	риверс
vattendrag	реките
från	oд
från	од
kanada	канада
provinsen	покраина
provinsen	провинција
provinsen	покраината
närheten	блискост
närheten	близината
men	но
men	ама
högsta	врховната
högsta	врховниот
högsta	врховен
högsta	максимална
högsta	максимално
högsta	максимален
högsta	максимум
högsta	највисоко
högsta	највисока
högsta	највисок
augusti	август
augusti	аугуст
kan	може
kan	може
kan	можи
kan	можат
länkar	врските
länkar	линковите
länkar	врски
länkar	линкови
externa	надворешен
externa	надворешно
externa	надворешни
externa	надворешна
läge	локација
läge	режим
även	дури
februari	фебруари
februari	февруари
under	под
lake	езерото
lake	езеро
sjö	езерото
sjö	езеро
sjö	море
inte	не
sig	sig
kommun	општина
två	два
två	двајца
två	две
lac	lac
terrängen	терен
terrängen	терени
long	лонг
long	долги
long	долго
long	долга
juni	јуни
juni	џун
lat	мрзелив
lat	мрзлив
lat	мрзливи
december	декември
växer	расте
växer	растат
växer	растечки
växer	расте
växer	растат
växer	расне
växer	расте
många	многумина
efter	откако
efter	по
efter	после
nära	блиску
nära	затвори
nära	близу
nära	блиску
väster	запад
väster	западно
väster	вест
provins	покраина
provins	провинција
provins	покраината
öster	исток
först	прв
först	први
först	прво
först	прва
berg	планинска
berg	планински
berg	планина
berg	берг
berg	планини
indonesien	индонезиски
indonesien	индонезија
usa	уса
usa	usa
usa	сад
mars	марш
mars	март
mars	марс
mindre	помало
mindre	помал
mindre	помала
mindre	помало
mindre	помал
mindre	помали
mindre	малолетник
mindre	помали
mindre	помалку
mindre	помалце
norr	северно
norr	север
norr	северот
oktober	октомври
man	маж
man	чоек
man	човек
man	мен
man	човекот
september	септември
större	мајорот
större	мајор
större	поголеми
större	поголемо
större	поголем
större	поголема
större	поголемо
större	поголем
större	поголеми
större	поголема
större	поголемо
större	поголем
centrala	централно
centrala	централен
centrala	централа
centrala	централна
nordväst	северозападна
nordväst	северозападно
nordväst	северозапад
blev	станав
blev	станаа
blev	постана
blev	стана
blev	станала
andra	второ
andra	втор
andra	втори
andra	втората
andra	втора
andra	macedonian
andra	други
andra	друѓи
andra	други
hade	имаа
hade	имаше
där	таму
där	каде
nordost	североисточно
nordost	северозапад
nordost	североисток
county	жупанија
county	округот
county	округ
nog	доста
nog	доволна
nog	доволно
huvudsakligen	воглавно
huvudsakligen	главно
huvudsakligen	примарно
huvudsakligen	првенствено
ovanligt	невообичаени
ovanligt	необично
ovanligt	необични
ovanligt	невообичаено
ovanligt	необична
ovanligt	необичен
ovanligt	несекојдневно
namngivna	именуван
namngivna	именувана
namngivna	именувани
söder	југ
söder	јужно
söder	јужна
mycket	многу
mycket	многу
jpg	jpg
regionen	регион
ottawa	отава
creek	крик
närmaste	најблиску
närmaste	најблискиот
närmaste	најблиска
närmaste	најблизу
närmaste	најблиска
närmaste	најблиску
närmaste	најблиските
närmaste	најблиски
november	ноември
maj	мајски
maj	мај
maj	maj
cest	cest
platt	плат
platt	рамен
platt	рамно
platt	дур
platt	рамни
platt	рамна
född	родено
född	роди
född	роден
född	родени
född	раѓа
finland	финска
samhälle	општество
samhälle	заедница
hon	таа
hon	она
består	составено
består	составен
består	составена
består	составени
platser	места
platser	седишта
platser	локации
platser	места
platser	сајтови
platser	локалитети
första	прв
första	први
första	прво
första	прва
fick	имам
fick	примен
fick	добиени
fick	доби
fick	примена
fick	примиле
sydväst	југозападна
sydväst	југозапад
sydväst	југозападно
området	област
området	подрачје
australien	австралија
sydöstra	југоисточен
sydöstra	југоисточно
sydöstra	југоисток
sydöstra	југоисточна
sydöstra	југоисточен
sydöstra	југоисточно
sydöstra	југоисточна
april	април
bar	бар
bar	bar
sydost	југоисточен
sydost	југоисточно
sydost	југоисток
sydost	југоисточна
hans	ханс
hans	негова
hans	негово
hans	неговите
hans	неговиот
hans	неговата
hans	негов
södra	јужен
södra	јужна
södra	јужни
södra	југ
södra	јужно
södra	јужна
toppen	одлична
toppen	одлично
toppen	супер
toppen	top
toppen	топ
toppen	врвот
sverige	шведска
sedan	потоа
sedan	тогаш
östra	исток
östra	источна
östra	источни
östra	источно
östra	источен
genom	низ
genom	преку
sitt	седи
kilometer	километар
norra	северно
norra	север
norra	северот
norra	северен
norra	северна
också	премногу
talet	говорот
talet	говор
detta	ова
detta	оваа
detta	овој
mot	кон
mot	против
västra	запад
västra	западно
västra	вест
västra	вестерн
västra	западни
västra	западна
del	дел
del	дел
del	del
riktning	правец
riktning	насока
namn	име
namn	имиња
bland	меѓу
bland	меѓу
vilket	кои
vilket	која
vilket	кое
svenska	шведскиот
svenska	шведска
svenska	шведски
svenska	svenska
mellan	помеѓу
mellan	помегу
mellan	измеѓу
mellan	меѓу
svensk	шведскиот
svensk	шведска
svensk	шведски
svensk	швеѓанец
när	кога
cerro	керо
frankrike	франс
frankrike	франција
död	смрт
död	смртта
död	мртво
död	мртов
död	мртви
död	мртва
kulle	брдо
kulle	ридот
kulle	hill
kulle	хил
kulle	рид
kina	кина
kommunen	општина
klimatet	клима
est	est
text	текст
lista	листа
lista	список
annat	macedonian
annat	други
edt	edt
största	најголемо
största	најголем
största	најголема
största	најголемо
största	најголема
största	најголема
största	најголемо
skulle	ќе
departementet	оддел
denna	ова
denna	оваа
denna	овој
from	побожни
tropiskt	тропски
tropiskt	тропска
park	парк
park	park
hill	брдо
hill	ридот
hill	hill
hill	хил
hill	рид
flera	неколку
flera	повеќекратни
flera	повеќекратна
flera	повеќекратен
periodiskt	периодична
periodiskt	периодично
nord	северно
nord	север
nord	северот
nord	норд
stockholm	стокхолм
alla	сите
alla	сите
alla	секого
samma	истите
samma	истото
