অবাধ	rebel
আকর্ষণের	príťažlivosť
মনিকা	monika
মনিকা	monika
মনিকা	monica
ঝামেলা	bordel
ঝামেলা	neporiadok
ঝামেলা	problémy
ঝামেলা	problemy
সমীর	samir
জজ	rozhodca
জজ	súdiť
জজ	sudca
জজ	posúdiť
কমান্ডো	komando
সামঞ্জস্যপূর্ণ	kompatibilné
সামঞ্জস্যপূর্ণ	zlučiteľné
সামঞ্জস্যপূর্ণ	kompatibilný
মণি	moni
ঐতিহ্যগতভাবে	tradične
মিখাইল	michail
ব্রুনাই	brunej
অনুদিত	preložené
অনুদিত	preložil
অনুদিত	preložený
দোষ	obviniť
দোষ	obviňovať
দোষ	vina
দুরে	zlaté
দুরে	zlatý
দুরে	zlatí
দুরে	zlatá
গঠনমূলক	konštruktívny
গঠনমূলক	konštruktívnu
গঠনমূলক	konštruktívne
অন্যায়	nespravodlivosti
অন্যায়	nespravodlivosť
ছদ্মনাম	pseudonym
স্টেইন	stein
স্টেইন	steyn
চিকন	tenké
চিকন	tenká
চিকন	štíhly
চিকন	tenký
রূপা	strieborný
রূপা	striebro
রূপা	strieborná
রূপা	silver
শিখা	plameňa
শিখা	plameň
সোমালি	somálska
সমর	samar
জেরি	jerryho
জেরি	jerry
সামগ্রিকভাবে	celkový
সামগ্রিকভাবে	celková
সামগ্রিকভাবে	celkovo
সামগ্রিকভাবে	celkové
সামগ্রিকভাবে	celkove
অপেক্ষায়	čakanie
অপেক্ষায়	čaká
অপেক্ষায়	čakám
অপেক্ষায়	čakať
নিবেদিত	venovaná
ইতি	už
ইতি	uz
বারি	bari
আভিধানিক	rečových
রিচার্ডসন	richardson
অমল	amal
দামী	draho
দামী	drahý
দামী	drahé
এডি	eddie
এডি	eddieho
আংশিকভাবে	čiastočne
ভুট্টা	kukurica
ভুট্টা	kukuricu
ভুট্টা	kukurica
ইয়াকুব	jacob
ইয়াকুব	jakub
কভার	kryt
কভার	cover
কভার	zakryť
কভার	krytie
কভার	pokrytie
কভার	kryty
কভার	kryje
প্রতিযোগীতা	súťaž
গর্ভবতী	tehotná
গর্ভবতী	tehotné
বারাক	barack
