न्यायाधीशों	நீதிபதிகள்
सेंसर	உணரிகள்
सेंसर	உணரி
स्टैंड	நிற்கும்
स्टैंड	நிற்க
स्टैंड	நில்
स्टैंड	நிற்கிறது
स्टैंड	குறிக்கிறது
उपनिवेशों	காலனி
बहुवचन	பன்மை
एकदिवसीय	odi
एकदिवसीय	ஒருநாள்
विनाशकारी	கொடூரமாக
मिसौरी	மிசூரி
मारी	மாரி
कार्गो	சரக்கு
दारा	டாரியஸ்
फ़्रांसीसी	பிரெஞ்சு
जादूगर	வழிகாட்டி
जादूगर	சூனியக்காரர்கள்
प्रतिमान	தோரணம்
प्रतिमान	கருத்தோட்டம்
सच्चा	மெய்
सच्चा	உண்மையாக
सच्चा	உண்மையான
सच्चा	உண்மை
वोल्ट	வோல்ட்
अमोनिया	அமோனியா
विश्लेषणात्मक	analytical
प्रतिबद्धता	அர்ப்பணிப்பு
डू	டூ
विधायिका	சட்டசபை
कॉफ़ी	காபி
कॉफ़ी	காப்பி
कॉफ़ी	காஃபி
वीणा	வீணை
उल्टा	reverse
उल्टा	தலைகீழ்
एलेन	எல்லன்
किराए	வாடகை
न्यायालयों	நீதிமன்றங்கள்
एस्टन	ஆஸ்டன்
मांसपेशी	தசை
विषाक्त	நச்சு
तूफ़ान	புயல்
तूफ़ान	புயல்கள்
तूफ़ान	சூறாவளி
तूफ़ान	புயல்
कड़ा	இறுக்கமான
कड़ा	இறுக்கமாக
कड़ा	கடினமாக
कड़ा	கடின
कड़ा	கடினமான
कड़ा	கடினம்
दुबे	துபே
पड़ाव	மைல்கல்
एंजाइम	நொதி
मूसा	மோசே
मूसा	மூஸா
मूसा	மூஸா
पिंक	இளஞ்சிவப்பு
पिंक	பிங்க்
सत्येन्द्र	சத்தியேந்திர
बैरी	பாரி
कॉमर्स	வர்த்தகம்
राजन	ராஜன்
जीप	ஜீப்
चलाना	exec
दादी	பாட்டி
दादी	பாட்டியின்
दादी	பாட்டியை
दादी	பாட்டி
कमिश्नर	கமிஷனர்
कमिश्नर	ஆணையர்
मैथ्यू	மத்தேயு
गंधक	கந்தக
गंधक	சல்பர்
षड्यंत्र	சதி
प्रशस्त	வகுத்தது
अंडमान	அந்தமான்
दूषित	சிதைந்த
पश्च	பின்புறம்
रीडर	வாசகர்
मिर्ज़ा	மிர்சா
मिर्ज़ा	மிர்சாபூர்
हीरे	வைரங்கள்
प्रशिक्षक	பயிற்சியாளர்
प्रशिक्षक	பயிற்றுவிப்பாளர்
उषा	உஷா
नास्तिक	ஆனேன்
जासूसी	சேகரித்தல்
प्रचारित	விளம்பரப்படுத்தப்பட்டது
प्रवर्धक	பெருக்கி
फसलें	பயிர்
फसलें	பயிர்கள்
डायोड	இருமுனையம்
सौभाग्य	அதிர்ஷ்டவசமாக
सौभाग्य	லாபங்கள்
सौभाग्य	அதிர்ஷ்ட
ब्रायंट	பிரையன்ட்
कुश	குஷ்
साइमन	சைமன்
कार्बोनेट	கார்பனேட்டு
हिब्रू	எபிரேய
बर्ड	பறவை
