年	aasta
月	kuu
月	moon
月	kuud
月	kuude
月	kuu
日	päev
日	päeva
和	ja
和	ning
村	küla
村	külas
人	mehel
人	mees
人	man
人	inimesed
人	rahvas
人	people
小行星	asteroidid
小行星	asteroid
大	suured
大	big
大	suure
大	suur
德	tak
重	rasked
重	raske
重	raskem
一	ühe
一	üks
定向	orientatsiooni
但	aga
但	kuid
也	samuti
也	ka
拉	tõmba
後	pärast
留言	sõnum
留言	teade
市	linn
市	linna
市	city
市	omavalitsus
市	vald
克	memm
克	grammi
新	uued
新	uus
新	new
站	jaamas
站	jaam
站	jaama
站	seisa
州	riik
州	olek
州	osariik
研究	uuring
研究	uuringud
研究	uurimistöö
研究	teadusuuringud
研究	uuringud
日本	jaapani
日本	jaapan
三	kolm
前	enne
家	kodu
家	koju
家	kodus
近	lähedal
米	riis
米	meetri
米	meetrit
多	rohkem
使用	kasutamine
使用	kasutus
使用	kasutamine
使用	kasutades
使用	use
使用	kasutamine
使用	kasutamiseks
使用	kasuta
使用	kasutus
使用	kasutatud
王	king
王	kuningas
王	kunn
王	wang
林	lam
林	lin
公司	ettevõtte
公司	äriühing
公司	ettevõte
公司	seltskond
公司	äriühingud
公司	firmad
公司	ettevõtted
李	lee
一個	ühe
一個	üks
西	west
西	lääs
西	lääne
省	provints
省	kubernerkond
省	vojevoodkond
度	kraadi
度	kraadides
度	kraadi
度	kraad
卡	kaardid
卡	kaardiga
卡	kaart
卡	kaardi
二	kaks
小	väikesed
小	väike
小	little
小	väike
小	vähe
小	pisike
小	tilluke
相似	sarnased
相似	sarnane
相似	sarnasus
相似	sarnasust
相似	sarnasus
區	tsoon
區	vöönd
區	ringkond
區	rajoon
區	pindala
區	valdkond
區	piirkond
區	ala
人口	demograafia
人口	demograafiline
人口	demograafilised
人口	demograafia
人口	populatsioon
人口	populatsiooni
人口	rahvastik
人口	elanikkond
人口	rahvaarv
四	neli
政府	valitsus
將	will
將	tahe
高	high
高	kõrgele
高	kõrged
高	kõrgel
高	kõrge
美國	ameerika
集	komplekti
集	komplekt
集	määra
集	seadis
集	episood
台灣	taiwan
台灣	taiwanis
台灣	taiwani
布	riide
布	riie
布	riidest
世界	maailma
世界	maailm
南	lõuna
南	lõunasse
南	lõunas
南	nam
路	maantee
路	tee
路	road
五	viis
本	ben
金	jin
金	kuld
金	kulda
金	kullast
金	kim
文	wen
林肯	lincoln
林肯	lincolni
人民	inimesed
人民	rahvas
人民	people
包括	kaasatud
包括	kaasamine
包括	sealhulgas
峰	tipp
位於	asub
位於	asuvad
其他	muu
其他	muud
其他	muud
其他	teised
塔	tower
塔	torn
縣	maakond
縣	canton
第一	kõigepealt
第一	esmalt
第一	esimene
任	ren
時間	kellaaeg
時間	aeg
時間	aja
時間	ajas
時間	aega
比	suhtarv
比	suhe
元	meta
元	yuan
元	dollari
元	dollar
元	võidetud
元	võitsid
元	võitis
中國	hiina
六	kuus
主要	major
主要	põhi
主要	peamised
主要	main
主要	peamine
城	linn
城	linna
城	city
城	loss
城	castle
城	lossi
法	meetod
中心	keskused
中心	keskus
中心	keskele
中心	center
中心	keskel
中心	keskus
線	liin
線	joone
線	joon
線	rida
線	read
線	jooned
線	liinid
線	niit
線	lõime
第二	teine
第二	teiseks
山	mäe
山	mägi
山	mount
山	ühendamine
山	hill
山	mäed
加	lisa
加	lisamine
加	plus
加	pluss
太空	kosmos
太空	ruum
太空	ruumi
張	chang
張	zhang
內	sisemine
主	issand
雷	ray
管理	haldus
管理	juhtkond
管理	juhtimine
管理	haldamine
建	ehita
建	ehitama
建	ehitada
建	ehitamine
建	ehitatud
性	seksuaalsus
性	seksuaalse
性	seksuaalne
性	sugu
性	seks
性	sex
成	sung
代表	esindajad
代表	esindaja
代表	delegeerida
那	seejärel
那	siis
公里	kilomeetreid
公里	kilomeetrit
公里	kilomeeter
公里	kilomeetrit
海	meri
海	mere
海	ookean
這	see
這	selle
這	seda
大學	ülikoolid
大學	ülikool
大學	kolleegium
大學	kolledž
版	väljaanne
版	versioon
版	versiooni
從	alates
從	kellelt
羅	luo
原	originaalne
原	originaal
原	algne
原	hara
工作	töö
工作	töökoht
工作	tööd
工作	töö
工作	tööle
工作	töökohad
工作	töötamine
北	põhi
北	põhja
北	põhjas
政治	poliitikast
政治	poliitika
政治	poliitilised
政治	poliitiline
星	täht
星	tähe
星	staar
星	staarid
星	tähed
星	tähtede
她	ta
陳	chen
陳	chan
陳	trần
他的	tema
作品	töötab
作品	toimib
河	river
河	jõgi
文化	kultuuri
文化	kultuur
文化	kultuurid
條目	kirjed
馬	hobused
馬	hobuseid
馬	hobune
馬	hobuse
馬	hobu
氏	klanni
氏	klann
氏	thi
更	rohkem
曼	mann
電影	filmi
電影	film
電影	kino
電影	filmi
電影	kile
電影	film
電影	filmid
季	hooaeg
季	hooaega
龍	kopsud
龍	kopsu
龍	lohe
龍	draakon
女	naise
女	naine
女	naissoost
正式	ametlikult
正式	formaalselt
正式	ametlikult
正式	ametlik
正式	ametliku
外	väljaspool
外	väljas
明	mingi
明	ming
美	kaunist
美	ilus
美	kaunid
美	ilusad
美	kaunis
美	ilu
美	iludus
美	kaunitar
字	sõna
字	sõnad
字	sõnu
因為	kuna
因為	sest
北京	pekingi
不同	teistsugune
不同	erinevad
不同	erinev
足球	jalgpall
足球	jalgpall
目前	aktiivne
目前	praeguse
目前	praegune
目前	hetkel
目前	praegu
所有	kõik
部分	osaline
部分	osaliselt
中央	kesksed
中央	kesk
中央	keskosa
中央	keskne
森	sen
森	mori
郡	maakond
國家	riigid
國家	riik
國家	riik
國家	olek
國家	osariik
國家	siseriiklikud
國家	riiklik
國家	riiklikud
國家	siseriiklik
國家	riigid
球	ball
球	pall
球	palli
生	toores
生	toor
生	toorelt
但是	aga
但是	kuid
街	tänav
城市	linn
城市	linna
城市	city
城市	linnad
