njëlloj	igualment
molekulat	molècules
rrezja	radi
faktori	factor
dukë	duke
dukë	duc
qytetërimi	civilització
feve	religions
bouches	bouches
shfrytëzimin	explotant
kriteret	criteris
uje	aigua
hartën	mapa
savoie	savoie
dec	dec
vdiqën	morí
urime	enhorabona
urime	enhorabona
transmetim	transmissió
transmetim	emissió
transmetim	radiodifusió
sundimtar	regle
sundimtar	governant
renditja	ordena
demokracia	democràcia
nofka	sobrenom
miratimin	adopció
minister	ministre
mulli	almàssera
mulli	mill
mulli	molí
transferohet	transferit
shtimi	sumant
leoni	leonie
leoni	leon
clark	clark
kyçe	tecla
kyçe	clau
trashëgiminë	herència
treve	trinity
treve	trinitat
inxhinieria	enginyeria
sinjalet	senyals
pushkë	escopeta
pushkë	fusell
pushkë	rifle
tobi	toby
tobi	tobi
shqiperia	albània
popuj	pobles
numerike	numèric
numerike	numèrica
ssl	ssl
seksionin	secció
përgatitja	elaboració
përgatitja	preparació
konfliktet	conflictes
grav	grav
hitler	hitler
themel	fonament
themel	fundació
natyrshëm	naturalment
realiteti	realitat
mbiemri	cognoms
mbiemri	cognom
lawrence	lawrence
shumëllojshmëri	varietat
stupa	stupa
arabët	àrabs
fürstenberg	heiligenberg
unmik	unmik
buenos	buenos
universiteteve	universitats
kolonat	columnes
banon	resideix
mbështetës	simpatitzants
mbështetës	partidaris
mbështetës	defensora
mbështetës	partidari
bashkëshortja	cònjuge
bashkëshortja	esposa
denjë	dignes
jehona	eco
jehona	ressó
jehona	echo
shkatërrimi	enderroc
shkatërrimi	demolició
shkatërrimi	destrucció
ardian	ardian
serioz	greus
serioz	seriós
sigurta	firaires
gjithmone	sempre
kentucky	kentucky
kontrata	contractes
kontrata	contracte
njëherësh	simultàniament
asllani	aslan
haxhiu	hadji
tower	torre
tower	tower
përkushtim	dedicatòria
përkushtim	dedicació
përkushtim	devoció
shkencëtar	científic
brënda	inside
brënda	endins
brënda	dins
liqene	llacs
kimisë	química
dukesha	duquessa
plane	plans
cilësore	qualitat
pfalz	palatinat
kariera	carrera
kariera	carreres
kariera	curses
atom	àtom
