confesión	confessió
estanse	són
loitan	lluitant
loitan	són
loitan	lluita
medicinas	medicament
medicinas	medicina
culturas	cultures
interpretación	interpretació
escoitan	escoltant
dinámica	dinàmic
dinámica	dinàmica
populares	popular
populares	populars
aumenta	will
aumenta	voluntat
aumenta	increment
aumenta	augment
sida	sida
similar	similars
similar	semblants
similar	similar
espectadores	espectadors
decateime	adonar
saibas	tu
saibas	vostè
garantía	garantia
ken	ken
bambú	bambú
falsos	fals
falsos	false
falsos	falses
sexades	tu
sexades	vostè
pensaban	pensament
pódense	can
coñecida	conegut
emocionante	emocionant
emocionante	apassionant
xulgado	cort
xulgado	tribunal
extensión	ampliació
extensión	extensió
extensión	pròrroga
expansión	expansió
azar	oportunitat
necesitan	necessitat
senon	però
organizacións	organitzacions
individual	individu
individual	individuals
individual	individual
web	web
intres	moments
específico	específics
específico	específic
ordenadores	ordinadors
ordenadores	ordinador
estatísticas	estadística
estatísticas	estadístiques
fiel	fidel
capturado	capturats
capturado	captades
capturado	capturat
trece	tretze
características	funcionalitats
características	característiques
residencia	residència
paran	atura
paran	stop
pensara	pensa
pensara	pensament
calefacción	calor
calefacción	calefacció
respondeu	respost
respondeu	contestat
respondeu	contestada
décadas	dècades
enfermos	malalts
enfermos	malalt
compartimos	compartir
compartimos	compartició
compartimos	comparteix
compartimos	compartits
compartimos	compartit
redución	reducció
arder	cremant
arder	cremar
arder	crema
volcán	volcà
kg	lliures
oriental	oriental
violín	violí
sufriu	patit
usado	emprat
usado	utilitzat
usado	utilitzats
usado	usat
explorar	explorar
xeralmente	generalment
teléfonos	smartphones
teléfonos	telèfons
estruturas	estructures
fusión	fusió
suma	sumatori
suma	suma
mentais	mental
tanque	tanc
eventos	esdeveniments
america	amèrica
axenda	agenda
bancos	banks
bancos	bancs
pensaron	pensament
instrucións	instruccions
chamábase	nom
chamábase	denominació
chamábase	fou
chamábase	cridat
pluma	bolígraf
pluma	ploma
pluma	pen
pluma	llapis
pluma	ploma
murray	murray
espido	despullada
espido	nua
técnicos	tècnics
técnicos	tècnic
técnicos	tècnics
verbas	paraules
deixalos	let
deixalos	ells
deixalos	excedència
conclusión	aixo
conclusión	que
conclusión	concertació
conclusión	conclusió
orgullosos	orgullosa
orgullosos	orgullós
orgullosos	orgullosos
chegarán	will
chegarán	voluntat
escoitou	escoltat
músculos	músculs
demostración	demostració
demostración	manifestació
computador	ordinador
xogadores	gamers
xogadores	jugadors
supostamente	suposadament
facelos	ells
facelos	make
violación	colza
violación	violació
gustoume	com
gustoume	like
gustoume	agradat
xefa	head
xefa	capçal
manchas	taques
neveira	frigorífic
neveira	nevera
potente	poderós
potente	poderosos
potente	potent
potente	poderosa
potente	poderoses
hanoi	hanoi
islam	islam
profeta	profeta
chámanlle	convocatòria
chámanlle	trucada
cas	amb
devanceiros	avantpassats
perigosa	perillós
perigosa	perillosos
categoría	categoria
estatal	estat
amargo	amarg
amargo	amarga
equivocado	malament
representante	intermediari
representante	representant
levárono	ell
xogamos	jugat
xogamos	tocava
xogamos	reprodueix
feitas	fetes
feitas	feta
renunciar	donant
logro	consecució
logro	assoliment
estranxeira	exteriors
estranxeira	estranger
favorita	preferit
favorita	favorit
seguranza	contractista
subtítulos	subtítols
ciclo	cicle
dirán	say
viaxa	viatja
viaxa	viatges
néboa	boira
localización	localització
localización	ubicació
localización	emplaçament
levado	pres
cidadás	ciutadans
satisfacer	satisfer
parker	parker
pioneiros	pioners
esperan	esperança
esperan	esperant
taza	tassa
taza	cup
lémbrome	recorda
lémbrome	recordeu
lote	lot
metais	metalls
lixeiro	llum
acumulación	acumulació
manchester	manchester
raíces	arrels
evidentemente	òbviament
evidentemente	evidentment
tina	tina
condena	temps
condena	time
defunto	tard
defunto	morts
defunto	dead
fantasma	carruatge
fantasma	ghost
fantasma	fantasma
regrese	esquena
escapou	from
escapou	escapat
tumbas	tombes
amada	estimat
amada	estimava
cooperativas	cooperativa
cooperativas	cooperatives
jenny	jenny
colgar	penjar
óesme	tu
óesme	vostè
internado	hospital
molesto	molesta
molesto	molest
pensado	pensament
sabas	làmines
sabas	fulls
sabas	llençols
sermón	sermó
barriga	panxa
barriga	belly
refires	mitjana
refires	mean
gustaríalle	com
gustaríalle	like
parado	stand
mátote	kill
mátote	mata
mátote	tu
mátote	vostè
esperas	tu
esperas	vostè
esperas	esperant
escravo	esclau
escravo	esclava
socorro	auxili
socorro	ajuda
socorro	ajut
mandou	enviats
mandou	enviat
joseph	josep
joseph	joseph
seda	seda
secreta	secret
xusta	només
vido	vine
ombreiro	espatlla
dispararon	disparat
potencia	potència
potencia	poder
terlle	tinguin
terlle	ell
planos	plans
polis	polis
polis	policies
seguirá	will
seguirá	voluntat
seguirá	encara
deixaría	let
vervos	veure
vervos	tu
vervos	vostè
sóltame	aconsegueix
sóltame	aconseguir
sóltame	let
ataques	atacs
celosa	gelós
cometer	cometre
cometer	publica
estabades	eren
estabades	tu
estabades	vostè
interesada	interessat
interesada	interessats
escoitaches	tu
escoitaches	vostè
escoitaches	escoltat
fálame	about
vendas	vendes
vendas	surts
parezo	mira
parezo	look
vinnie	vinnie
permíteme	maig
colar	collaret
levarte	tu
levarte	vostè
levarte	take
sacaches	aconsegueix
sacaches	aconseguir
sacaches	tu
sacaches	vostè
xudea	judea
xudea	front
lima	lima
rezo	resar
rezo	resa
refíreste	tu
refíreste	vostè
refíreste	mitjana
refíreste	mean
soñando	somiant
adoro	amor
dillo	ell
trent	trent
jean	jean
saigón	saigon
ámoa	amor
