podijelili	chia
šanse	odds
bat	bat
bat	dơi
artakserkso	artaxerxes
stajalište	stance
hrabrosti	dũng
hrabrosti	chống
nogometaši	footballers
oskar	oskar
oskar	oscar
okretaja	rpm
ebel	ebel
emery	emery
neal	neal
lom	gãy
jenkins	jenkins
stolu	bàn
orijentaciju	hướng
jules	jules
traženje	ve
tracy	tracy
tata	bố
tata	bố
mihael	michael
woods	rừng
korijeni	rễ
thunb	thunb
zaslužio	đắng
trebinje	trebinje
memorija	ức
kapelu	chapel
iphone	iphone
duboka	deep
duboka	sâu
marta	marta
marta	martha
slanje	gửi
slanje	phái
montaža	montage
hewitt	hewitt
benz	benz
okupljanje	gom
okupljanje	reunion
krumpir	khoai
ruta	rô
kartice	bài
kartice	thẻ
utc+	utc+
aden	aden
rolls	cuộn
rolls	rolls
digitalna	digital
stevan	stevan
ruby	ruby
roditelje	song
junaci	heroes
mane	mane
mane	bờm
domingo	domingo
brač	brac
brač	brač
promatrač	observer
hildebrand	hildebrand
tatjana	tatiana
tatjana	tatjana
airesu	aires
napuštena	thác
odisej	odysseus
odisej	odyssey
odisej	odysseus
odisej	ulysses
gorana	goran
naveden	chất
upozorenje	cảnh
winston	winston
željezničar	željezničar
melbourne	melbourne
leslie	leslie
ispuniti	tô
ispuniti	điền
baja	baja
juana	juana
sklonosti	inclination
segment	đoạn
grubo	rough
grubo	phũ
grubo	chát
fragmenti	fragments
berger	berger
madison	madison
adrian	adrian
weasley	weasley
navodeći	citing
jackie	jackie
najbliža	thiểu
strijelaca	shooters
roosevelt	roosevelt
aethes	aethes
andrews	andrews
odaje	chambers
odaje	vẹn
slom	meltdown
ming	minh
ming	ming
napulj	naples
napulj	napoli
aero	aero
nizak	low
nizak	thấp
qin	tần
deportivo	deportivo
lotus	lotus
aaron	aaron
mastering	mastering
petković	petkovic
radost	joy
xml	xml
xml	xm
zeppelin	zeppelin
popraviti	fix
herkul	hercules
grede	timbers
veracruz	veracruz
smeđi	brown
smeđi	nâu
pčele	ong
rao	rao
americana	americana
frodo	frodo
ozlijeđen	thương
nin	nin
miješa	mixes
lena	lena
kriv	huệ
kriv	tội
dominika	dominika
tigar	tiger
tigar	cọp
tigar	hổ
osvete	thù
tobago	tobago
tokiju	tokyo
felipe	felipe
čudovište	monster
lambert	lambert
campo	campo
plaćati	trả
mazz	mazz
dečko	boy
dečko	trai
dečko	bé
dečko	boyfriend
ograničenje	hạn
aus	aus
mon	mon
moždani	cú
moždani	đòn
struka	eo
struka	hông
turpin	turpin
griseb	griseb
townsend	townsend
hindu	hindu
hindu	hinđu
osveta	payback
osveta	thù
kai	kai
klein	klein
ada	ada
jakob	jakob
tvoja	của
proslava	lễ
jesse	jesse
močvara	lầy
močvara	lầy
močvara	bog
nagrađena	thưởng
aizoaceae	aizoaceae
viktora	viktor
inteligencija	pet
viđen	thấy
jelen	hươu
oak	oak
oak	sồi
kanjon	canyon
kanjon	hẻm
princeton	princeton
sparta	sparta
fruhstorfer	fruhstorfer
irsku	ireland
dogovoreno	thuận
java	java
sirius	sirius
kipovi	tượng
deutschland	deutschland
molitvu	nguyện
platon	platon
platon	plato
jasminum	jasminum
ara	ara
bonaldo	bonaldo
intel	intel
oro	oro
basel	basel
žita	lúa
žita	hạt
aleksej	alexei
aleksej	aleksey
eunidia	eunidia
ncc	ncc
temple	đền
temple	chùa
gavran	quạ
gavran	raven
morrison	morrison
adler	adler
metcalf	metcalf
uskrsnuće	resurrection
plodnosti	fertility
dylan	dylan
blokira	chặn
logan	logan
