yra	—
apie	пра
kaip	як
kaip	колькі
kaip	як
kaip	як
kad	што
taip	так
taip	так
pat	пэт
jis	ён
kaimas	вёсцы
kaimas	вёску
kaimas	мястэчка
tik	толькі
tik	проста
tik	толькі
tik	як
mirties	смерць
mirties	сьмерць
mirties	сьмерці
bet	але
bet	а
jav	нас
jav	нам
jav	намі
jav	мы
turi	мусіць
turi	няхай
dar	яшчэ
dar	дагэтуль
dalis	часткай
dalis	частка
dalis	часткі
kalba	мову
kalba	мове
kalba	мовы
kalba	мова
karo	вайны
karo	сусветнай
karo	вайна
karo	вайну
karo	вайне
kultūros	культуры
kultūros	культура
kultūros	культуру
kultūros	культурай
labai	вельмі
labai	сапраўды
birželio	чэрвеня
birželio	чэрвені
jie	яны
kurie	хто
kurie	якія
kurie	які
kur	куды
kur	дзе
kur	адкуль
daug	шмат
daug	многіх
daug	многія
daug	больш
daug	шмат
rytų	усходу
mokykla	школах
mokykla	школу
mokykla	школе
mokykla	школы
mokykla	школа
čia	вось
čia	тут
čia	сюды
vakarų	захаду
muzikos	музычнай
nors	хоць
daugiau	больш
kaimo	вёсцы
kaimo	вёску
kaimo	мястэчка
todėl	таму
todėl	дык
todėl	дзеля
todėl	гэтага
todėl	так
jau	ўжо
jau	ужо
dirbo	працавала
dirbo	працы
dirbo	працавалі
dirbo	працаваў
dirbo	атрымалася
dirbo	ўкісла
kalbos	мовах
kalbos	мовы
kalbos	мову
kalbos	мове
kalbos	мовы
kalbos	мова
mokyklos	школу
mokyklos	школе
mokyklos	школы
mokyklos	школа
šeimos	сям
upės	раку
dabar	зараз
dabar	цяпер
dabar	а
gyveno	жылі
gyveno	жыў
gyveno	жыла
gyveno	ў
dainų	песні
dainų	вызвалення
dainų	сьпевамі
dainų	песьні
darbo	працаваць
vaikai	дзяцей
vaikai	дзецям
vaikai	дзецьмі
vaikai	дзеці
oro	паветра
tekstas	тэкст
tekstas	тэкста
tekstas	тэкставых
tekstas	тэкставы
anglų	ангельскай
anglų	англійскую
anglų	англійскай
anglų	ангельскую
svetainė	сайт
jei	калі
istorijos	гісторыю
istorijos	гісторыя
istorijos	гісторыі
istorijos	гісторыі
istorijos	гісторыю
istorijos	гісторыя
istorijos	гісторыяй
bažnyčios	цэркваў
bažnyčios	цэрквах
bažnyčios	цэрквы
jūros	мора
jūros	моры
kas	што
kas	тое
kas	хто
kas	якія
kas	які
gyvena	жыццё
gyvena	жыве
gyvena	застаецца
šio	гэта
šio	гэты
šio	гэтага
šio	гэтае
ežeras	возера
ežeras	моры
romos	рымлянін
beveik	амаль
mokslo	навуцы
mokslo	навука
mokslo	навуку
mokslo	навукі
pasaulyje	свеце
kartais	часам
kaime	вёсцы
kaime	вёску
kaime	мястэчка
šių	гэтых
šių	гэтае
šių	гэтыя
šių	гэта
šių	яны
tūkst	тысячы
tūkst	тысячаў
tūkst	тысяча
tėvas	бацька
tėvas	бацьку
tėvas	айца
tėvas	айцец
gavo	устаўшы
karalius	караля
karalius	валадару
karalius	валадар
karalius	валадара
juos	іх
juos	ім
juos	імі
šeima	сям
laimėjo	перамаглі
laimėjo	не
laimėjo	дапамажы
laimėjo	перамагла
laimėjo	нікому
laimėjo	дарадцаў
provincija	азіі
salos	востраў
upė	раку
istorija	гісторыю
istorija	гісторыя
istorija	гісторыі
istorija	гісторыі
istorija	гісторыю
istorija	гісторыя
istorija	гісторыяй
sūnus	сын
sūnus	сына
sūnus	сыне
tsrs	савецкай
kelio	план
kelio	дарозе
amerikos	амерыканскія
amerikos	амерыкі
amerikos	амерыцы
amerikos	амерыкі
amerikos	зша
giminės	сваякамі
giminės	сваякоў
laiko	раз
laiko	часу
laiko	час
veikia	працуе
veikia	справы
veikia	учынкаў
gyvenimo	жыве
gyvenimo	жывога
gyvenimo	жывёлы
gyvenimo	жыццё
gyvenimo	жыцця
gyvenimo	жыцьцё
gyvenimo	душу
kelias	план
kelias	дарозе
būtų	б
būtų	бы
žmogaus	чалавека
žmogaus	людзей
netoli	блізка
užsienio	чужой
apibūdinimas	апісаньня
apibūdinimas	апісаньне
žmona	жонка
žmona	жонку
žmona	жонкаю
amžiaus	эра
amžiaus	веку
auga	расце
auga	калі
auga	растуць
auga	расьці
britų	брытанскіх
kartus	разоў
kartus	час
kartus	часы
motina	маці
motina	маці
filmas	кіно
didysis	вялікага
didysis	што
didysis	вялікі
didysis	вялікія
augalų	саджайце
parkas	парк
parkas	парку
tada	а
tada	тады
tada	і
tada	дык
šachmatų	шахматы
miestai	гарадах
miestai	гарадах
miestai	гарады
kelių	план
kelių	дарозе
kalnų	гара
kalnų	гары
sala	востраў
dalies	часткай
dalies	частка
dalies	часткі
komanda	каманду
komanda	камандай
komanda	каманда
kūno	цела
kūno	целе
bus	будуць
bus	будзе
žydų	юдэі
žydų	юдэяў
žydų	юдэйскіх
vyksta	што
aleksandras	аляксандра
aleksandras	аляксандар
žinoma	натуральна
žinoma	вядома
statybos	збудаваць
statybos	пабудаваць
japonijos	японіі
japonijos	японія
japonijos	японію
japonijos	японец
japonijos	японскай
japonijos	японскі
didžiausias	часткамі
jai	яна
paskirtas	весьнікам
paskirtas	паставіў
paskirtas	стаўляецца
paskirtas	і
paskirtas	вызначаны
aukso	золата
aukso	золатам
taurė	кавы
taurė	кубкам
taurė	келіх
taurė	келіха
būdu	шлях
