din	från
care	vilka
care	vem
care	who
care	vilka
care	vilket
care	vilken
care	som
fost	varit
mai	mai
mai	mys
mai	mera
mai	more
mai	fler
mai	mer
pentru	för
lui	hans
sunt	är
sunt	are
sit	webbplatsen
sit	site
sit	webbplats
dupa	efteråt
dupa	after
dupa	efter
dupa	efteråt
dupa	after
dupa	efter
ale	ale
lea	lea
prin	igenom
prin	genom
regiunea	region
regiunea	regionen
mare	jättebra
mare	härligt
mare	toppen
mare	big
mare	stora
mare	stor
mare	stort
mare	sea
mare	sjö
mare	hav
mare	havet
anul	year
anul	årsmodell
anul	året
anul	år
comuna	vanligt
comuna	gemensamt
comuna	vanlig
comuna	vanliga
comuna	gemensamma
comuna	kommunen
comuna	kommun
comuna	vanligt
comuna	gemensamt
comuna	vanlig
comuna	vanliga
comuna	gemensamma
are	har
externe	extern
externe	externt
externe	yttre
externe	externa
locuitori	invånare
locuitori	innevånare
locuitori	invånare
locuitori	boende
locuitori	bosatta
legaturi	anknyter
legaturi	länkar
legaturi	anslutningar
legaturi	förbindelser
legaturi	kopplingar
legaturi	anknyter
legaturi	länkar
vezi	see
vezi	se
dar	men
cod	code
cod	kod
cod	torsk
cod	cod
cod	torsken
populatie	populationen
populatie	befolkning
populatie	befolkningen
populatie	folkmängd
populatie	population
bucuresti	bukarest
bucuresti	bukarest
bucuresti	bukarest
romania	rumänien
romania	rumänien
jpg	jpg
lista	förteckning
lista	list
lista	lista
lista	förteckning
lista	list
lista	lista
ucraina	ukrainska
ucraina	ukraina
nume	namnge
nume	namn
nume	name
ani	ani
ani	years
ani	åratal
ani	åren
ani	år
avea	had
avea	hadde
avea	hade
avea	haft
intre	emellan
intre	mellan
intre	emellan
intre	mellan
pana	tills
pana	tills
pana	fjädrar
pana	fjäder
poate	kanske
poate	kanske
doua	två
doua	två
rege	king
rege	kungen
rege	kung
rege	konung
sub	under
alte	annan
alte	övrig
alte	övriga
alte	andra
alte	övrigt
alte	annat
cand	när
cand	när
regiune	region
regiune	regionen
anii	years
anii	åratal
anii	åren
anii	år
parte	delen
parte	del
judetul	county
judetul	länet
judetul	län
judetul	county
judetul	länet
judetul	län
centura	skärp
centura	bältet
centura	bälte
centura	skärp
centura	bältet
centura	bälte
dinastia	dynastin
septembrie	september
timp	tid
timp	tidpunkt
timp	dags
timp	klockslag
timp	tiden
despre	ungefär
unde	var
unde	där
unde	vart
majoritatea	most
majoritatea	mest
majoritatea	majoriteten
majoritatea	majoritet
densitate	densitet
densitate	täthet
limba	tungor
limba	tungan
limba	tunga
limba	språket
limba	språk
limba	tungor
limba	tungan
limba	tunga
limba	språket
limba	språk
iunie	juni
iunie	june
multe	många
socorro	socorro
prima	först
prima	första
prima	premie
prima	premium
octombrie	oktober
august	august
august	augusti
sat	byn
sat	by
sat	village
sat	sat
sat	satt
sat	suttit
sat	lör
martie	marsch
martie	marschera
martie	march
martie	demonstrationståg
martie	mars
biserica	kyrkan
biserica	kyrka
biserica	kyrkan
biserica	kyrka
fisier	arkiv
fisier	file
fisier	fil
fisier	arkiv
fisier	file
fisier	fil
decembrie	december
toate	allt
toate	alla
ianuarie	januari
adresa	adress
adresa	address
adresa	adress
adresa	address
