přepravy	ขนส่ง
dík	ขอบคุณ
súdánu	ซูดาน
rány	หมัด
rány	แผล
rány	บาดแผล
pid	pid
uvědomit	แจ้ง
nabídnout	เสนอ
ghost	ผี
cleveland	cleveland
vyrobil	ทำให้
santo	ต้า
santo	santa
masky	หน้ากาก
masky	หน้ากาก
sprint	sprint
odpůrce	จำเลย
mráz	ฟรอสท์
lvi	สิงโต
simulace	จำลอง
potřebná	ต้องการ
korupce	บ่อน
vrtule	ใบพัด
pneumatiky	ยาง
pneumatiky	ยาง
výzvy	ท้าทาย
zázrak	สงสัย
zázrak	wonder
prázdniny	holiday
vyvinout	พัฒนา
vyvinout	พัฒนา
rolníci	ชาวนา
přístavy	พอร์ต
yves	yves
zážitky	ประสบการณ์
personál	บุคลากร
personál	พนักงาน
henrik	henrik
exploze	ระเบิด
michele	michele
pokročilé	ก้าวหน้า
eura	ยูโร
eura	ยูโร
domek	กระท่อม
teritorium	อาณาเขต
lovec	hunter
rovníku	เส้นศูนย์สูตร
rovníku	ศูนย์สูตร
cihel	อิฐ
použitý	ใช้
obklopen	ล้อม
učenec	บัณฑิต
referenda	ประชามติ
referenda	มติ
náročná	ท้าทาย
len	len
len	เลน
gate	เกต
gate	เกท
soustředění	โฟกัส
andělé	เทวดา
dinamo	dinamo
zátěž	ภาระ
dědic	ทายาท
diamond	diamond
diamond	ไดมอนด์
diamond	เพชร
zítra	พรุ่ง
učiteli	คุณครู
učiteli	อาจารย์
učiteli	ครู
chán	ข่าน
otroky	บ่าว
otroky	ทาส
iniciativa	ริเริ่ม
iniciativa	initiative
létání	ฟลาย
létání	บิน
krása	งาม
vyvinuté	พัฒนา
gnome	gnome
kontinent	ทวีป
fráze	วลี
fráze	วลี
uzly	ปม
uzly	เงื่อน
uzly	ฮับ
navrženo	แนะ
navrženo	แนะนำ
navrženo	ออกแบบ
poledne	บ่าย
poledne	เที่ยง
odpadu	เปลือง
edge	ขอบ
edge	edge
nalezené	พบ
nalezené	เจอ
cape	แหลม
cape	เคป
zrození	เกิด
zrození	กำเนิด
mrtví	ตาย
storm	พายุ
legislativní	นิติบัญญัติ
zeleniny	ผัก
přizpůsobit	ปรับ
chirurg	ศัลยแพทย์
vie	vie
vietnamské	เวียดนาม
zablokovat	บล็อก
zablokovat	บล็อค
als	als
slečna	คิดถึง
slečna	มิส
