нула	sıfır
театри	tiyatrolar
театри	sinemalarda
театри	tiyatrolar
кризата	kriz
органите	organlar
органите	organları
забележка	not
забележка	nota
доналд	donald
колекции	koleksiyonlar
колекции	koleksiyon
султана	sultana
султана	sultan
султана	sultan
етика	ahlak
етика	etik
цивилни	sivil
цивилни	sivil
цивилни	sivillere
цивилни	siviller
путин	putin
свиленград	svilengrad
представено	sunuldu
представено	sunulan
представено	sundu
представено	gönderildi
представено	gönderilen
бит	bit
бит	dövülmüş
бит	dayak
плод	meyve
плод	meyveler
плод	meyva
физици	fizikçiler
имението	konak
имението	malikane
имението	köşk
имението	malikanesi
езиците	dil
езиците	diller
езиците	dilleri
доктрина	doktrini
еволюцията	evrim
рицар	şövalye
рицар	knight
неправилно	yanlis
неправилно	yanlış
неправилно	hatalı
тото	toto
оригинален	orijinal
оригинален	özgün
оригинален	orjinal
оригинален	aslı
католици	katolikler
католици	katolik
католици	katolik
гревена	grevena
твърд	firma
твърд	katı
твърд	sağlam
твърд	zor
твърд	zoru
твърд	sert
твърд	katı
развит	gelişmiş
развит	geliştirilmiş
развит	geliştirildi
вавилон	babylon
вавилон	babil
умрял	öldü
умрял	öldüm
значения	anlamı
значения	anlamları
невада	nevada
планети	gezegenleri
планети	gezegenler
месопотамия	mezopotamya
молекули	moleküller
молекули	molekül
марек	marek
кайзерслаутерн	kaiserslautern
наляво	soldaki
наляво	soldan
наляво	sol
наляво	sola
дакота	dakota
радиус	yarıçap
здрави	sağlıklı
здрави	saglikli
ориз	pirinç
ориз	pilav
дванадесет	twelve
дванадесет	oniki
желязна	demir
желязна	ütü
ястия	yemekler
ястия	yemekler
ястия	tabaklar
ястия	bulaşık
същността	özü
дискове	disk
дискове	diskler
дискове	cd
хелзинки	helsinki
анкара	ankara
мирно	huzur
мирно	huzurlu
мирно	barışçıl
дървена	ahşap
дървена	tahta
ръсел	russel
ръсел	russel
ръсел	russell
изработен	hazırlanmış
прогрес	ilerleme
прогрес	gelişme
прогрес	gelişim
изпратена	gönderildi
изпратена	gönderilen
изпратена	gönderdi
изпратена	gönderilmiş
цветни	renkli
човешко	insani
човешко	insan
процесите	süreç
процесите	süreçleri
галерии	galerileri
изпълнен	dolmuş
изпълнен	doldu
изпълнен	dolu
изпълнен	doldurulmuş
леля	teyzem
леля	teyze
леля	hala
леля	yenge
леля	teyze
контузия	sakatlık
контузия	yara
контузия	yaralanma
контузия	yaralama
скок	atlama
скок	atla
цикъла	döngüsü
цикъла	döngü
частична	kısmi
частична	kısmen
люк	luke
съпротивление	direnç
съпротивление	direniş
ресторант	restoran
ресторант	lokanta
ресторант	lokantası
ресторант	restaurant
дева	başak
дева	deva
андреас	andreas
казан	kazan
слънчеви	güneşli
слънчеви	sunny
слънчеви	güneş
слънчеви	solar
лусия	lucia
победителите	kazananlar
въздушно	hava
въздушно	air
арагон	aragon
азиатски	asyalı
азиатски	asya
умерено	ilımlı
умерено	kısmen
анатомия	anatomi
истинска	real
истинска	gercek
