keith	keith
garcía	garcía
src	südamed
schneider	schneider
trdo	raske
trdo	kõva
čaj	teed
čaj	tee
spartak	spartacus
odpoved	välju
odpoved	tagasiastumisega
vzorce	näidised
vzorce	proovid
divji	wild
divji	metsik
beach	rand
beach	beach
upokojeni	pensionil
upokojeni	erus
odgovorna	vastutustundlik
odgovorna	vastutav
stanovanje	tasane
stanovanje	lame
stanovanje	korteri
stanovanje	korteris
stanovanje	korter
posode	nõud
posode	nõusid
posode	laevad
posode	laevade
posode	konteinerid
posode	konteinerite
posode	mahutid
piero	piero
načrti	kavad
načrti	plaanid
načrti	plaane
jeff	jeff
baz	alused
baz	baz
murphy	murphy
vesel	rõõmus
vesel	häid
omembe	mainib
omembe	mainitakse
dostopen	ligipääsetav
dostopen	juurdepääsetav
dostopen	kättesaadav
suhi	kuivaks
suhi	kuivad
suhi	kuiv
suhi	kõhna
suhi	kõhn
odgovoril	vastas
odgovoril	vastasid
odgovoril	vastasid
odgovoril	vastatud
spredaj	ees
spredaj	ette
spredaj	rinne
sašo	grayson
luca	luca
pisem	kirju
pisem	kirjad
pisem	tähed
lepe	kaunist
lepe	ilus
lepe	kaunid
lepe	ilusad
lepe	kaunis
uspehov	edu
razdeli	pooleks
razdeli	jaga
pozdrav	tervitused
pozdrav	tervitus
pozdrav	tervitus
suverenosti	suveräänsust
suverenosti	suveräänsuse
isaac	isaac
dem	dem
siva	gray
siva	hall
siva	hallid
siva	hall
siva	grey
izdelava	valmistamine
izdelava	tootmine
izdelava	valmistamine
izdelava	tootmine
trenutek	moment
trenutek	hetk
oltarja	altari
obrobju	perifeeria
gaj	gaius
gaj	caius
bank	pank
bank	bank
sinonim	sünonüüm
sestri	õed
prid	teene
prid	teene
delce	osakesed
kupola	kuppel
kupola	kupli
sekunde	sekundid
sekunde	sekundit
rossi	rossi
rona	ron
psihologijo	psühholoogia
charlie	charlie
obsežne	ulatuslikud
obsežne	ulatuslik
bron	pronks
državljani	kodanikud
državljani	kodanikud
walther	walther
komandant	comandante
komandant	komandant
weber	weber
leonardo	leonardo
prepovedano	keelatud
prepovedano	keelatud
linux	linux
kritiko	kriitikat
kritiko	kriitika
razlogi	põhjused
razlogi	põhjus
razlogi	põhjused
moderno	tänapäeva
moderno	moodne
moderno	kaasaegne
bolečino	valu
voditelji	liidrid
voditelji	juhid
jedrski	tuuma
jedrski	tuumaenergia
hamburg	hamburgi
cruz	cruz
vožnjo	ratsutada
vožnjo	sõit
vožnjo	sõitmas
vožnjo	sõidab
vožnjo	sõitmine
poln	täis
poln	täielik
iranu	iraani
iranu	iraan
mitologija	mütoloogia
drugačna	teistsugune
drugačna	erinevad
drugačna	erinev
oddaj	etendused
oddaj	näitab
teologijo	teoloogia
zmesi	segud
alma	alma
slišal	kuulsin
slišal	kuuldud
slišal	kuulnud
slišal	kuulis
verjeli	uskusin
verjeli	uskusid
verjeli	uskus
odhod	lahkumine
odhod	väljumine
odhod	lahkumas
odhod	lahkub
odhod	lahkumine
koža	nahka
koža	nahk
koža	naha
proizvajalci	tootjad
proizvajalci	tootjad
najmanjši	väikseim
odvisnost	sõltuvust
odvisnost	sõltuvus
odvisnost	sõltuvust
odvisnost	sõltuvus
odvisnost	sõltuvus
dick	munn
dick	dick
theodore	theodore
renesančni	renessanss
royce	royce
jupiter	jupiter
kotel	katel
kotel	katla
wade	wade
nemudoma	koheselt
nemudoma	otsekohe
krogla	sfääri
krogla	kera
krogla	kuuli
krogla	kuul
prepričal	veendunud
aero	aero
klopi	puugid
klopi	pingid
klopi	pink
klopi	pingi
vredno	väärt
konvencija	konventsiooni
konvencija	konventsioon
šef	ülemus
šef	boss
delitve	osakonnad
delitve	rajoonid
delitve	vaheseinad
absolutno	absoluutselt
absolutno	absoluutne
absolutno	absoluutse
poraba	tarbimine
žleze	näärmed
žleze	nääre
zadetkov	tabab
zadetkov	lööb
merila	kriteeriumid
desetletju	aastakümne
jajca	mune
jajca	munad
jajca	kerad
jajca	munad
jajca	pallid
pretirano	üleliia
pretirano	ülemäärane
pretirano	liigne
pretirano	ülemäärase
nord	nord
zemljišča	maa
zemljišča	maad
zemljišča	land
povezovanje	võrgustike
povezovanje	integratsioon
povezovanje	lõimumine
povezovanje	integreerimine
prizori	stseenid
globine	sügavuste
botanik	botaanik
odkrit	avastatud
odkrit	avastasin
odkrit	avastas
koles	jalgrattad
col	col
flote	laevastiku
flote	laevastik
flote	laevastike
kandidata	kandidaadid
kandidata	kandidaat
venec	pärg
dvojna	topelt
križišče	risttee
igralce	mängijad
england	inglismaal
england	inglismaa
palice	baarid
palice	trellide
palice	trellid
palice	pulgad
palice	klubid
palice	vardad
moška	meestele
moška	mehed
moška	meessoost
moška	isane
puščava	kõrb
zmožnost	võimekus
zmožnost	võime
harvey	harvey
metka	kuuli
metka	kuul
podpis	allkirjastamise
podpis	allkirjastamine
podpis	signatuur
podpis	allkiri
neapelj	napoli
vzorca	näidised
vzorca	proovid
larry	larry
termin	mõiste
termin	termin
termin	kokkusaamine
termin	nimetamine
robin	robin
lesena	puust
lesena	puidust
lesena	puit
datotek	failid
samodejno	automaatne
samodejno	automaat
samodejno	automaatsed
samodejno	automaatne
samodejno	automaatselt
kvartet	quartet
wallace	wallace
posebnosti	eripära
posebnosti	spetsiifilisus
pozitivni	positiivsed
pozitivni	positiivse
pozitivni	positiivne
antike	antiik
nedavno	hiljuti
nedavno	hiljutine
nedavno	hiljutised
piramida	püramiid
vesoljska	kosmos
vesoljska	ruum
vesoljska	ruumi
ricardo	ricardo
eur	eurot
eur	eur
žagar	jigsaw
zvočni	kuuldav
slava	kuulsus
slava	hiilgus
madžari	ungarlased
odločno	tugevalt
sočasno	samaaegne
sočasno	samaaegne
sočasno	samaaegselt
sočasno	üheaegselt
moto	moto
moto	moto
duševno	vaimne
duševno	vaimse
duševno	vaimselt
allan	allan
ekip	meeskonnad
ekip	rühmad
lokacijo	asukoht
valovi	lained
valovi	laineid
zvezno	föderaalne
populacija	populatsioon
populacija	populatsiooni
populacija	rahvastik
populacija	elanikkond
populacija	rahvaarv
dokazati	demonstreerida
zamenjava	vaheta
zamenjava	asendamine
zamenjava	asendaja
zamenjava	asendus
zamenjava	asendamine
kače	maod
kače	madu
kače	snake
kače	mao
skoki	hüppab
skoki	hüppavad
skoki	hüppamine
delavce	töötajad
delavce	töölised
napadalec	ründaja
napadalec	ründaja
srbijo	serbia
čustveno	emotsionaalne
čustveno	emotsionaalselt
saturn	saturn
encima	ensüümi
encima	ensüüm
verjame	usub
postanek	vahepeatus
tokio	tokyo
dream	unistus
dream	dream
dream	unenägu
germain	germain
matt	matt
matt	matti
pérez	pérez
slovenia	sloveenia
alexandre	alexandre
centralne	kesksed
centralne	kesk
centralne	keskosa
centralne	keskne
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarhia
vlaken	kiu
vlaken	kiud
propad	doom
propad	kokkuvarisemine
turistične	turist
ngc	ngc
clarke	clarke
krona	krooni
krona	crown
krona	kroon
uran	uraan
uran	uraan
uran	uraani
celično	raku
resnica	tõene
resnica	tõsi
resnica	tõde
bruhanje	okse
bruhanje	oksendamine
arheologi	arheoloogid
pripadal	kuulus
dodana	lisatud
menihi	mungad
funtov	naelad
funtov	naela
odziva	vastus
odziva	reageering
odziva	reageerimine
tesla	tesla
sloj	kiht
sloj	kihi
padli	langenud
viktorija	victoria
akcija	tegevus
akcija	võte
akcija	toiming
tiska	press
tiska	ajakirjandus
tiska	pressi
tiska	vajuta
ščiti	kaitseb
ščiti	kilbid
potočnik	potočnik
vickers	vickers
luknje	augud
presega	ületab
game	gamma
vladanje	valitsemisaeg
andre	andre
andre	andré
ban	ban
ban	keeld
ban	keelustamine
opredeljuje	määratleb
ema	emma
doktorat	doktorikraadi
doktorat	phd
listina	harta
pljuč	kopsud
pljuč	kopsu
pljuč	kopsud
nasprotnikov	vastased
okoliščine	asjaolud
okoliščine	asjaolud
krizo	kriis
silver	hõbeda
silver	silver
silver	hõbe
léon	léon
planine	mäed
navzven	väliselt
agent	agent
vstaja	ülestõus
vzpostavitev	asutamine
vzpostavitev	kehtestamine
priznana	tunnustatud
priznana	tunnustatud
priznana	tunnistas
priznana	tunnustatud
upokojen	pensionil
upokojen	erus
pre	pre
