अमोनिया	аміак
विश्लेषणात्मक	аналітичних
प्रतिबद्धता	характеру
डू	ду
पकड़ा	схопив
कॉफ़ी	обрізки
कॉफ़ी	вимикання
कॉफ़ी	кава
उल्टा	зворотний
उल्टा	перевернута
एलेन	еллен
एलेन	елен
किराए	тарифи
किराए	оренду
न्यायालयों	суди
न्यायालयों	судів
एस्टन	aston
मांसपेशी	muscle
विषाक्त	токсичні
तूफ़ान	бурі
तूफ़ान	весні
तूफ़ान	тайфун
तूफ़ान	шторм
तूफ़ान	буря
कड़ा	міцно
कड़ा	туго
कड़ा	hard
कड़ा	тяжко
कड़ा	важкий
कड़ा	складна
कड़ा	важка
कड़ा	жорсткий
बारूद	пороху
बारूद	порох
पड़ाव	етап
एंजाइम	фермент
मूसा	мойсей
मूसा	муза
पिंक	рожева
पिंक	рожевий
बैरी	баррі
बैरी	антагоніст
कॉमर्स	комерційні
कॉमर्स	комерційна
कॉमर्स	комерційну
जीप	jeep
जीप	джип
चलाना	exec
चलाना	виконання
दादी	бабусі
दादी	бабуся
दादी	бабця
दादी	бабусю
दादी	бабуся
कमिश्नर	комісар
पहाड़ियाँ	пагорби
मैथ्यू	матвія
मैथ्यू	матвій
मैथ्यू	метью
गंधक	сірка
गंधक	сірка
षड्यंत्र	змова
प्रशस्त	твердим
अंडमान	андаманські
दूषित	пошкоджено
दूषित	пошкоджений
पश्च	задній
पश्च	строю
रीडर	reader
रीडर	читач
मिर्ज़ा	мірза
हीरे	діаманти
प्रशिक्षक	тренажер
प्रशिक्षक	інструктором
प्रशिक्षक	інструктор
नास्तिक	атеїзм
नास्तिक	атеїст
प्रचारित	рекламні
प्रचारित	підвищили
प्रचारित	рекламний
प्रवर्धक	підсилювач
फसलें	посіви
डायोड	діод
अमूर्त	абстрактний
सौभाग्य	фортуна
गैरी	гаррі
गैरी	гарі
गैरी	гері
साइमन	симон
साइमन	сімон
साइमन	саймон
कार्बोनेट	карбонат
हिब्रू	єврейська
हिब्रू	іврит
बर्ड	птахи
बर्ड	птаха
बर्ड	пташка
बर्ड	птах
आत्मसमर्पण	здатися
एथलेटिक्स	атлетика
तैराकी	плавання
चिट्ठा	блог
ठंड	холодні
ठंड	холодна
ठंड	холод
ठंड	холодно
ठंड	холодний
चूहे	миші
चूहे	мишей
चूहे	пацюки
चूहे	щурі
चूहे	щури
चूहे	щурів
लीड	веде
लीड	лід
लीड	свинець
लीड	ведучий
लीड	ліда
दरार	рифтова
दार्शनिकों	філософи
नेहरु	неру
संवेदना	співчуття
सॉफ़्टवेयर	програмний
सॉफ़्टवेयर	програми
सॉफ़्टवेयर	застосунок
परवाह	піклування
परवाह	догляд
परवाह	різниця
परवाह	дбає
बमबारी	обстріл
बमबारी	бомбардування
बमबारी	бомба
कीड़े	черви
कठपुतली	ляльковий
अधीनस्थ	підпорядкувати
ग्रीनहाउस	оранжерея
कैम्प	табір
कैम्प	табори
कैम्प	кам
किस्में	сортів
किस्में	різноманітність
किस्में	сорти
किस्में	різноманітності
विषाक्तता	отруєння
खोजी	дослідження
खोजी	подібній
सम्मेलनों	конференцій
चिंतित	складні
जॉर्डन	йорданії
जॉर्डन	джордан
एथलीट	спортсмен
एथलीट	спортсмени
विधिक	правові
विधिक	правова
विधिक	юридична
विधिक	юридичні
विधिक	юридичний
असुरक्षित	небезпечно
असुरक्षित	небезпечні
असुरक्षित	небезпечне
रेखीय	лінійна
रेखीय	лінійний
शहद	сонечко
शहद	мед
शहद	голубе
ऑपरेटर	оператор
ऑपरेटर	оператори
नल	нульовий
नल	фіктивних
प्रेसीडेंसी	президія
कुक	готувати
कुक	кухаря
कुक	кук
कुक	повар
कुक	кухар
मनी	гроші
मनी	mani
नारा	слоган
नारा	гасло
चढ़	rust
सेक्टर	сектор
सेक्टर	секторів
सेक्टर	сектори
महासागरीय	океанії
क्रियाशील	активна
क्रियाशील	активні
क्रियाशील	активне
क्रियाशील	активним
क्रियाशील	активний
क्रियाशील	прикметник
बैठकों	зустрічей
बैठकों	зустрічі
भट्ठी	піч
कारें	автомобілі
कारें	тачки
क्योकि	адже
क्योकि	бо
सभ्य	пристойний
सभ्य	гідною
सभ्य	гідна
विकलांगता	інвалідність
दरिया	дарія
दरिया	мельникова
नोट्स	нотаток
नोट्स	нотатки
नोट्स	примітки
कहें	say
कहें	скажуть
कहें	кажу
कहें	сказати
कहें	кажеш
एव	ave
सामी	самі
धर्मशास्त्र	теології
सीखा	вивчили
सीखा	навчився
सीखा	вивчив
सीखा	навчилися
आर्क	арк
आर्क	дуга
ट्रम्प	трамп
मौद्रिक	грошова
यीशु	ісус
चश्मे	окуляри
चश्मे	окуляри
एक्यूपंक्चर	акупунктура
प्लूटो	плутон
डेनियल	daniel
डेनियल	даніел
डेनियल	даніель
डेनियल	деніел
डेनियल	данило
डेनियल	данило
पैरिस	paris
पैरिस	париж
कामयाबी	успіх
प्रोटोटाइप	прототип
कुरु	куру
फर्क	відрізняти
फर्क	відрізнити
फर्क	різниця
फर्क	різниці
इयान	яном
इयान	ієн
दुग्ध	молочні
भयभीत	наляканий
भयभीत	злякався
भयभीत	переляканий
भयभीत	страшно
भयभीत	боюся
वसूली	відновленню
वसूली	відновлення
मौन	вимкнути
मौन	звук
मौन	німі
मौन	тиша
मौन	тиші
मौन	мовчання
डिप्लोमा	диплом
घटा	зменшити
पॉइंट	точки
पॉइंट	очки
पॉइंट	пункти
पॉइंट	очок
पॉइंट	балів
पॉइंट	точка
पॉइंट	точку
पॉइंट	point
त्वरण	прискорення
जमैका	ямайки
स्केल	масштаб
स्केल	шкала
मक्खन	масло
साम्राज्यवाद	імперіалізм
सूत	коттон
सूत	бавовна
इज़राइल	ізраїлі
इज़राइल	ізраїлю
इज़राइल	ізраїль
वैधता	чинний
वैधता	коректність
वैधता	правильність
वैधता	чинність
अनन्य	ексклюзивний
अनन्य	ексклюзив
अनन्य	ексклюзивні
सीना	cena
मिथक	міф
श्रृंगार	макіяж
श्रृंगार	грим
नतीजा	зараження
अर्ल	ерл
वेदान्त	веданта
निर्देशिका	каталог
निर्देशिका	index
निर्देशिका	покажчик
निर्देशिका	індекс
निर्देशिका	каталоги
निर्देशिका	каталогів
आंग्ल	англ
आंग्ल	англо
समता	парність
समता	рівність
समता	доходів
एवेन्यू	проспект
एवेन्यू	avenue
बेरोजगारी	безробіття
