категория	kategooria
през	läbi
като	nagu
като	meeldib
година	aasta
след	pärast
това	see
това	selle
това	seda
български	bulgaaria
българия	bulgaaria
част	osas
години	aastad
време	kellaaeg
време	aeg
време	aja
време	ajas
време	aega
със	koos
която	mis
което	mis
външни	välised
външни	välise
външни	väline
препратки	viited
град	linn
град	linna
град	linn
град	linna
град	city
много	väga
много	paljud
много	paljusid
много	palju
също	samuti
също	ka
век	sajandi
век	sajand
село	küla
село	külas
един	ühe
един	üks
между	vahel
около	ümber
около	ringi
софия	sofia
софия	sophia
други	muu
други	muud
други	muud
други	teised
още	ikkagi
още	ikka
още	rohkem
война	sõda
само	ainult
само	lihtsalt
област	regioon
област	piirkond
област	oblast
област	ringkond
област	rajoon
област	pindala
област	valdkond
област	piirkond
област	ala
под	all
община	omavalitsus
община	vald
място	koht
място	asukoht
когато	millal
когато	kui
вид	tüüp
вид	liigid
вид	liik
една	ühe
една	üks
всички	kõik
всички	kõik
всички	igaüks
семейство	pere
семейство	perekond
започва	algab
започва	algab
започва	alustab
македония	makedoonia
сащ	usas
сащ	usa
над	üle
над	eespool
над	ülalpool
над	ülal
него	teda
срещу	versus
срещу	vastu
тези	need
тези	neid
тези	need
души	hinged
мини	mini
мини	kaevandused
мини	miinid
мини	minnie
намира	leiab
република	vabariik
късно	hilja
късно	hiline
късно	hilinenud
май	mai
път	asukoht
път	rada
път	marsruut
път	maantee
път	tee
път	road
отбор	tiim
отбор	meeskond
няколко	vähesed
няколко	mitmed
няколко	mitu
август	august
август	aug
роден	sündis
роден	sündinud
беседа	vestlus
септември	september
септември	septembris
преди	enne
името	nimi
името	nimetus
името	name
името	nime
група	bänd
група	ansambel
група	rühm
група	grupp
група	grupis
език	keele
език	keel
език	keele
юли	juuli
някои	mõned
тях	neid
река	river
река	jõgi
януари	jaanuar
юни	juuni
юни	june
две	kaks
октомври	oktoober
октомври	okt
име	nimi
име	nimetus
име	name
име	nime
заедно	koos
заедно	üheskoos
фон	von
фон	tausta
фон	taust
американски	ameeriklane
американски	ameerika
американски	american
март	märts
ноември	november
ноември	novembris
ноември	nov
април	apr
април	aprill
декември	detsember
декември	dets
чрез	via
чрез	läbi
история	jutt
история	ajalugu
история	ajaloo
жители	elanikke
жители	elanikud
жители	elanikud
жители	residendid
различни	teistsugune
различни	erinevad
различни	erinev
различни	mitmesugused
без	ilma
често	sageli
често	tihtipeale
често	tihti
февруари	veebruar
работи	tööd
работи	töö
работи	tööle
работи	töötab
работи	toimib
провинция	provints
империя	impeerium
империя	impeeriumi
иван	ivan
център	keskus
център	keskele
център	center
център	keskel
център	keskus
повече	rohkem
вече	juba
сред	seas
сред	sekka
три	kolm
страна	riik
страна	külg
градове	linnad
градове	linnad
население	demograafia
население	populatsioon
население	populatsiooni
население	rahvastik
население	elanikkond
население	rahvaarv
завършва	otsad
завършва	lõpeb
завършва	lõppeb
бил	bill
бил	arve
малко	little
малко	väike
малко	vähe
хора	inimesed
хора	rahvas
хора	people
университет	ülikool
германия	saksamaa
могат	oskab
могат	saab
син	sinised
син	sinine
син	poja
син	poeg
награда	tasu
награда	autasu
награда	auhinna
награда	auhind
награда	auhinnaks
награда	auhind
георги	georgi
георги	georgi
голяма	suured
голяма	suure
голяма	suur
голяма	suured
голяма	big
голяма	suure
голяма	suur
италия	itaalia
сайт	koduleht
сайт	veebileht
сайт	veebisait
сайт	kodulehekülg
сайт	saidi
сайт	ala
участва	osaleb
световна	ülemaailmne
световна	ülemaailmselt
край	lõpp
уикипедия	wikipedia
използва	kasutab
сезон	hooaeg
окръг	maakond
окръг	ringkond
окръг	rajoon
днес	täna
смъртта	surma
смъртта	surm
франция	prantsusmaa
национален	siseriiklikud
национален	riiklik
национален	riiklikud
национален	siseriiklik
гърция	kreeka
вижте	vaata
вижте	vt
вижте	näed
русия	venemaa
английски	inglise
едно	ühe
едно	üks
първи	kõigepealt
първи	esmalt
първи	esimene
отново	uuesti
отново	taas
отново	jälle
член	parlamendiliige
член	liige
член	artikkel
височина	kõrgus
височина	kõrgus
височина	reljeefi
височина	kõrgus
дъщеря	tütar
там	seal
система	süsteemi
система	süsteem
система	system
нея	teda
нея	tema
училище	kooli
училище	koolis
училище	kool
били	billy
били	billie
света	sveta
света	maailma
света	maailm
села	külad
села	külasid
филми	filmid
филми	filmid
александър	aleksandr
александър	aleksander
александър	alexander
умира	sureb
умира	suremine
умира	suremas
южна	lõuna
южна	lõuna
южна	lõunasse
южна	lõunas
европа	euroopa
европа	europe
европа	europa
всеки	kõik
всеки	igaüks
всеки	iga
всеки	iga
части	osi
части	osad
баща	isa
нова	uued
нова	uus
нова	new
нова	nova
крал	king
крал	kuningas
крал	kunn
армия	armee
армия	sõjavägi
църква	kiriku
църква	kirik
докато	kuni
официален	ametlik
официален	ametnik
официален	ametlik
официален	ametliku
северна	põhi
северна	põhja
северна	põhjas
северна	põhja
времето	ilm
времето	kellaaeg
времето	aeg
времето	aja
времето	ajas
времето	aega
българска	bulgaaria
места	kohad
места	istmed
начин	way
период	periood
период	perioodi
период	ajavahemik
резултат	tulemus
резултат	skoor
резултат	punktisumma
резултат	tulemus
данни	andmed
страница	leht
страница	lehekülg
страница	page
страница	lehekülje
картинка	pilt
картинка	pildi
картинка	pilt
картинка	pildi
граф	graf
родени	sündis
родени	sündinud
играе	mängi
играе	mängib
играе	mängimas
играе	mängib
играе	mängimine
играе	mängivad
живот	life
живот	elu
тук	siin
император	imperaator
император	keiser
църквата	kiriku
църквата	kirik
ден	päev
ден	päeva
жени	naised
руски	vene
руски	venelane
известен	teada
известен	teadaolevad
известен	teadaolev
известен	tuntud
