של	шел
את	тебя
את	you
את	вы
את	ты
על	about
על	о
קטגוריה	категория
קטגוריה	категории
עם	с
עם	with
גם	также
גם	слишком
גם	тоже
זה	this
זה	это
זה	эта
זה	этот
זה	это
זה	that
היא	she
היא	она
היה	был
היה	было
היה	была
שיחה	переписку
שיחה	переписка
שיחה	разговор
שיחה	беседа
שיחה	звоните
שיחה	позвонить
שיחה	звонок
לאחר	после
לאחר	after
בין	фасоль
בין	бобы
בין	бин
בין	между
כל	всем
כל	всех
כל	all
כל	все
כל	любой
כל	любую
כל	любые
כל	любое
כל	любая
יותר	более
יותר	больше
יותר	еще
ישראל	израиль
אך	но
עד	до
יש	ура
שם	там
שם	имя
שם	название
בית	бейт
בית	дом
בית	дома
בית	домой
בית	домашний
בית	home
בית	house
בית	дом
בית	хауз
בית	хаус
הם	они
הייתה	был
הייתה	было
הייתה	была
אשר	ашер
אשר	эшер
אשר	ашер
אשר	которое
אשר	которая
אשר	которые
אשר	который
אשר	подтвердите
אשר	подтвердить
אשר	подтверждение
כמו	нравится
כמו	like
כמו	как
אחד	одна
אחד	one
אחד	одно
אחד	один
שמאל	левой
שמאל	слева
שמאל	налево
שמאל	осталось
שמאל	оставил
קישורים	связи
קישורים	ссылки
חיצוניים	внешнее
חיצוניים	внешние
חיצוניים	внешняя
חיצוניים	внешних
חיצוניים	внешний
הברית	альянс
מספר	число
מספר	номер
מספר	количество
בו	его
בו	ему
בו	бу
היו	были
רק	только
רק	просто
רק	только
כאשר	когда
כאשר	when
אותו	его
אותו	ему
בן	бэн
בן	бен
בן	сынок
בן	сын
שלו	его
שני	секунда
שני	второй
שני	вторая
שני	второе
שני	шани
שני	два
שני	две
שני	двое
שני	понедельник
לו	лью
לו	лу
מה	что
מה	какие
מה	какая
מה	какой
העולם	world
העולם	мир
העיר	town
העיר	город
העיר	городок
העיר	city
העיר	город
העיר	города
כן	да
כן	ага
שנים	годы
שנים	лет
שנים	years
אף	нос
אף	носом
רבים	многих
רבים	много
רבים	многим
רבים	многие
רבים	множественное
אבל	но
בה	ее
בה	ей
בה	её
אביב	авив
אביב	spring
אביב	весна
אביב	весенний
במאי	мая
במאי	мэй
במאי	май
במאי	майские
במאי	режиссер
במאי	режиссёр
במאי	директор
שנה	год
שנה	годы
שנה	лет
שנה	years
נולד	родилась
נולד	родился
הערות	отмечает
הערות	записки
הערות	примечания
הערות	ноты
הערות	заметки
הערות	замечания
הערות	комментарии
חלק	часть
חלק	частично
חלק	гладко
לפני	до
לפני	перед
לפני	прежде
אחת	одна
אחת	one
אחת	одно
אחת	один
ביולי	июль
שוליים	грань
שוליים	разницы
באוקטובר	октябрь
באוקטובר	октября
באוקטובר	октябрь
באוקטובר	октября
בשם	назвал
בשם	названа
במקום	вместо
אותה	ее
אותה	ей
אותה	её
החל	началось
החל	начало
החל	начинаю
החל	начиная
הרב	герб
הרב	херб
ארצות	стран
ארצות	страны
בינואר	январь
בינואר	января
במרץ	марш
במרץ	март
במרץ	марта
ראש	head
ראש	головка
ראש	голова
ראש	голову
ראש	раш
חיים	life
חיים	жизнь
חיים	жизни
חיים	хаим
חיים	хаим
המאה	век
המאה	столетие
בנובמבר	ноября
בנובמבר	ноябрь
בדצמבר	декабрь
לי	ли
תל	тел
בבית	дом
בבית	дома
בבית	домой
בבית	домашний
בבית	home
ערך	ценность
ערך	значение
ערך	величина
ערך	стоимость
בפברואר	февраля
בפברואר	февраль
אלו	эти
זמן	время
זמן	времени
זמן	тайм
זמן	time
אחר	другой
אחר	другая
אחר	другое
אחר	другие
אחר	прочие
בני	бени
בני	бенни
בני	сынок
בני	сын
בעיקר	преимущественно
אתר	вебсайт
אתר	сайт
אתר	сайт
אתר	эфира
אתר	эфир
ללא	без
שונים	разные
שונים	различных
שונים	различных
שונים	различные
אדם	человек
אדם	адам
אדם	адама
אדם	человеческое
אדם	человеческая
אדם	человек
אדם	человека
אדם	чел
אדם	мужик
אדם	человек
אדם	мужчина
אדם	man
כלל	правило
עוד	более
עוד	больше
עוד	еще
דבר	вещь
דבר	штука
דבר	поговорить
דבר	разговор
דבר	говорить
דבר	разговоры
דבר	говорите
דבר	говорить
דבר	говори
אחרים	другой
אחרים	другая
אחרים	другое
אחרים	другие
אחרים	прочие
אחרים	другие
אחרים	прочие
ספר	книга
ספר	книгу
ספר	парикмахер
ספר	барбер
ספר	рассказать
ספר	расскажите
נגד	против
לה	ее
לה	ей
לה	её
זכה	победила
זכה	выиграла
זכה	выиграл
זכה	победил
אחרי	после
אחרי	after
אולם	однако
הן	они
יום	день
יום	day
יום	дэй
יום	хьюм
אלה	эти
אלה	элла
אלה	богиня
כבר	уже
ירושלים	иерусалим
המדינה	штат
המדינה	состояние
המדינה	государство
מקום	место
מאוד	очень
יהודים	еврейские
יהודים	еврейский
יהודים	еврейских
יהודים	еврейская
יהודים	еврей
יהודים	евреи
יהודים	евреев
יהודים	иудеи
יהודים	евреи
רבות	многих
רבות	много
רבות	многим
רבות	многие
כמה	некоторых
כמה	некоторые
מטר	ноги
מטר	стопы
מטר	ступни
מטר	метр
מטר	метрах
מטר	метров
מטר	счетчик
מטר	метр
מטר	метров
דרך	виа
דרך	via
דרך	через
דרך	сквозь
דרך	через
דרך	путь
דרך	way
דרך	способ
שנת	год
יכול	может
יכול	мог
יכול	могла
יכול	может
יכול	могу
יכול	можно
יכול	can
באמצעות	виа
