年	any
月	lluna
月	mesos
月	mes
日	jornada
日	dia
村	poble
村	aldea
人	home
人	man
人	gent
人	persones
小行星	asteroides
小行星	asteroide
德	tak
重	heavy
重	pesats
重	pesada
重	pesant
重	pesades
一	one
定向	orientació
定向	direccional
但	però
也	també
後	after
後	després
留言	missatge
市	ciutat
市	municipi
克	grams
新	nova
新	nou
新	noves
站	estació
站	stand
州	estat
研究	estudi
研究	estudis
研究	recerca
研究	investigació
日本	japó
日本	japan
三	valldoreix
三	tres
前	abans
家	domicili
家	llar
米	arròs
米	metres
多	més
使用	ús
使用	utilitzant
使用	usant
使用	usa
使用	utilització
使用	ús
使用	emprat
使用	utilitzat
使用	utilitzats
使用	usat
基	kei
王	king
王	rei
王	wang
林	lam
林	lin
公司	corporatives
公司	corporativa
公司	companyia
公司	empresa
公司	empreses
公司	companyies
李	lee
一個	one
西	oest
省	província
省	governació
省	voivodat
度	graus
度	grau
卡	cartes
卡	targetes
卡	targeta
二	dos
二	dues
小	petita
小	petites
相似	similars
相似	semblants
相似	similar
相似	semblança
相似	similitud
區	zona
區	districte
區	àmbit
區	àrea
人口	demografia
人口	demogràfica
人口	demografia
人口	població
四	four
四	quatre
政府	governs
政府	govern
道	dao
將	will
將	voluntat
高	alta
高	high
高	alt
高	gao
美國	amèrica
集	estableix
集	conjunt
集	episodi
台灣	taiwan
布	tela
世界	món
世界	world
南	nan
南	sud
南	nam
路	carretera
路	road
五	five
五	cinc
本	ben
金	jin
金	or
金	gold
金	kim
曾	zeng
文	wen
林肯	lincoln
人民	gent
人民	persones
包括	inclòs
包括	incloure
包括	inclòs
包括	inclou
峰	cims
峰	pics
其他	altres
其他	altres
塔	pagoda
塔	torre
塔	tower
縣	comtat
縣	cantó
第一	primer
第一	primera
第一	primers
任	ren
時間	temps
時間	time
比	proporció
比	ràtio
元	meta
元	yuan
元	dòlar
元	guanyat
中國	xina
六	sis
六	six
主要	major
主要	main
主要	principals
主要	principal
城	ciutat
城	castell
法	mètode
中心	centres
中心	centra
中心	center
中心	centre
中心	centre
線	línia
線	línies
線	fil
第二	segon
第二	segona
山	muntanya
山	mont
山	turó
山	muntanyes
加	afegir
加	afegeix
加	plus
太空	espai
張	chang
張	zhang
主	lord
主	senyor
雷	ray
管理	gestió
管理	gestiona
管理	gestionar
建	construir
建	construït
建	construit
建	edificat
性	sexualitat
性	sexual
性	sexe
性	sex
成	cantada
成	cantat
代表	representants
代表	representant
代表	delegat
那	aleshores
那	llavors
公里	quilòmetres
公里	quilòmetre
公里	cicloturista
公里	kms
公里	kilòmetres
海	mar
海	oceà
海	ocean
這	això
這	aquesta
這	aquest
大學	universitats
大學	universitat
大學	college
版	versió
從	from
羅	luo
原	original
原	hara
工作	treball
工作	feina
工作	treball
工作	treballs
工作	treballant
北	kita
北	nord
政治	política
星	estel
星	estrella
星	estels
星	estrelles
她	ella
陳	chen
陳	chan
陳	trần
面	fideus
作品	obres
河	riu
文化	cultura
文化	cultures
馬	cavalls
馬	cavall
氏	clan
更	més
曼	mann
電影	cinema
電影	film
季	temporada
季	temporades
季	estacions
龍	dracs
龍	dragons
龍	pulmó
龍	drac
女	dona
女	femení
女	femella
正式	formalment
正式	oficialment
正式	formals
明	ming
美	bellesa
字	paraula
字	paraules
因為	perquè
因為	perque
北京	pequín
北京	beijing
不同	diferent
不同	diferents
足球	soccer
足球	futbol
目前	actuals
目前	actual
目前	corrent
目前	actualment
所有	tots
所有	totes
部分	parcials
部分	parcialment
中央	centrals
中央	central
森	sen
郡	comtat
國家	estats
國家	país
國家	estat
國家	national
國家	nacional
國家	països
球	pilota
生	cru
生	raw
但是	però
街	carrer
提供	aportada
提供	proveir
提供	aportar
提供	proporcionar
城市	ciutat
城市	ciutats
一些	alguns
一些	algunes
長	llarga
長	llarg
長	long
水	aigua
人物	caràcter
人物	personatge
軍	exèrcit
加入	uneix
英	ying
上海	shanghai
上海	xangai
史	shi
第三	tercera
第三	tercer
魚	peixos
魚	peix
波	ona
回	esquena
無	cap
吉	kat
你	tu
你	vostè
方	fang
話	dialecte
東	est
東	dong
英國	anglaterra
周	setmana
周	setmanes
周	zhou
周	chow
石	shi
石	pedra
事件	incident
事件	incidents
事件	esdeveniments
事件	esdeveniment
建立	creació
建立	establiment
建立	construir
生活	vivint
