警部補	лейтенант
諸侯	лордов
スキャンダル	скандал
トンプソン	томпсон
テラス	терраса
キプロス	кипра
キプロス	кипр
キプロス	кипре
キプロス	киприотов
ナイジェリア	нигерии
ナイジェリア	нигерии
ナイジェリア	нигерию
ナイジェリア	нигерия
ターナー	тернер
ターナー	тёрнер
調和	гармонию
調和	гармония
調和	гармонии
タニア	таня
笑う	смех
笑う	смеются
笑う	смеётся
笑う	смеяться
笑う	смех
笑う	смеяться
アゼルバイジャン	азербайджан
サントス	сантос
支出	расходы
支出	расходы
剣術	кэндзюцу
マインド	разум
マインド	ум
知多	чита
ベオグラード	белграде
ベオグラード	белград
ミゲル	мигель
三船	мифунэ
元老院	сенат
元老院	сенате
銘柄	бренд
銘柄	бренда
表彰台	подиум
表彰台	трибуны
見通し	перспектива
見通し	проспект
肺炎	пневмония
三角形	треугольник
クジラ	китов
クジラ	кит
クジラ	кита
レーニン	ленина
叫び	крик
叫び	крики
叫び	кричать
叫び	кричит
叫び	кричат
叫び	крик
叫び	кричать
ヴュルテンベルク	вюртемберг
ハープ	арфе
ソプラノ	сопрано
知人	знакомство
知人	знакомый
知人	знакомые
知人	знакомых
北京市	пекин
北京市	пекинской
アミノ酸	амино
遂に	наконец
ムード	настроение
ムード	настроения
パブリッシング	издательство
パブリッシング	публикация
薬局	аптека
薬局	аптеке
薬局	аптека
薬局	аптеки
薬局	аптеке
速水	хаями
ジョヴァンニ	джованни
カラス	ворон
カラス	ворона
カラス	кроу
模倣	имитация
序曲	overture
ウォルト	уолт
発酵	ферментации
伯父	дядя
伯父	дядюшка
楽しい	кайф
楽しい	веселье
楽しい	весело
楽しい	прикольно
楽しい	веселые
トマト	томатный
トマト	помидоры
トマト	помидоры
騒音	шум
英明	мудрый
英明	мудро
英明	мудрое
英明	мудрые
基質	субстрата
流す	смыть
流す	флэш
流す	флеш
流派	школ
流派	школы
エステル	эстер
エステル	эстель
ラルフ	ральф
ノーマル	нормальный
ノーマル	нормальная
ノーマル	нормально
ノーマル	обычный
ノーマル	нормальное
布施	предохранитель
インタフェース	интерфейс
インタフェース	интерфейсы
遺物	артефакт
遺物	реликвий
ナチュラル	естественные
ナチュラル	естественный
ナチュラル	естественное
ナチュラル	природных
ナチュラル	натуральные
ナチュラル	натуральный
ボヘミア	богемии
ディアス	диас
ディアス	диас
ディアス	диаз
チャイナ	china
チャイナ	китай
こだわり	одержимость
ディフェンダー	защитника
ディフェンダー	защитник
入国	иммиграция
入国	иммиграции
入国	высадки
ラード	сало
代理人	представитель
代理人	представителю
代理人	представителя
代理人	агент
レンツ	ленц
売春	проституция
