marilyn	マリリン
vincennes	ヴァンセンヌ
vincennes	ヴィンセンス
koyama	小山
cabin	キャビン
cabin	船室
simone	シモーネ
simone	シモーヌ
gifu	岐阜
rệp	バグ
rệp	不具合
rệp	クリープ
tanganyika	タンガニーカ
sacramento	サクラメント
genji	源氏
lecco	レッコ
wallis	ウォリス
hoét	ツグミ
jericho	エリコ
thatcher	サッチャー
faber	フェイバー
zip	zip
moravia	モラヴィア
tagawa	田川
nal	nal
fermat	フェルマー
raoul	ラウル
wiener	ウィーナー
colt	コルト
clarence	クラレンス
watt	ワット
watt	ワッツ
yoko	洋子
yoko	ヨーコ
caracas	カラカス
bomb	爆弾
sarkozy	サルコジ
judy	ジュディ
astronomy	天文学
pom	pom
mầu	カラー
poker	ポーカー
humeralis	humeralis
tal	タル
aya	あや
aya	aya
meade	ミード
dorothy	ドロシー
mcmahon	マクマホン
epstein	エプスタイン
jobs	ジョブ
jobs	求人
safari	サファリ
safari	safari
atr	atr
bonnie	ボニー
bonnie	bonnie
campobasso	カンポバッソ
gnome	ノーム
gnome	gnome
gutenberg	グーテンベルク
guild	ギルド
novo	ノヴォ
vita	ヴィータ
nxb	nxb
nantes	ナント
stay	滞在
stay	ステイ
hersilia	hersilia
worms	ミミズ
enrico	エンリコ
nháy	flash
nháy	フラッシュ
nháy	打撃
nháy	点滅
calhoun	カルフーン
alfredo	アルフレード
castilla	カスティーリャ
dayton	デイトン
takeo	武雄
bougainville	ブーゲンビル
thun	トゥーン
vulcan	バルカン
superman	スーパーマン
champ	チャンプ
saints	聖徒
saints	セインツ
sasebo	佐世保
kochi	高知
perez	ペレス
jerome	ヒエロニムス
jerome	ジェローム
rapunzel	ラプンツェル
pacifica	パシフィカ
hentz	hentz
trọc	ハゲ
meiji	明治
neal	ニール
sạc	充電器
sạc	チャージャー
sạc	チャージ
sạc	課金
sạc	充電
sạc	チャージ
sạc	充電
imax	imax
fossil	化石
bart	バート
rightarm	rightarm
karachi	カラチ
suvarnabhumi	スワンナプーム
commonwealth	コモンウェルス
cactus	サボテン
leroy	リロイ
cdp	cdp
dinamo	dinamo
biswas	biswas
prostějov	prostějov
mitterrand	ミッテラン
doug	ダグ
aoi	あおい
aoi	aoi
arroyo	アロヨ
anelosimus	anelosimus
oss	oss
alpine	高山
henrik	ヘンリク
sicily	シチリア
cream	クリーム
grimm	グリム
reeves	リーブス
finn	フィン
cassette	カセット
zlín	ズリーン
ufo	ufo
mendes	メンデス
cristiano	クリスティアーノ
aberdeen	アバディーン
platinum	プラチナ
platinum	白金
arad	arad
wikitable	wikitable
gfdl	gfdl
savoy	サヴォイ
savoy	サヴォワ
deportivo	デポルティーボ
cyprus	ヒノキ
bio	バイオ
kuban	クバーニ
fig	イチジク
electra	エレクトラ
neglecta	neglecta
