から	от
日本	япония
日本	nippon
この	това
まで	докато
まで	тил
また	също
もの	неща
もの	нещата
大学	университетите
大学	университети
大学	университет
大学	university
大学	университета
大学	колежа
大学	колежът
大学	колеж
大学	колежи
大学	колежите
テレビ	телевизори
テレビ	телевизия
テレビ	телевизията
テレビ	телевизор
放送	излъчване
放送	излъчване
放送	излъчването
東京	токио
削除	изтрит
削除	изтрита
削除	изтрито
削除	изтрити
削除	изтриването
削除	заличаване
削除	премахнете
削除	премахване
削除	махнете
削除	изтриване
削除	изтриете
削除	изтрий
現在	ток
現在	текущ
現在	текуща
現在	текущи
現在	настоящ
現在	понастоящем
現在	подарък
現在	настояще
現在	присъстващи
学校	училища
学校	школи
学校	училищата
学校	училището
学校	школа
学校	училище
これ	това
世界	свят
世界	света
アメリカ	америка
でも	но
について	относно
作品	работи
作品	произведения
作品	дискография
時代	епоха
時代	ерата
時代	ера
映画	филмова
映画	филм
映画	киното
映画	кино
映画	филм
映画	лента
映画	филми
監督	директорът
監督	режисьор
監督	директор
監督	надзор
鉄道	железници
鉄道	железница
鉄道	железници
鉄道	железници
鉄道	железница
鉄道	железопътен
使用	използване
使用	употреба
使用	използвайте
出演	изяви
出演	появата
出演	появяване
出演	поява
出演	хвърли
出演	гипс
明治	мейджи
時間	часове
時間	час
時間	времето
時間	време
開始	започнете
開始	начало
開始	старт
開始	започнете
開始	стартиране
開始	започване
シリーズ	серия
シリーズ	поредица
シリーズ	сериал
シリーズ	серии
のみ	само
のみ	единствено
記事	статия
記事	член
記事	приказка
記事	история
記事	истории
記事	разкази
記事	изделия
記事	статии
記事	артикули
活動	дейности
活動	занимания
選手	играчи
選手	спортисти
選手	атлети
選手	спортистите
しかし	но
研究	изследвания
研究	проучвания
研究	проучване
研究	проучвания
研究	изследване
研究	изследвания
会話	разговор
会話	разговори
会話	беседа
会話	разговори
大阪	осака
大会	конвенция
大会	конгрес
チーム	отбори
チーム	екипи
チーム	тийм
チーム	отбор
チーム	отбора
チーム	екип
チーム	team
存在	съществуването
存在	съществуване
作詞	текстове
作詞	текст
所属	принадлежност
所属	принадлежат
国際	международно
国際	международен
国際	интернешънъл
国際	международни
国際	международна
一部	някои
一部	частично
一部	отчасти
結果	резултат
結果	резултата
結果	резултати
アルバム	албум
アルバム	албуми
アルバム	албумите
バス	автобусът
バス	автобус
バス	бус
バス	бас
バス	баса
バス	костур
バス	автобуси
バス	автобусите
ゲーム	хазарт
ゲーム	игри
ゲーム	мач
ゲーム	гейм
ゲーム	играта
ゲーム	игра
ゲーム	игри
問題	издаване
問題	проблем
問題	проблеми
問題	проблемите
問題	въпроси
問題	проблеми
リーグ	лигата
リーグ	лига
リーグ	лиги
リーグ	лига
利用	изкупи
開発	развитие
開発	разработване
開発	разработка
事業	бизнес
決定	решението
決定	решение
決定	решения
音楽	music
音楽	музиката
音楽	музика
転送	напред
転送	трансфер
転送	преместване
転送	прехвърляне
転送	предава
転送	трансфери
転送	преводи
情報	информация
情報	info
情報	инфо
情報	информация
情報	информиране
公式	формула
公式	официален
公式	официално
公式	официална
参加	присъединяване
参加	участието
参加	участие
地域	райони
地域	региони
地域	регионите
地域	район
地域	регион
地域	област
変更	промени
変更	промените
変更	изменения
変更	промени
変更	смяна
変更	промяна
編曲	уредено
編曲	подредени
編曲	уреден
編曲	уговорено
編曲	подредба
編曲	уговорка
編曲	споразумение
サイト	сайт
サイト	сайтове
記録	записване
記録	запис
記録	рекорд
記録	запис
関係	взаимоотношения
関係	отношения
クラブ	club
クラブ	клуб
クラブ	клубът
クラブ	клубове
クラブ	спатия
クラブ	клубовете
クラブ	стикове
中央	централно
中央	централен
中央	централа
中央	централни
中央	централна
中央	център
中央	център
同じ	същият
同じ	същата
同じ	същото
設立	установен
設立	установена
設立	установени
設立	установено
設立	включването
設立	учредяване
設立	учреждение
設立	установяване
考え	мислене
考え	мисли
教育	обучение
教育	образование
教育	възпитание
プロ	про
プロ	pro
プロ	професионалист
設置	инсталация
設置	монтаж
設置	инсталиране
設置	монтиране
設置	инсталации
発表	обявяване
発表	съобщение
発表	обявление
小学校	елементарен
小学校	елементарно
小学校	елементарна
小学校	начално
編集	редактиране
編集	редакции
編集	редактиране
編集	монтаж
シーズン	сезон
シーズン	сезона
シーズン	сезоните
シーズン	сезони
ファイル	досиета
ファイル	файлове
ファイル	файл
ファイル	файлът
ファイル	досие
フランス	франция
都市	град
都市	градът
都市	сити
都市	city
都市	градове
都市	градовете
出版	издател
出版	издателство
出版	публикуване
出版	издателство
出版	публикация
出版	публикуване
会社	твърда
会社	фирма
会社	твърдо
会社	твърд
会社	дружество
会社	компания
会社	company
会社	рота
会社	фирма
会社	дружества
会社	фирми
会社	компании
世紀	вековете
世紀	столетия
世紀	векове
世紀	век
世紀	вековен
世紀	века
ノート	забележка
ノート	бележка
ノート	тетрадки
ノート	забележки
ノート	записки
ノート	бележки
ノート	ноти
ノート	тефтер
ノート	тетрадката
ノート	бележник
ノート	тетрадка
京都	киото
社会	общество
社会	обществото
社会	общества
ドイツ	германия
開催	държана
開催	проведе
開催	държани
開催	държан
シングル	необвързан
シングル	единична
シングル	сингъл
シングル	необвързана
シングル	единичен
センター	център
センター	център
終了	завърши
終了	довърши
終了	довърша
終了	край
終了	завършен
終了	излизане
終了	изход
終了	напускане
中心	център
中心	център
内容	съдържание
内容	съдържание
文化	култура
イギリス	англия
ドラマ	драмата
ドラマ	драма
ドラマ	драми
さらに	допълнително
中国	порцелан
中国	китай
中国	чайна
撮影	кинематография
撮影	фотографията
撮影	фотография
撮影	снимам
撮影	снимането
撮影	снимаш
撮影	снимане
選手権	първенство
選手権	шампионат
選手権	първенство
選手権	шампионат
野球	бейзбол
野球	бейзбола
野球	бейзболът
指定	обозначение
指定	означение
指定	обозначаване
指定	определяне
指定	посочете
指定	уточни
位置	позиция
位置	положение
位置	длъжност
以下	долу
以下	отдолу
マン	ман
卒業	завърши
卒業	завършила
卒業	завършил
卒業	дипломирането
卒業	дипломиране
卒業	завършване
人物	човек
人物	личност
公開	публично
公開	публични
公開	публична
公開	обществено
公開	публичен
公開	обществени
公開	публикува
公開	публикуване
公開	публикувайте
北海道	хокайдо
最終	последно
最終	последен
最終	последни
最終	последна
最終	финал
最終	краен
最終	окончателно
アニメ	аниме
確認	потвърждение
確認	потвърждаване
確認	потвърждение
確認	потвърждавам
確認	потвърждаване
確認	потвърди
一般	обща
一般	общи
一般	генерал
歴史	историята
歴史	история
選挙	изборите
選挙	избори
選挙	избори
計画	планирани
計画	планирана
計画	планирано
計画	планиран
計画	планиране
計画	план
計画	планове
経済	икономиките
経済	икономики
経済	икономия
経済	икономика
ページ	страница
ページ	страницата
ページ	page
ページ	страници
教授	професор
ラジオ	radio
ラジオ	радиото
ラジオ	радио
劇場	театър
劇場	театър
グループ	група
グループ	групово
グループ	групиране
グループ	групова
グループ	групи
英語	английски
英語	bulgarian
英語	англичани
女性	жената
女性	жена
女性	женско
女性	жена
女性	женски
女性	женска
女性	жени
女性	жените
地区	окръг
地区	област
地区	район
獲得	печелят
得点	резултат
コメント	коментар
コメント	коментирайте
コメント	коментирам
コメント	коментира
コメント	мнение
コメント	забележки
コメント	коментари
コメント	мнения
漫画	комикс
漫画	комикси
漫画	манга
他の	другите
他の	други
就任	допускане
就任	предположение
販売	продава
販売	продаване
販売	продажба
販売	продажби
販売	продажбите
攻撃	атакува
攻撃	атентати
攻撃	атаки
攻撃	нападения
攻撃	атака
サッカー	футбол
リー	лии
リー	лий
議員	сенатор
全国	национално
デビュー	дебют
協会	сдружение
協会	асоциация
協会	асоцииране
路線	маршрутите
路線	пътища
路線	маршрути
フジ	фуджи
戦争	войната
戦争	война
戦争	войните
戦争	войни
製作	продукция
製作	производство
部分	част
番号	брой
番号	число
番号	номер
当初	първоначално
最初	първи
最初	първо
受賞	награди
受賞	възлагане
受賞	награда
期間	времетраене
期間	продължителност
期間	период
広島	хирошима
場所	място
場所	местоположение
場所	място
場所	местонахождение
場所	локация
場所	места
技術	технология
技術	технологии
海軍	флот
リンク	връзка
リンク	линк
リンク	връзки
合併	сливане
合併	сливания
道路	пътища
道路	пътят
道路	път
道路	road
道路	пътя
特定	конкретни
特定	специфично
特定	специфичен
特定	специфична
特定	специфични
特定	посочен
特定	посочена
特定	посочени
特定	уточнени
特定	посочено
朝日	асахи
意味	смисъл
意味	значения
システム	система
システム	системата
システム	системни
システム	системи
モデル	модели
モデル	образци
モデル	моделите
モデル	образец
モデル	модел
対応	кореспонденцията
対応	кореспонденция
列車	влака
列車	влакът
列車	влак
列車	влакове
列車	влаковете
建設	изграждане
建設	строеж
建設	конструкция
建設	строителство
とき	когато
とき	кога
最後	последно
最後	последен
最後	последни
最後	последна
科学	науката
科学	наука
理由	причини
理由	причина
一つ	една
一つ	един
一つ	едно
ブロック	блокове
ブロック	блокчета
ブロック	блокиране
ブロック	блок
車両	возила
車両	автомобили
車両	автомобил
車両	возило
自動車	автомобил
自動車	кола
自動車	колата
自動車	автомобил
人口	популации
人口	популация
人口	население
特に	особено
特に	особено
営業	бизнес
発生	възникване
発生	настъпване
新聞	вестник
新聞	вестници
新聞	вестниците
新聞	вестници
連続	приемственост
連続	непрекъсната
連続	непрекъснати
連続	непрекъснат
政府	правителство
構成	настройване
構成	конфигурация
構成	състав
構成	композиция
構成	структура
構成	конструкция
構成	конфигурации
構成	състави
最大	максимална
最大	максимален
最大	максимум
最大	максимално
キャラクター	характер
キャラクター	знаци
キャラクター	герои
