پُکھراج	топаз
پکھڑی	лепесток
پکھوا	поддержки
پکھوا	поддержка
پکھوا	поддержку
پکھوا	поддерживаю
پکھوا	фланг
پکھوا	сторона
پکھوا	стороне
پکھوا	круг
پکَھوٹا	фланг
پکَھوٹا	крыло
پکَھوٹا	крыла
پکَھوٹا	сторона
پکَھوٹا	стороне
پکھیرو	птичка
پکھیرو	бёрд
پکھیرو	птицы
پکھیرو	птица
پگ	фут
پگ	нога
پگ	ногу
پگ	тюрбан
پگ	шаг
پگا	семья
پگا	семейство
پگا	семейное
پگا	семьи
پگا	родные
پگا	потомство
پگار	оклады
پگار	оклад
پگار	окладов
پگار	зарплата
پگار	дорога
پگار	дорожной
پگار	road
پگار	роуд
پگار	путь
پگار	оплатить
پگار	платить
پگار	заплатить
پگار	оплата
پگار	гарден
پگار	сад
پگار	garden
پگار	заработная
پگار	зарплата
پگاہ	утро
پگاہ	morning
پگاہ	рассвете
پگاہ	рассвет
پگاہ	дон
پگڑی	индивидуальные
پگڑی	отдельных
پگڑی	индивидуальное
پگڑی	индивидуальный
پگڑی	индивидуальная
پگڑی	человек
پگڑی	индивидуальные
پگڑی	отдельных
پگڑی	индивидуальное
پگڑی	индивидуальный
پگڑی	индивидуальная
پگڑی	человек
پگڑی	тюрбан
پگّل	сумасшедшая
پگّل	сумасшествие
پگّل	безумие
پگّل	безумно
پگّل	сумасшедший
پگّل	безумная
پگّل	бешеный
پگّل	безумный
پگلا	сумасшедшая
پگلا	сумасшествие
پگلا	безумие
پگلا	безумно
پگلا	сумасшедший
پگلا	безумная
پگلا	бешеный
پگلا	безумный
پگنا	обожаю
پگوڈا	пагода
پگھارنا	промыть
پگھارنا	мыть
پِگھلانا	смягчить
پِگھلنا	доходность
پِگھلنا	урожайности
پِگھلنا	оттепель
پُل	мостик
پُل	мост
پُل	бридж
پلّا	шад
پلّا	мишень
پلّا	цель
پلّا	ножницы
پلّا	расстояние
پِلّا	щенка
پِلّا	щенок
پلاتک	беглеца
پلاتک	беглец
پلاس	холст
پِلپِل	перец
پِلپِل	пеппер
پِلپِلا	трусливый
پِلپِلا	периферического
پِلپِلا	робкий
پِلپِلا	мягкий
پِلپِلا	нежная
پِلپِلا	мягкая
پِلپِلا	мягкое
پِلپِلا	мягкие
پِلپِلاہٹ	мягкость
پُلپُلاہٹ	мягкость
پُلپُلاہٹ	страх
پلٹا	месть
پلٹا	революция
پلٹا	революции
پلٹانا	возвращения
پلٹانا	возврат
پلٹانا	вернуть
پلٹانا	вернуться
پلٹانا	возвращение
پلٹائو	противоречие
پلٹائو	противоречия
پلٹائو	реакция
پلٹائو	реакции
پلٹن	взвод
پلٹن	толпы
پلٹن	толпа
پلٹن	мафия
پلٹن	моб
پلٹن	мафии
پلٹن	толпа
پلٹنا	возвращения
پلٹنا	возврат
پلٹنا	вернуть
پلٹنا	вернуться
پلٹنا	возвращение
پلٹنا	отступить
پلٹنا	отступать
پلٹنا	отступление
پلستر	штукатурка
پلشت	загрязненных
پلشتی	загрязнение
پلشتی	примесей
پلک	мгновение
پلک	момент
پلک	минута
پلنا	колыбели
پلنا	процветать
پِلنا	шторм
پِلنا	буря
پِلنا	гроза
پِلنا	нападение
پِلنا	атака
پِلنا	атаковать
پِلنا	атаку
پُلندا	кучи
پُلندا	куча
پُلندا	bundle
پُلندا	стек
پلنگ	кровати
پلنگ	постель
پلنگ	кровать
پلنگ	гепард
پلنگ	кровати
پلنگ	постель
پلنگ	кровать
پلنگ	гепард
پلُّو	край
پلُّو	краю
پلُّو	края
پِلُّو	червь
پلوآ	приручить
پلُوتا	проклятие
