och	un
med	med
med	ar
som	patīk
som	like
som	kas
som	kuras
som	kura
runt	ap
runt	apkārt
runt	apaļš
runt	apaļi
runt	kārta
runt	apaļa
månaden	ikmēneša
månaden	mēneša
månaden	mēnesis
månaden	mēnesi
nederbörd	nokrišņu
nederbörd	nokrišņi
ligger	meli
ligger	meliem
ligger	melus
ligger	melu
ligger	atrodas
ingår	iekļāva
ingår	iekļauta
ingår	iekļauti
ingår	iekļautas
ingår	iekļauts
ingår	ietilpst
ingår	ietver
att	ka
att	tas
ett	viens
ett	viena
ett	vienu
över	pār
familjen	saime
familjen	ģimene
familjen	ģimenē
familjen	ģimenes
för	par
för	priekš
för	for
inga	nav
inga	neviena
inga	inga
delen	daļa
släktet	ģints
underarter	pasugas
life	life
life	dzīve
life	dzīvi
life	dzīvība
listade	uzskaitītie
listade	uzskaitītas
listade	uzskaitīti
listade	uzskaitīts
landet	valsts
meter	metru
meter	metri
meter	metrus
meter	metri
meter	skaitītāji
meter	mērītāji
meter	mērītājs
meter	būvētavas
huvudstaden	kapitolijs
huvudstaden	kapitāls
huvudstaden	galvaspilsēta
havet	jūra
havet	okeānā
havet	okeāns
havet	okeāna
kallaste	aukstākā
invånare	iedzīvotāji
invånare	rezidenti
invånare	iedzīvotāji
invånare	pilsoņus
invånare	pilsoņi
invånare	iedzīvotāji
januari	janvāris
januari	janvāra
januari	janvārī
millimeter	milimetriem
millimeter	milimetri
millimeter	milimetru
genomsnitt	vidējais
genomsnitt	vidēji
genomsnitt	vidējā
genomsnittlig	vidējais
genomsnittlig	vidēji
genomsnittlig	vidējā
var	bija
var	tika
var	kur
var	ja
juli	jūlija
juli	jūlijs
juli	jūlijā
juli	juli
han	han
per	per
vattendrag	ūdensteču
vattendrag	ūdensteces
vattendrag	upēm
vattendrag	upēs
vattendrag	upes
från	no
kanada	kanāda
provinsen	province
provinsen	ils
närheten	tuvuma
men	bet
men	taču
högsta	augstākā
högsta	augstākās
högsta	maksimālais
högsta	maksimums
högsta	maksimālā
högsta	maksimāli
högsta	visaugstākā
högsta	augstākā
högsta	augstākais
högsta	augstāko
augusti	augusts
augusti	augustā
kan	varēja
kan	varētu
kan	var
kan	varam
länkar	saites
länkar	links
externa	ārējais
externa	ārējs
externa	ārējā
läge	vieta
läge	novietojums
läge	režīms
även	pat
även	arī
februari	februārī
februari	februāra
februari	februāris
under	laikā
under	zem
lake	ezera
lake	ezers
sjö	ezera
sjö	ezers
sjö	jūra
inte	nav
inte	ne
kommun	novads
kommun	pašvaldība
två	divas
två	divus
två	divi
lac	lac
terrängen	apvidus
terrängen	reljefa
long	ilgi
long	garais
long	gara
long	garas
long	garš
juni	juni
juni	jūnijs
juni	jūnija
juni	jūnijā
lat	lat
lat	slinks
december	decembrī
december	decembris
december	decembra
december	decembrim
växer	aug
växer	audzēšanas
växer	audzēšana
växer	augt
växer	aug
många	daudziem
många	daudz
många	daudzi
många	daudzus
många	daudzas
efter	pēc
nära	aizvērt
nära	tuvu
nära	tuvu
nära	netālu
väster	rietumu
väster	rietumos
väster	rietumi
väster	west
provins	province
provins	ils
öster	austrumos
öster	austrumu
öster	austrumi
först	pirmais
först	pirmā
först	pirmās
först	pirmie
först	pirma
först	vispirms
berg	kalns
berg	kalnu
berg	berg
berg	kalni
berg	kalnos
indonesien	indonēzija
usa	asv
usa	usa
mars	marta
mars	martā
mars	marts
mars	mars
mindre	mazākā
mindre	mazāki
mindre	mazākas
mindre	mazāks
mindre	mazāka
mindre	maznozīmīgi
mindre	nelielas
mindre	mazāk
norr	ziemeļi
norr	ziemeļos
norr	ziemeļu
oktober	oktobris
oktober	oktobrī
man	cilvēks
man	vīrietis
man	vecīt
september	septembris
september	septembrī
september	septembri
större	lielāki
större	lielākas
större	lielāka
större	lielāks
större	lielāka
större	lielāki
större	lielāks
större	lielāki
större	lielākas
större	lielāka
större	lielāks
centrala	centrālā
centrala	centrālais
centrala	centrālās
nordväst	ziemeļrietumu
blev	kļuva
andra	otrais
andra	otrs
andra	otrie
andra	otrā
andra	pārējie
andra	citi
andra	cits
andra	citādi
andra	citas
andra	citas
andra	citi
andra	pārējie
hade	bija
där	tur
där	kur
där	ja
nordost	ziemeļaustrumu
county	apriņķis
county	apgabals
nog	pietiek
nog	pietiekami
nog	pietiks
huvudsakligen	galvenokārt
huvudsakligen	galvenokārt
ovanligt	neierasti
ovanligt	neparasta
ovanligt	neparasti
ovanligt	neparasts
ovanligt	retāk
namngivna	nosaukta
namngivna	nosaukts
söder	dienvidu
söder	dienvidos
söder	dienvidi
mycket	ļoti
mycket	loti
mycket	daudz
jpg	jpg
regionen	reģions
ottawa	otavas
creek	upīte
ganska	taisnīgi
närmaste	tuvāko
närmaste	tuvākā
närmaste	tuvākais
närmaste	tuvākais
november	novembra
november	novembrī
november	novembris
maj	var
maj	drīkst
maj	maijs
maj	maj
platt	plakana
platt	vienotas
platt	plakanas
född	dzimuši
född	dzimis
född	dzimusi
finland	somija
finland	somijā
samhälle	sabiedrība
samhälle	kopienu
samhälle	kopienas
samhälle	kopiena
hon	viņa
hon	vina
platser	sēdekļi
platser	sēdvietas
platser	vietas
platser	vietām
platser	vietas
platser	vietnes
första	pirmais
första	pirmā
första	pirmās
första	pirmie
första	pirma
första	vispirms
fick	saņēmu
fick	saņemts
fick	saņemtas
fick	saņemtās
fick	saņemti
fick	saņēma
sydväst	dienvidrietumu
området	teritorija
området	platība
området	apgabals
området	laukums
australien	austrālija
sydöstra	dienvidaustrumu
april	aprīlis
april	aprīlī
april	aprīļa
bar	bāri
bar	bar
bar	bārs
bar	stienis
sydost	dienvidaustrumu
hans	hans
hans	hanss
hans	viņa
södra	dienvidu
södra	dienvidu
södra	dienvidos
södra	dienvidi
toppen	liels
toppen	liela
toppen	lieliska
toppen	lieliski
toppen	top
toppen	tops
toppen	augšējā
toppen	augšējais
sverige	zviedrija
sedan	tad
sedan	kopš
östra	austrumos
östra	austrumu
östra	austrumi
östra	austrumu
cet	cet
genom	caur
genom	cauri
sitt	sēdēt
kilometer	kilometri
kilometer	kilometru
kilometer	kilometri
norra	ziemeļi
norra	ziemeļos
norra	ziemeļu
norra	ziemeļu
också	arī
också	pārāk
talet	runā
talet	runu
talet	runas
talet	runa
detta	šī
detta	šo
detta	šis
detta	tas
mot	pret
mot	mot
västra	rietumu
västra	rietumos
västra	rietumi
västra	west
västra	rietumu
västra	western
del	daļa
del	del
riktning	virziens
namn	vārds
namn	nosaukums
namn	nosaukumi
namn	vārdi
vilket	kas
vilket	kuras
vilket	kura
svenska	zviedru
svenska	zviedrijas
svenska	svenska
mellan	starp
svensk	zviedru
svensk	zviedrijas
svensk	svensk
när	kad
frankrike	franciju
frankrike	francijā
frankrike	francija
frankrike	france
död	nāve
död	nāves
död	mirusi
död	miris
död	beigts
död	miruši
kulle	kalnā
kina	ķīna
kina	china
kina	ķtr
kommunen	novads
kommunen	pašvaldība
klimatet	klimats
est	est
text	teksts
lista	sarakstu
lista	saraksta
lista	uzskaitījums
lista	saraksts
annat	pārējie
annat	citi
annat	cits
annat	citādi
annat	citas
edt	edt
största	lielākais
största	vislielākais
största	lielākais
största	lielākais
största	lielākā
skulle	būtu
departementet	departamentā
departementet	departaments
denna	šī
denna	šo
denna	šis
denna	tas
tropiskt	tropu
park	park
park	parkā
park	parka
park	parks
hill	kalnā
flera	vairākas
flera	vairāki
flera	vairāku
flera	vairāki
periodiskt	periodiskas
periodiskt	periodiski
periodiskt	periodiska
periodiskt	periodiski
nord	ziemeļi
nord	ziemeļos
nord	ziemeļu
nord	nord
stockholm	stokholmā
stockholm	stokholmas
stockholm	stokholma
alla	visiem
alla	visu
alla	visas
alla	visi
alla	visa
alla	ikviens
alla	visi
alla	visiem
samma	pašas
samma	pašu
senare	vēlāk
senare	vēlākā
olika	atšķirīgi
olika	dažādi
olika	atšķirīgs
olika	dažādas
point	punkts
point	point
ort	pilsēta
nya	jauna
nya	jaunums
nya	jauni
nya	jauns
nya	jaunais
nya	jaunas
island	islandē
island	īslande
island	islande
dock	tomēr
dock	tomēr
sjön	ezera
sjön	ezers
tidigare	iepriekš
tidigare	agrāk
tidigare	agrāk
tidigare	bijusī
tidigare	bijušie
tidigare	bijušais
tidigare	iepriekšējā
tidigare	iepriekšējais
tidigare	iepriekšējās
tidigare	iepriekšējie
brasilien	brazīlija
brasilien	brazīlijas
colombia	kolumbija
colombia	kolumbijas
colombia	kolumbija
colombia	kolumbijas
utan	bez
socken	pagasts
sina	viņu
score	score
spanien	spānija
mount	kalna
kom	nāc
kom	atnācu
kom	atnāca
stora	lielie
stora	liels
stora	lielas
stora	lieli
stora	liela
stora	lielā
stora	liels
stora	lielais
stora	lieli
stora	liela
stora	lielā
stora	stora
omgivande	apkārtējo
omgivande	apkārtējā
basen	pamatne
basen	pamats
basen	bāze
tre	tre
tre	trim
tre	trīs
shift	maiņa
shift	maiņu
algeriet	alžīrija
dessa	šīs
dessa	šie
chile	čīle
växtlighet	veģetācijas
växtlighet	veģetācija
mer	vairāk
mer	vairak
här	šeit
här	te
kongo	congo
kongo	kongo
öst	austrumos
öst	austrumu
öst	austrumi
öst	austrumu
region	reģions
von	fon
jakarta	džakarta
wat	wat
file	faila
file	fails
file	failu
släkte	paaudze
släkte	paaudzes
släkte	šķirne
släkte	ģinšu
släkte	ģints
sydlig	dienvidu
västlig	rietumu
västlig	western
blir	kļūt
blir	kļuvis
sydvästra	dienvidrietumu
tillsammans	kopā
samhällen	kopienas
samhällen	biedrības
samhällen	sabiedrības
lite	lite
republiken	republika
republiken	republikas
öppet	atklāti
öppet	atklāts
öppet	atvērts
öppet	atvērta
öppet	atvērt
öppet	caurspīdīgs
öppet	caurspīdīga
delstat	valsts
delstat	štats
innan	pirms
fram	priekšējais
fram	fronte
fram	priekšpusē
fram	priekšā
fram	priekšējie
canberra	kanberā
mål	mērķi
mål	mērķi
mål	mērķus
mål	mērķis
