категорія	kategooria
від	alates
від	kellelt
для	for
також	samuti
також	ka
про	umbes
його	tema
його	oma
його	teda
був	oli
населення	demograafia
населення	populatsioon
населення	populatsiooni
населення	rahvastik
населення	elanikkond
населення	rahvaarv
було	oli
він	wien
під	all
після	pärast
або	kas
час	ajad
час	kellaaeg
час	aeg
час	aja
час	ajas
час	aega
але	aga
але	kuid
області	alad
області	valdkonnad
області	piirkonnad
які	mis
при	pri
який	mis
була	oli
були	olid
осіб	isikuid
осіб	isikud
міста	linnad
міста	kapriis
див	vaata
див	vt
див	näed
село	küla
село	külas
район	rajoon
район	ringkond
район	rajoon
через	via
через	läbi
села	külad
села	külasid
села	sela
так	jah
так	jah
тому	seetõttu
тому	seepärast
рік	rick
рік	aasta
відстань	kaugus
відстань	vahemaa
ради	nõukogu
сша	usas
сша	usa
має	peab
область	oblast
область	pindala
область	valdkond
область	piirkond
область	ala
того	togo
яка	mis
яка	mida
яка	mis
вони	nad
сайті	koduleht
сайті	veebileht
сайті	veebisait
сайті	kodulehekülg
близько	lähedal
близько	sulge
близько	lähedal
війни	sõjad
війни	sõdu
файл	fail
файл	faili
між	vahel
роки	aastad
обговорення	arutelu
обговорення	arutelud
обговорення	arutada
обговорення	aruta
коли	millal
коли	kui
вона	ta
лише	ainult
список	nimekiri
список	loetelu
список	loend
вересня	september
вересня	septembris
цей	see
цей	selle
цей	seda
березня	märts
місце	spot
місце	koht
місце	asukoht
місце	iste
місце	istet
місце	istekoht
муніципалітет	omavalitsus
муніципалітет	vald
україні	ukraina
серпня	august
січня	jaanuar
став	sai
травня	mai
грудня	detsember
інших	muu
інших	muud
інших	muud
інших	teised
жовтня	oktoober
жовтня	okt
серед	seas
серед	sekka
один	ühe
один	üks
липня	juuli
участь	osalev
участь	osalevad
участь	kaasamine
участь	kaasatus
участь	osalus
участь	osalemine
участь	osale
участь	osalema
вид	lahke
вид	liigid
вид	liik
вид	vaade
можна	oskab
можна	saab
червня	juuni
червня	june
місто	linn
місто	linna
місто	linn
місто	linna
місто	city
вже	juba
життя	life
життя	elu
життя	elustiil
срср	nsvl
квітня	aprill
листопада	november
листопада	novembris
лютого	veebruar
опис	kirjeldus
центр	ops
центр	keskus
центр	keskele
центр	center
центр	keskel
центр	keskus
захід	west
захід	lääs
захід	lääne
тільки	ainult
франції	prantsusmaa
століття	sajandeid
століття	sajandite
століття	sajandi
століття	sajand
рада	nõukogu
відстані	vahemaad
схід	idas
схід	itta
схід	ida
статті	artiklid
склад	silp
склад	ladu
склад	laohoone
міні	mini
особи	isikuid
особи	isikud
особи	inimene
особи	isik
над	üle
історія	jutt
історія	ajalugu
історія	ajaloo
зображення	piltide
зображення	pildid
зображення	pilt
зображення	pildi
зображення	pilt
зображення	pildi
зображення	pildid
зображення	pilte
пункти	kirjed
пункти	elemendid
пункти	esemed
пункти	punktid
пункти	valikud
пункти	kirjed
код	code
код	kood
сайт	koduleht
сайт	veebileht
сайт	veebisait
сайт	kodulehekülg
сайт	saidi
сайт	ala
разом	koos
разом	üheskoos
інші	muu
інші	muud
інші	muud
інші	teised
проти	versus
проти	vastu
тут	siin
український	ukraina
мова	keel
мова	keele
історії	lugusid
історії	lood
історії	jutud
історії	ajalugu
історії	ajaloo
всі	kõik
багато	palju
багато	paljud
багато	paljusid
багато	palju
багато	much
багато	palju
більше	suurem
більше	suuremad
більше	suurem
більше	rohkem
кількість	krahv
кількість	number
кількість	arv
кількість	kogus
шаблони	malle
шаблони	mustrid
дуже	väga
два	kaks
перший	kõigepealt
перший	esmalt
перший	esimene
площа	plaza
площа	ruudu
площа	ruut
площа	väljak
площа	pindala
площа	valdkond
площа	piirkond
площа	ala
країни	riik
країни	riigid
назва	nimi
назва	nimetus
назва	name
назва	nime
назва	pealkiri
назва	ametinimetus
назва	tiitel
