در	porta
رده	classe
از	dal
از	dalla
از	from
از	da
که	chi
که	who
که	che
این	this
این	questo
این	questa
را	il
را	la
را	make
با	con
میلادی	decennio
میلادی	decade
یک	una
یک	one
یک	uno
سال	anni
سال	sal
سال	anno
آن	anna
آن	anne
ایران	iran
برای	per
اهل	ahl
شهرستان	contea
آمریکا	america
فهرست	catalogo
فهرست	lista
فهرست	elenco
فهرست	catalogo
بود	era
بود	fu
دارد	ha
او	lei
او	she
او	suo
او	his
او	lui
او	her
تا	may
تا	maggio
تا	può
تا	fino
وابسته	aggettivo
وابسته	dipendente
وابسته	associati
وابسته	associato
وابسته	associata
وابسته	associate
فوتبال	soccer
فوتبال	calcio
فوتبال	calcio
ساعت	ore
ساعت	orari
ساعت	orologio
پایه	base
پایه	fondazione
پایه	fondazioni
پایه	base
پایه	fondamenti
پایه	fondamenta
پایه	fondazioni
پایه	basic
نام	denominazione
نام	nome
استان	provincia
استان	regione
شهر	città
شهر	città
ملی	nazionale
ملی	national
کشور	nazione
کشور	paese
تاریخ	data
تاریخ	storia
فیلم	film
فیلم	pellicola
فیلم	pellicole
فیلم	film
فیلم	filmati
فیلم	film
فیلم	cinema
بخش	reparto
بخش	dipartimento
بخش	settore
بخش	sezione
بخش	distretto
جمعیت	folla
جمعیت	folla
جمعیت	popolazione
دو	due
دو	two
اثر	effetto
پس	allora
پس	poi
یکی	qualcuno
یکی	una
یکی	one
یکی	uno
بازیکنان	giocatori
آثار	artefatti
آثار	manufatti
آثار	effetti
وی	wei
وی	wii
روستاهای	borghi
روستاهای	villaggi
دیگر	altro
دیگر	more
دیگر	più
دیگر	altro
دیگر	altre
دیگر	altri
دیگر	another
دیگر	altre
دیگر	altri
می	may
می	maggio
می	può
می	mei
عنوان	didascalia
پیوند	link
پیوند	collegamento
پیوند	collegati
پیوند	collegato
پیوند	bond
پیوند	obbligazione
پیوند	legame
پیوند	obbligazioni
پیش	prima
پیش	before
بحث	discussioni
بحث	discussione
بیرون	fuori
بیرون	out
افراد	gente
افراد	persone
دوره	corso
دوره	rotta
دوره	epoca
دوره	periodo
دهه	decenni
دهه	decadi
دهه	decennio
دهه	decade
متر	metri
متر	metri
متر	metro
متر	metri
متر	contatore
کاربر	utenti
کاربر	utente
کاربر	utilizzatore
مناطق	distretti
مناطق	quartieri
مناطق	aree
هر	ogni
هر	qualsiasi
هر	qualunque
باشگاه	club
باشگاه	palestra
باشگاه	fenerbahçe
قنات	qanat
شهرهای	municipi
شهرهای	municipalità
شهرهای	comuni
دانشگاه	università
دانشگاه	college
مورد	caso
سده	secolo
ثبت	registro
ثبت	log
وجود	esistenza
زبان	lingue
زبان	linguaggio
زبان	lingua
زادگان	discendente
مسکونی	residenziali
مسکونی	residenziale
شماره	numero
کار	giobbe
کار	lavoro
کار	job
کار	lavoro
کار	lavorare
کار	lavori
کار	lavora
کار	lavorare
اما	ma
بازیگران	filmando
بازیگران	riprese
بازیگران	filmare
بازیگران	attori
روی	roy
روی	zinco
فرودگاه	aeroporto
صورت	faccia
صورت	faccina
صورت	volto
صورت	viso
صورت	face
مرکز	central
مرکز	centrale
مرکز	centra
مرکز	centro
مرکز	centro
زمان	zaman
زمان	tempo
زمان	time
شرکت	corporate
شرکت	società
شرکت	azienda
شرکت	compagnia
شرکت	partecipa
شرکت	partecipate
شرکت	partecipare
مقاله	saggio
مقاله	articolo
مقاله	articoli
تیم	tim
تیم	squadra
تیم	team
مرد	uomo
مرد	man
انگلیسی	inglese
انگلیسی	inglesi
انگلیسی	english
نظر	comment
نظر	commento
نظر	commenta
نظر	commentate
نظر	parere
نظر	opinione
جهانی	internazionali
جهانی	internazionale
جهانی	international
جهانی	universal
جهانی	universali
جهانی	universale
جهانی	globali
جهانی	global
جهانی	globale
جهانی	mondo
جهانی	world
همچنین	inoltre
همچنین	anche
همچنین	too
همچنین	troppo
همچنین	analogamente
زندگی	living
زندگی	vivente
زندگی	vivere
زندگی	vita
زندگی	life
زن	donna
زن	femmina
زن	donna
زن	femmine
زن	femminile
زن	moglie
زیر	sotto
زیر	sotto
زیر	under
آنها	loro
آنها	loro
هستند	sono
جوایز	premi
جوایز	premiazione
جوایز	riconoscimenti
جوایز	premi
روستا	village
روستا	villaggio
تهران	teheran
بازی	game
بازی	gioco
بازی	partita
بازی	selvaggina
بازی	giochi
بازی	giocare
بازی	giocate
بازی	gioca
تاریخی	storico
تاریخی	storiche
تاریخی	storica
تاریخی	storici
تاریخی	storico
تاریخی	storiche
تاریخی	storica
سرشماری	censimento
فرانسه	francesi
فرانسه	francese
فرانسه	francia
جنگ	guerra
باید	devono
باید	mosto
باید	deve
باید	must
دست	mani
دست	hands
دست	braccio
دست	arm
دست	armare
دست	hand
دست	mano
شورای	concilio
شورای	consiglio
محل	posto
محل	luogo
محل	place
محل	ubicazione
های	hai
توابع	funzioni
کتاب	prenota
کتاب	libro
کتاب	libri
آلمان	tedeschi
آلمان	tedesco
آلمان	germania
سطح	livelli
سطح	superficie
سطح	livello
اصلی	principali
اصلی	main
اصلی	principale
اصلی	originale
اصلی	original
اصلی	originali
اصلی	primario
اصلی	primarie
اصلی	primari
اصلی	primaria
ساخت	costruzioni
ساخت	edilizia
ساخت	costruzione
ساخت	manifattura
المپیک	olimpico
المپیک	olympic
المپیک	olimpiadi
اول	primi
اول	primo
اول	prima
سازمان	organizzazione
سازمان	organizzazione
سازمان	agenzia
سه	tre
سه	three
دارای	rinomata
دارای	rinomati
دارای	rinomato
کند	fa
مرکزی	centrata
مرکزی	centrato
مرکزی	centrata
مرکزی	centrato
مرکزی	central
مرکزی	centrale
ایالت	stato
زنده	vivi
زنده	viva
زنده	vivo
زنده	alive
فارسی	farsi
فارسی	persiano
فارسی	persiani
فارسی	persiana
بین	fagiolo
بین	fagioli
بین	bean
بین	tra
بین	fra
انگلستان	england
انگلستان	inghilterra
دوم	seconda
دوم	secondo
دوم	secondi
موسیقی	musiche
موسیقی	musica
گروه	band
گروه	banda
گروه	gruppo
جایزه	bonus
جایزه	premio
جایزه	aggiudicazione
جایزه	premio
بیشتر	most
بیشتر	altro
بیشتر	more
بیشتر	più
جنوبی	meridionale
جنوبی	sud
جنوبی	southern
جنوبی	meridionali
جنوبی	sud
جنوبی	south
روز	giornata
روز	giorno
روز	diurna
جمهوری	repubblica
مرگ	death
مرگ	decesso
مرگ	morte
ولی	ma
داد	dodd
آمریکایی	americano
آمریکایی	american
آمریکایی	americana
آمریکایی	americani
نقش	ruolo
منطقه	regione
منطقه	zona
منطقه	zone
منطقه	distretto
منطقه	zona
منطقه	area
بسیار	molto
بسیار	molte
بسیار	tanti
بسیار	molti
بسیار	tantissimi
بسیار	molto
بسیار	much
اسلامی	islamici
اسلامی	islamico
اسلامی	islamica
بزرگ	large
بزرگ	grande
بزرگ	grandi
بزرگ	grosso
بزرگ	grandi
بزرگ	grande
بزرگ	big
اروپا	europa
روستایی	rurale
روستایی	paesano
روستایی	contadino
روستایی	contadine
روستایی	contadina
آمار	statistiche
آمار	statistica
فعالیت	attività
اشاره	suggerimento
اشاره	indizio
زاده	born
زاده	nati
زاده	nato
زاده	nata
زاده	nasce
محمد	mohammad
محمد	muhammad
محمد	maometto
محمد	mohamed
بریتانیا	britannico
بریتانیا	british
بریتانیا	inglesi
بریتانیا	britannici
بریتانیا	britannia
مانند	come
مانند	like
چند	pochi
چند	poche
چند	multi
شمالی	north
شمالی	nord
شمالی	northern
شمالی	settentrionale
شمالی	carolina
آب	acqua
خورشیدگرفتگی	eclipse
خورشیدگرفتگی	eclissi
ایرانی	persiano
ایرانی	persiani
ایرانی	persiana
ایرانی	irani
ایرانی	iraniani
ایرانی	iraniana
ایرانی	iraniano
اطلاعات	info
اطلاعات	informazioni
اطلاعات	informazione
ایجاد	crea
ایجاد	create
ایجاد	creare
ایجاد	creazione
ایجاد	creare
ایجاد	creando
ایجاد	creazione
ایجاد	costruisci
ایجاد	costruire
مالک	proprietaria
مالک	titolare
مالک	proprietario
مالک	malik
امنیت	sicurezza
امنیت	sicurezza
نوع	digita
نوع	type
مردم	gente
مردم	persone
دلیل	ragione
دلیل	motivo
روستای	village
روستای	villaggio
دور	lontano
دور	away
دور	via
اولین	evelyn
مربوط	pertinente
مربوط	rilevante
مربوط	pertinenti
مربوط	rilevanti
مربوط	correlati
مربوط	correlato
بار	caricate
بار	caricare
بار	carica
بار	carico
بار	barr
بار	bar
دریا	mare
دریا	sea
شما	te
شما	tu
شما	voi
برابر	uguale
برابر	uguali
برابر	pari
برابر	equal
برابر	uguale
برابر	uguali
برابر	eguali
تولید	fabbricazione
تولید	produzione
تولید	generano
تولید	genera
تولید	generare
تپه	colle
تپه	collina
تپه	hill
تنها	alone
تنها	solo
تنها	only
تنها	soltanto
تنها	solitario
تنها	solitudine
تنها	solitari
علی	alì
علی	ali
شرقی	orientale
