skudru	נמלים
zirgam	סוס
pozitīvi	חיובית
pozitīvi	חיובי
pozitīvi	חיוביות
atzīmēta	מתויגים
atzīmēta	מתויג
mednieki	ציידים
vērsts	ביים
vērsts	מונחה
mantas	דברים
mantas	חומר
vilces	דחף
vilces	דחיפה
izteiktas	מבוטא
pierādījumu	הוכחה
kristietība	הנצרות
kristietība	נצרות
dzēšanu	מחיקה
stiprs	חזקים
stiprs	חזקה
stiprs	סטרונג
stiprs	חזק
stiprs	חזקות
olimpiāde	האולימפיים
nulle	זירו
nulle	אפס
aprīkots	מצויד
aprīkots	מצויד
aprīkots	מצוידת
disney	דיסני
zaļas	ירוקה
zaļas	גרין
zaļas	ירוק
elza	אלזה
zum	zum
ņem	קח
ņem	לקחת
pievienošanas	התאגדות
tava	שלך
alianse	הברית
alianse	ברית
apkārtmērs	היקף
arābi	ערבים
raktuves	מכרות
raktuves	מוקשים
raktuves	מוקש
raktuves	שלי
kāpnes	סולם
kāpnes	הסולם
kāpnes	סולמות
kāpnes	מדרגות
gana	גאנה
vesels	שלם
vesels	שלמה
virsbūves	גוף
virsbūves	גופים
virsbūves	גופות
parametrs	פרמטר
militārie	צבא
militārie	צבאי
dzīvoklī	דירה
leļļu	בובה
vistas	תרנגולות
vistas	תרנגול
vistas	עוף
vistas	תרנגולת
vistas	עופות
vistas	עופות
vistas	תרנגולות
īpatņu	דגימות
deklarācija	הכרזת
deklarācija	הצהרת
islandē	איסלנד
savādāk	אחרת
autonomijas	אוטונומיה
vēsturisks	היסטורי
vēsturisks	היסטורית
vēsturisks	היסטורי
panorāma	פנורמה
atmosfēra	אווירה
eva	אווה
eva	חוה
astoņiem	שמונה
mobilais	נייד
mobilais	לנייד
inovācijas	חידושים
inovācijas	חדשנות
dītrihs	דיטריך
bolīvijas	בוליביה
seju	פניה
seju	פרצוף
seju	פנים
seju	פייס
salo	סאלו
pārvaldnieks	מנהל
primārais	ראשוני
primārais	עיקרי
primārais	ראשי
primārais	העיקרי
darījumu	עסקה
krastus	חופים
bono	בונו
brūss	ברוס
tunelis	מנהרה
peldētājs	שחיין
čigānu	צועני
šekspīra	שייקספיר
izpildi	הגשמה
konkrēti	במפורש
konkrēti	ספציפית
konkrēti	ובפרט
pastāvīgā	קבועה
pastāvīgā	קבוע
fiat	פיאט
glonass	glonass
dubnas	דובנה
gregorijs	גרגורי
gregorijs	גרגוריוס
trans	טראנס
trans	טרנס
vārnas	עורבים
atdalīta	פרודים
atdalīta	נפרד
atdalīta	מופרדים
bundeslīgas	בונדסליגה
atzītas	זוהה
atzītas	מזוהה
atzītas	מוכר
atzītas	מוכרת
atzītas	מזוהה
ekspedīcijā	גרינץ
skolēniem	האישונים
asambleja	הרכבה
asambleja	אסיפה
kāzas	חתונות
kāzas	החתונות
kāzas	חתונה
kāzas	החתונה
zane	זיין
vidējs	בינוני
vidējs	מדיום
vidējs	מדיה
vidējs	בינונית
tehniski	טכנית
mēģinājumu	החזרות
mēģinājumu	חזרה
mēģinājumu	חזרות
mēģinājumu	החזרה
britannica	בריטניקה
žogs	גדר
žogs	הגדר
flāmu	פלמית
gazprom	גזפרום
silts	חמים
silts	חם
silts	חמה
karogi	דגלים
karogi	הדגלים
karogi	דגל
gārnis	לבנית
gārnis	הרון
rita	ריטה
četrdesmit	ארבעים
četrdesmit	forty
stadijas	שלבים
delfi	דלפי
linu	פשתן
akmeņi	אבנים
akmeņi	אבנים
akmeņi	סלעים
