din	no
care	kas
care	pvo
care	kurš
care	kas
care	kuras
care	kura
fost	bijis
fost	bijusi
mai	mai
mai	vairāk
mai	vairak
pentru	par
pentru	priekš
pentru	for
lui	lui
lui	viņa
sunt	ir
sit	vietne
sit	vieta
după	pēc
ale	ale
lea	lea
prin	caur
prin	cauri
regiunea	reģions
mare	liels
mare	liela
mare	lieliska
mare	lieliski
mare	liels
mare	lielais
mare	lieli
mare	liela
mare	lielā
mare	jūra
anul	gadu
anul	gads
comună	kopējo
comună	bieži
externe	ārējais
externe	ārējs
externe	ārējā
locuitori	iedzīvotāji
locuitori	rezidenti
locuitori	iedzīvotāji
legături	saites
legături	links
legături	savienojumi
vezi	redz
vezi	skatīt
dar	bet
dar	taču
cod	kods
cod	mencu
cod	menca
cod	mencas
cod	cod
populație	populācija
populație	iedzīvotāji
bucurești	bukarestē
bucurești	bukarestes
fiind	tiek
românia	rumānija
jpg	jpg
lista	sarakstu
lista	saraksta
lista	uzskaitījums
lista	saraksts
ucraina	ukraina
nume	vārds
nume	nosaukums
ani	ani
ani	gadus
ani	gadi
ani	gadiem
avea	bija
între	starp
până	līdz
comuna	novads
comuna	pašvaldība
comuna	kopējo
comuna	bieži
poate	varbūt
poate	varbūt
două	divas
două	divus
două	divi
rege	king
rege	karalis
rege	ķēniņš
sub	zem
alte	pārējie
alte	citi
alte	cits
alte	citādi
alte	citas
când	kad
regiune	reģions
anii	gadus
anii	gadi
anii	gadiem
parte	daļa
județul	apriņķis
județul	apgabals
centura	josta
centura	jostu
dinastia	dinastija
septembrie	septembris
septembrie	septembrī
septembrie	septembri
timp	laiks
timp	laika
despre	par
unde	kur
unde	ja
majoritatea	vairums
majoritatea	visvairāk
majoritatea	vairākums
majoritatea	vairākumu
densitate	blīvums
limbă	mēle
limbă	mēles
limbă	valoda
iunie	jūnijs
iunie	jūnija
iunie	jūnijā
multe	daudziem
multe	daudz
multe	daudzi
multe	daudzus
multe	daudzas
prima	pirmais
prima	pirmā
prima	pirmās
prima	pirmie
prima	pirma
prima	vispirms
octombrie	oktobris
